rank,title,popularity,article,bsn
1,新楓之谷,165841,60,7650
2,新楓之谷：經典版,151197,131,85994
3,MapleStory Worlds,98763,38,79354
4,SpiritVale,65070,16,85861
5,流亡黯道 Path of Exile,60632,18,18966
6,英雄聯盟 League of Legends,57713,111,17532
7,黑色沙漠 BLACK DESERT,50269,36,19017
8,天堂：經典版,48770,57,84452
9,RO 仙境傳說 Online,47769,7,4212
10,燕雲十六聲,45880,79,75703
11,Final Fantasy XIV,44546,42,17608
12,幻獸帕魯,28177,9,71458
13,Minecraft 我的世界（當個創世神）,21904,44,18673
14,WOW 魔獸世界,21289,23,5219
15,流亡黯道 PoE 2,19174,10,82273
16,活俠傳,14403,6,73317
17,暗黑破壞神 4,13681,3,75105
18,暗黑破壞神,12364,65,742
19,AION2,12264,22,82913
20,新瑪奇 Mabinogi,11912,4,7422
21,亂 2 Online,10773,0,5270
22,新瑪奇英雄傳,10477,11,16583
23,赤血沙漠,8074,4,37615
24,賽爾號,7978,11,18072
25,天使之戀Online 國際版,7878,6,9734
26,戰鎚：40K 系列（Warhammer:40000）,7837,3,7506
27,Garena 三角洲行動,7497,4,78342
28,Once Human,7412,7,78260
29,RO 仙境傳說 Online：樂園,7046,0,83142
30,潛水員戴夫,7016,0,35628
31,電馭叛客 2077,6894,0,23379
32,鬥陣特攻,6828,27,27362
33,黑神話 系列,6104,3,39114
34,APEX 英雄,5980,3,36072
35,希望戀曲 Online,5878,4,18041
36,柏德之門 系列,5843,0,2954
37,Soul's Remnant,5830,3,86136
38,巨商,5742,1,5079
39,Dead by Daylight（黎明死線）,5702,4,29919
40,勇 Online,5665,0,11712
41,龍之劍：覺醒,5602,1,76636
42,Warframe,5555,6,22797
43,戰艦世界 World of Warships,5516,2,21052
44,雀魂麻將majsoul,5110,1,36476
45,CS Online﹝絕對武力﹞,4999,3,11902
46,巫師 The Witcher 系列,4946,4,7364
47,世紀帝國 系列,4798,2,1122
48,天國降臨：救贖 系列,4666,1,30945
49,飄流幻境 Online,4615,2,8897
50,武林同萌傳Online,4540,0,6960
51,艾爾之光,4455,1,12259
52,魔力寶貝,4276,2,2577
53,艦隊 Collection,4044,5,24698
54,大俠立志傳,3915,1,76900
55,上古卷軸 系列(The Elder Scrolls),3808,0,2526
56,殭屍毀滅工程 Project Zomboid,3765,2,20202
57,決勝時刻,3666,2,5371
58,特戰英豪,3590,3,38093
59,三國鼎立 Online,3580,3,12613
60,締造者：放逐之境,3538,5,81468
61,異塵餘生 系列,3504,2,2023
62,第一繼承者,3472,1,71782
63,三國志 系列,3470,1,6331
64,戰意,3408,0,30786
65,天外Online,3221,0,6784
66,激戰 2（Guild Wars 2 ）,2996,5,16901
67,幕府將軍、全軍破敵系列,2927,5,4236
68,火炬之光：無限,2924,3,74756
69,魔獸爭霸,2910,0,3044
70,搞鬼 Online（Ghost）,2877,1,9753
71,戰慄時空之絕對武力( CS ),2829,1,1473
72,Grim Dawn,2829,5,19441
73,吸血鬼倖存者,2595,0,74171
74,失落的方舟（Lost Ark）,2586,1,27410
75,戰地風雲,2566,0,4220
76,TBH: 塔斯克巴·英雄,2474,0,85631
77,戰爭雷霆（War Thunder）,2338,1,20947
78,劍靈 Blade & Soul,2280,2,12980
79,RPG製作大師,2280,1,4918
80,暗黑破壞神 3,2233,1,21400
81,千年戰爭 Aigis～一般版～,2225,1,27417
82,空洞騎士  系列,2201,2,27487
83,阿爾比恩 Online,2189,4,27044
84,邊緣世界,2091,0,27313
85,異形：特戰菁英,2091,4,70720
86,龍胤立志傳,2080,0,84973
87,絕地求生 PUBG,2058,1,30630
88,騎馬與砍殺,1978,0,16393
89,金庸群俠傳,1953,1,10859
90,爐石戰記,1928,0,24044
91,東方Project 系列,1907,3,10039
92,逃離塔科夫,1867,1,29943
93,石器時代 系列,1860,0,1571
94,方舟 系列,1852,0,28423
95,永恆冒險 Grand Chase Classic,1833,0,8948
96,合力攻頂,1811,2,83079
97,七日殺,1799,0,24608
98,逸劍風雲決,1761,0,76881
99,鬼谷八荒,1721,0,70540
100,仙劍奇俠傳 系列,1709,0,2417
101,三國群英傳Online,1708,1,6777
102,永恆輪迴,1613,1,38217
103,MUV-LUV 少女庭園,1607,2,83149
104,垂死之光（Dying Light）系列,1567,1,24340
105,晴空物語 Online,1544,0,19778
106,魔獸世界：經典版,1483,3,36703
107,霧鎖王國,1411,0,77537
108,虹彩六號 系列,1398,3,1054
109,童話 Online,1393,0,4211
110,新墨魂 Online,1388,1,38561
111,背包夥伴,1383,6,85261
112,歐洲美洲卡車模擬 系列,1351,1,16179
113,皇者天下,1333,5,38055
114,星露谷物語 Stardew Valley,1325,0,20774
115,武林群俠傳 Online,1320,0,12118
116,A.V.A 戰地之王,1250,1,16618
117,俠客風雲傳 系列,1242,0,3148
118,軒轅劍 單機系列,1235,0,1223
119,Core Keeper,1230,0,74451
120,明星志願 系列,1228,0,866
