rank,title,popularity,article,bsn
1,天堂：經典版,380554,378,84452
2,新楓之谷,345589,88,7650
3,Final Fantasy XIV,197105,114,17608
4,MapleStory Worlds,182872,50,79354
5,AION2,132532,81,82913
6,流亡黯道 Path of Exile,124580,41,18966
7,暗黑破壞神,107777,334,742
8,燕雲十六聲,88724,185,75703
9,赤血沙漠,84361,196,37615
10,RO 仙境傳說 Online,50137,12,4212
11,黑色沙漠 BLACK DESERT,49777,32,19017
12,英雄聯盟 League of Legends,44716,38,17532
13,WOW 魔獸世界,30825,19,5219
14,暗黑破壞神 4,28883,12,75105
15,龍胤立志傳,28550,26,84973
16,Slay the Spire,23679,3,33661
17,RO 仙境傳說 Online：樂園,19844,17,83142
18,天堂Lineage,15199,1,842
19,Minecraft 我的世界（當個創世神）,13061,42,18673
20,爐石戰記,13031,6,24044
21,APEX 英雄,10047,6,36072
22,Warframe,9086,5,22797
23,Garena 三角洲行動,8917,15,78342
24,鬥陣特攻,8451,3,27362
25,新瑪奇 Mabinogi,7684,0,7422
26,戰鎚：40K 系列（Warhammer:40000）,6838,1,7506
27,CS Online﹝絕對武力﹞,6303,2,11902
28,Dead by Daylight（黎明死線）,6099,5,29919
29,戰艦世界 World of Warships,5868,5,21052
30,天國降臨：救贖 系列,5757,1,30945
31,電馭叛客 2077,5730,1,23379
32,活俠傳,5665,3,73317
33,雀魂麻將majsoul,5372,1,36476
34,柏德之門 系列,5353,1,2954
35,Once Human,5246,8,78260
36,最後紀元 Last Epoch,5105,1,35693
37,戰車世界 World of Tanks,4935,3,18214
38,幻獸帕魯,4820,2,71458
39,希望戀曲 Online,4816,1,18041
40,新瑪奇英雄傳,4582,1,16583
41,飄流幻境 Online,4418,1,8897
42,御城收藏,4246,5,26608
43,天外Online,4179,0,6784
44,對魔忍 RPG,4048,1,35303
45,魔力寶貝,3783,9,2577
46,戰地風雲,3745,3,4220
47,艾爾之光,3706,3,12259
48,異塵餘生 系列,3588,3,2023
49,流亡黯道 PoE 2,3426,0,82273
50,戰意,3318,4,30786
51,大俠立志傳,3203,0,76900
52,戰慄時空之絕對武力( CS ),3161,8,1473
53,世紀帝國 系列,3159,0,1122
54,特戰英豪,3121,1,38093
55,潛水員戴夫,3104,0,35628
56,永無寧日,3042,3,79196
57,上古卷軸 系列(The Elder Scrolls),2902,3,2526
58,空洞騎士  系列,2720,1,27487
59,對魔忍特遣隊,2696,3,84391
60,暗黑破壞神 3,2695,0,21400
61,Core Keeper,2693,0,74451
62,絕地求生 PUBG,2674,1,30630
63,武林同萌傳Online,2637,0,6960
64,三國志 系列,2607,0,6331
65,零始之門,2501,2,84153
66,第一繼承者,2414,1,71782
67,劍靈 Blade & Soul,2410,3,12980
68,逃離鴨科夫,2303,0,83580
69,夢之形,2162,0,82031
70,魔獸爭霸,2134,0,3044
71,星露谷物語 Stardew Valley,2115,0,20774
72,黑神話 系列,2040,0,39114
73,霧鎖王國,1999,2,77537
74,RPG製作大師,1992,0,4918
75,漫威爭鋒,1951,3,79940
76,巫師 The Witcher 系列,1941,0,7364
77,邊緣世界,1914,2,27313
78,阿爾比恩 Online,1907,1,27044
79,戰爭雷霆（War Thunder）,1874,0,20947
80,決勝時刻,1789,1,5371
81,鬼谷八荒,1770,0,70540
82,逸劍風雲決,1747,0,76881
83,失落的方舟（Lost Ark）,1720,1,27410
84,幕府將軍、全軍破敵系列,1716,0,4236
85,巨商,1716,0,5079
86,艦隊 Collection,1695,0,24698
87,方舟 系列,1689,1,28423
88,吸血鬼倖存者,1653,0,74171
89,七日殺,1634,4,24608
90,天使之戀Online 國際版,1633,6,9734
91,遺跡：來自灰燼,1584,0,34991
92,火炬之光：無限,1577,1,74756
93,石器時代 系列,1556,0,1571
94,Grim Dawn,1543,0,19441
95,歐洲美洲卡車模擬 系列,1491,0,16179
96,騎馬與砍殺,1466,1,16393
97,童話 Online,1462,0,4211
98,金庸群俠傳,1437,0,10859
99,新天堂II,1419,0,5264
100,Cities: Skylines,1387,0,27991
101,殭屍毀滅工程 Project Zomboid,1353,0,20202
102,Crusader Kings,1338,1,19480
103,千年戰爭 Aigis～一般版～,1276,1,27417
104,Don't Starve,1269,0,23632
105,黑帝斯,1259,0,35739
106,激戰 2（Guild Wars 2 ）,1257,2,16901
107,虹彩六號 系列,1249,0,1054
108,Unlight,1235,8,20111
109,A.V.A 戰地之王,1164,0,16618
110,武林群俠傳 Online,1150,0,12118
111,文明帝國 系列,1144,1,5114
112,永恆輪迴,1134,0,38217
113,Terraria,1128,0,20172
114,R.E.P.O.,1110,0,82396
115,仙劍奇俠傳 系列,1096,0,2417
116,陰森,1078,0,24356
117,約翰·卡本特 劇毒突擊隊,1076,1,77826
118,永恆冒險 Grand Chase Classic,1053,0,8948
119,亂 2 Online,1027,0,5270
120,新熱血江湖 Online,1021,1,8294
