rank,title,popularity,article,bsn
1,鳴潮,356968,227,74934
2,棕色塵埃 2,162774,63,76207
3,原神,143991,127,36730
4,神魔之塔,94455,56,23805
5,異環,83794,73,80679
6,SD 鋼彈 G 世代 永恆,83252,27,74906
7,貓咪大戰爭（にゃんこ大戦争）,83242,6,23772
8,勝利女神：妮姬,77191,33,36390
9,明日方舟：終末地,73535,62,74604
10,RO 仙境傳說：世界之旅,61034,24,83054
11,闇影詩章 Shadowverse,60386,20,29330
12,絕區零,53969,83,74860
13,怪物彈珠,53963,184,25052
14,天堂 Mobile,48602,11,25908
15,崩壞：星穹鐵道,46757,27,72822
16,Fate/Grand Order,44434,63,26742
17,蔚藍檔案,34537,20,38898
18,JUMP 全明星亂鬥,33034,51,84902
19,龍村 3,32876,18,85385
20,賽馬娘Pretty Derby,29911,234,34421
21,少女前線 2：追放,29807,285,70502
22,明日方舟,29541,27,33651
23,卡厄思夢境,28907,13,80099
24,辟邪除妖 Variants Daphne,26885,14,70180
25,Pokemon GO,26363,15,29659
26,瑞利昂 (RELLION)：NPC 的生存記,25325,8,85516
27,三國志•戰略版,23363,7,36815
28,RO 仙境傳說 3,19588,10,81475
29,Pikmin Bloom,18106,14,72889
30,星之救援者 StarSavior,16402,8,81995
31,傳說對決 Arena of Valor,16160,22,30518
32,超異域公主連結☆Re:Dive,15823,14,30861
33,寶可夢大師,15062,10,36673
34,碧藍幻想 系列,14905,7,25204
35,勇者鬥惡龍 破限亂鬥,14648,7,83661
36,楓之谷 M,14085,7,29461
37,信長之野望 真戰,13985,7,82869
38,第七史詩,13411,6,34880
39,天堂 W,13131,5,71905
40,Monster Hunter Now,12893,6,77414
41,瑪奇 Mobile,12831,21,32564
42,碧藍航線,12692,8,32550
43,鈴蘭之劍：爲這和平的世界,12669,12,71838
44,女神異聞錄：夜幕魅影,12455,18,71034
45,雙面神姬,12134,46,85535
46,煙雨江湖,11585,1,71402
47,寶可夢集換式卡牌遊戲口袋版,11029,6,79688
48,七騎士 RE:BIRTH,10638,10,79741
49,像素深淵,9901,10,85250
50,嘟嘟臉惡作劇,9168,9,78781
51,Bleach：刀鳴,9002,14,78017
52,星塔旅人,8816,4,81566
53,Another Eden：穿越時空的貓,8481,2,29220
54,Rogue with the Dead - 亡途轉生,8473,2,81808
55,緋染天空 Heaven Burns Red,8101,12,37697
56,楓之谷：放置冒險記,8049,0,82899
57,DRAGON BALL Z -七龍珠爆裂激戰-,8028,0,27096
58,XXL 猛漢町,7925,3,80107
59,龍族拼圖 Puzzle & Dragons,7307,3,22153
60,最後的克勞迪亞,7194,2,35735
61,杖劍傳說：坎斯汀之約,6952,1,80389
62,RO 新世代：攜手同行,6453,1,37030
63,忘卻前夜 Morimens,6268,6,78829
64,Pokémon Sleep,6026,13,36685
65,世界計畫 繽紛舞台！ feat. 初音未來,5815,0,37505
66,運氣拼輸贏,5800,4,80385
67,荒野亂鬥,5705,2,32407
68,寒霜啟示錄,5680,2,76999
69,天地劫 手機版,5617,2,38462
70,逆水寒,5576,0,77001
71,心動小鎮,5541,3,75403
72,忍者喵喵：保衛村莊,5425,11,80326
73,魔靈召喚,5419,4,26380
74,夢幻模擬戰 手機版,5273,0,33596
75,生存 33 天,5254,0,85588
76,MLB：9 局職棒 系列,4921,1,31114
77,Limbus Company,4761,4,73052
78,暗黑破壞神：永生不朽,4610,3,35531
79,召喚圖板 Summons Board,4490,3,25691
80,點點英雄：骰子傳說,4394,1,85135
81,七大罪：Origin,4290,4,74141
82,托蘭異世錄 Toram Online RPG,4126,6,28271
83,二重螺旋,4093,4,78855
84,白貓 Project,4050,2,26686
85,重返未來：1999,3974,3,75028
86,初心者傳說：夢境大冒險,3938,14,85537
87,薑餅人王國,3903,2,70199
88,Kingshot,3819,1,82382
89,崩壞 3rd,3436,3,31066
90,問答 RPG 魔法使與黑貓維茲,3401,3,25730
91,歧路旅人：大陸的霸者,3363,0,36225
92,MLB 勁旅對決,3323,2,77583
93,Evil Hunter Tycoon 獵魔村物語,3270,1,38066
94,遊戲王 決鬥聯盟,3245,1,29618
95,三國：謀定天下,3155,2,83812
96,全明星街球派對,3146,0,79697
97,BanG Dream！少女樂團派對,3092,5,31877
98,全境封鎖：曙光,3064,4,75244
99,跑跑薑餅人：烤箱大逃亡,3038,4,31023
100,遺忘之劍,3010,1,80652
101,鎖鏈戰記 CHAIN CHRONICLE,2983,0,24520
102,克魯賽德戰記 Crusaders Quest,2965,3,27586
103,權力遊戲：國王大道,2941,3,81266
104,戰雙帕彌什,2910,1,37463
105,我想成為影之強者！Master of Garden,2840,3,75993
106,部落衝突：皇室戰爭,2811,1,29712
107,英雄傳說 卡卡布三部曲,2768,2,80736
108,守望傳說 Guardian Tales,2763,1,38113
109,魔御：STAR DIVE,2759,7,81457
110,超時空街球對決,2755,2,85216
111,RAID : Shadow Legends,2702,2,36208
112,緋紅的神約 Echocalypse,2667,2,75058
113,塵白禁域,2610,0,72111
114,關於我轉生變成史萊姆這檔事 魔王與龍的建國譚,2600,1,70913
115,LINE Rangers 銀河特攻隊,2542,2,25967
116,Dungeon Slasher,2489,0,79453
117,BLEACH 死神 Brave Souls,2479,0,27808
118,弓箭傳說 系列,2458,0,36683
119,黑色沙漠 MOBILE,2447,1,32841
120,地牢深處 Dungeon Within,2401,0,85358
