rank,title,popularity,article,bsn
1,新楓之谷：經典版,562950,352,85994
2,新楓之谷,304787,106,7650
3,MapleStory Worlds,196886,70,79354
4,SpiritVale,167158,65,85861
5,流亡黯道 Path of Exile,163156,45,18966
6,幻獸帕魯,127679,43,71458
7,英雄聯盟 League of Legends,110171,247,17532
8,Final Fantasy XIV,72773,75,17608
9,天堂：經典版,62020,20,84452
10,黑色沙漠 BLACK DESERT,55663,24,19017
11,燕雲十六聲,53177,68,75703
12,RO 仙境傳說 Online,43230,12,4212
13,活俠傳,27339,9,73317
14,AION2,26784,18,82913
15,暗黑破壞神 4,25294,14,75105
16,暗黑破壞神,21582,32,742
17,Minecraft 我的世界（當個創世神）,21122,46,18673
18,天使之戀Online 國際版,18401,12,9734
19,新瑪奇 Mabinogi,17743,11,7422
20,WOW 魔獸世界,16891,13,5219
21,流亡黯道 PoE 2,11460,2,82273
22,龍之劍：覺醒,11440,7,76636
23,戰鎚：40K 系列（Warhammer:40000）,10092,7,7506
24,戰意,9180,7,30786
25,Garena 三角洲行動,8287,10,78342
26,潛水員戴夫,8260,1,35628
27,CS Online﹝絕對武力﹞,7520,5,11902
28,新瑪奇英雄傳,7493,5,16583
29,爐石戰記,7362,2,24044
30,電馭叛客 2077,7161,1,23379
31,天堂Lineage,6688,3,842
32,RO 仙境傳說 Online：樂園,6650,0,83142
33,火炬之光：無限,6503,3,74756
34,艾爾之光,6377,0,12259
35,鬥陣特攻,6280,5,27362
36,Dead by Daylight（黎明死線）,5959,2,29919
37,戰艦世界 World of Warships,5886,2,21052
38,希望戀曲 Online,5700,1,18041
39,Grim Dawn,5563,3,19441
40,柏德之門 系列,5046,0,2954
41,Warframe,5000,5,22797
42,世紀帝國 系列,4995,1,1122
43,APEX 英雄,4858,0,36072
44,TBH: 塔斯克巴·英雄,4776,0,85631
45,艦隊 Collection,4732,4,24698
46,Once Human,4061,1,78260
47,水滸英雄 Online,3965,0,8811
48,飄流幻境 Online,3916,0,8897
49,戰車世界 World of Tanks,3831,1,18214
50,大俠立志傳,3626,0,76900
51,魔力寶貝,3566,1,2577
52,龍胤立志傳,3482,3,84973
53,天國降臨：救贖 系列,3417,2,30945
54,殭屍毀滅工程 Project Zomboid,3371,3,20202
55,漫威爭鋒,3240,2,79940
56,天外Online,3190,0,6784
57,蘇丹的遊戲,3151,1,80841
58,戰地風雲,3141,2,4220
59,三國志 系列,3046,1,6331
60,特戰英豪,2962,2,38093
61,雀魂麻將majsoul,2903,2,36476
62,第一繼承者,2759,2,71782
63,戰慄時空之絕對武力( CS ),2722,3,1473
64,上古卷軸 系列(The Elder Scrolls),2674,1,2526
65,異塵餘生 系列,2673,1,2023
66,激戰 2（Guild Wars 2 ）,2644,1,16901
67,魔獸爭霸,2638,0,3044
68,赤血沙漠,2519,0,37615
69,巨商,2506,1,5079
70,巫師 The Witcher 系列,2465,0,7364
71,逸劍風雲決,2320,0,76881
72,暗黑破壞神 3,2211,0,21400
73,RPG製作大師,2187,3,4918
74,阿爾比恩 Online,2164,5,27044
75,武林同萌傳Online,2160,0,6960
76,石器時代 系列,2100,0,1571
77,搞鬼 Online（Ghost）,2075,0,9753
78,新衝天跑,2066,0,9426
79,戰爭雷霆（War Thunder）,2052,0,20947
80,幕府將軍、全軍破敵系列,2046,1,4236
81,Freestyle: Reboot,2035,7,85300
82,封印者：CLOSERS,1986,1,23655
83,鬼谷八荒,1939,0,70540
84,空洞騎士  系列,1861,0,27487
85,永恆冒險 Grand Chase Classic,1860,0,8948
86,絕地求生 PUBG,1858,1,30630
87,A.V.A 戰地之王,1841,0,16618
88,對魔忍 RPG,1838,0,35303
89,黑神話 系列,1814,0,39114
90,逃離塔科夫,1782,0,29943
91,劍靈 Blade & Soul,1773,4,12980
92,邊緣世界,1700,0,27313
93,決勝時刻,1593,1,5371
94,星露谷物語 Stardew Valley,1592,0,20774
95,新天堂II,1587,0,5264
96,七日殺,1576,1,24608
97,失落的方舟（Lost Ark）,1538,0,27410
98,方舟 系列,1483,1,28423
99,皇者天下,1458,0,38055
100,逃離鴨科夫,1455,0,83580
101,星引擎 Party,1446,1,79212
102,AION 永恆紀元,1440,1,9856
103,騎馬與砍殺,1439,0,16393
104,金庸群俠傳,1408,0,10859
105,仙劍奇俠傳 系列,1397,0,2417
106,魔獸世界：經典版,1379,1,36703
107,永劫無間,1376,0,37753
108,東方Project 系列,1346,3,10039
109,新龍之谷 Dragon Nest,1311,0,13211
110,永恆輪迴,1292,1,38217
111,星海爭霸,1267,3,3037
112,吸血鬼倖存者,1257,0,74171
113,精靈樂章 Online,1229,0,16213
114,三國群英傳Online,1229,2,6777
115,背包夥伴,1223,4,85261
116,英雄連隊,1218,3,10093
117,魔力寶貝：永恆初心,1189,0,70151
118,亂 2 Online,1175,0,5270
119,Core Keeper,1166,0,74451
120,造化仙緣,1141,1,85750
