rank,title,popularity,article,bsn
1,瑪奇 Mobile,429671,605,32564
2,棕色塵埃 2,173039,44,76207
3,鳴潮,170412,94,74934
4,hololive Dreams,157186,90,84454
5,勝利女神：妮姬,157098,93,36390
6,貓咪大戰爭（にゃんこ大戦争）,90349,13,23772
7,怪物彈珠,73389,32,25052
8,碧藍幻想 系列,71417,43,25204
9,明日方舟：終末地,64206,101,74604
10,神魔之塔,60134,53,23805
11,絕區零,55639,52,74860
12,異環,55563,61,80679
13,崩壞：星穹鐵道,55336,27,72822
14,SD 鋼彈 G 世代 永恆,52215,9,74906
15,原神,47559,22,36730
16,卡厄思夢境,47089,26,80099
17,煙雨江湖,45942,20,71402
18,天堂 Mobile,45434,8,25908
19,Fate/Grand Order,43077,23,26742
20,星塔旅人,38358,23,81566
21,傳說對決 Arena of Valor,35424,444,30518
22,RO 仙境傳說：世界之旅,33719,153,83054
23,Pokemon GO,32333,13,29659
24,寶可夢集換式卡牌遊戲口袋版,27580,21,79688
25,辟邪除妖 Variants Daphne,25750,14,70180
26,蔚藍檔案,24541,16,38898
27,瑞利昂 (RELLION)：NPC 的生存記,22329,6,85516
28,明日方舟,20713,16,33651
29,星之救援者 StarSavior,19664,5,81995
30,楓之谷：放置冒險記,16593,10,82899
31,勇者鬥惡龍 破限亂鬥,16554,14,83661
32,天堂 W,16381,7,71905
33,碧藍航線,15410,6,32550
34,超異域公主連結☆Re:Dive,14248,26,30861
35,賽馬娘Pretty Derby,13335,11,34421
36,重返未來：1999,13042,8,75028
37,遺忘之劍,11992,5,80652
38,闇影詩章 Shadowverse,11319,10,29330
39,天地劫 手機版,11288,10,38462
40,Monster Hunter Now,11154,5,77414
41,少女前線 2：追放,10968,22,70502
42,Pikmin Bloom,10757,2,72889
43,七騎士 RE:BIRTH,10513,6,79741
44,楓之谷 M,10411,2,29461
45,雙面神姬,10295,3,85535
46,三國志•戰略版,10217,3,36815
47,心動小鎮,9655,15,75403
48,第七史詩,9399,8,34880
49,忍者喵喵：保衛村莊,9045,6,80326
50,白銀之城,8846,15,82805
51,女神異聞錄：夜幕魅影,8458,7,71034
52,召喚圖板 Summons Board,8417,11,25691
53,龍村 3,7464,19,85385
54,數碼寶貝 UP,7349,2,85075
55,夢幻模擬戰 手機版,7142,4,33596
56,鈴蘭之劍：爲這和平的世界,7053,3,71838
57,Another Eden：穿越時空的貓,6739,7,29220
58,最後的克勞迪亞,6672,1,35735
59,信長之野望 真戰,6653,19,82869
60,杖劍傳說：坎斯汀之約,6501,5,80389
61,BLEACH 死神 Brave Souls,6501,6,27808
62,忘卻前夜 Morimens,5577,4,78829
63,星絆之旅,5499,2,83743
64,地牢深處 Dungeon Within,5466,1,85358
65,英雄傳說 卡卡布三部曲,5458,10,80736
66,Pokémon Sleep,5392,14,36685
67,Rogue with the Dead - 亡途轉生,5373,3,81808
68,運氣拼輸贏,5338,4,80385
69,龍族拼圖 Puzzle & Dragons,5258,1,22153
70,緋染天空 Heaven Burns Red,5037,3,37697
71,世界計畫 繽紛舞台！ feat. 初音未來,4992,0,37505
72,寒霜啟示錄,4956,3,76999
73,逆水寒,4835,2,77001
74,Limbus Company,4659,0,73052
75,荒野亂鬥,4504,4,32407
76,Bleach：刀鳴,4477,8,78017
77,白貓 Project,4444,1,26686
78,RO 新世代：攜手同行,4366,2,37030
79,我想成為影之強者！Master of Garden,4330,5,75993
80,DRAGON BALL Z -七龍珠爆裂激戰-,4144,4,27096
81,超感穿梭,4125,10,85354
82,XXL 猛漢町,3854,0,80107
83,MLB：9 局職棒 系列,3741,3,31114
84,咒術迴戰 幻影夜行,3403,7,71515
85,跑跑薑餅人：烤箱大逃亡,3386,1,31023
86,嘟嘟臉惡作劇,3375,3,78781
87,問答 RPG 魔法使與黑貓維茲,3328,5,25730
88,魔靈召喚,3293,1,26380
89,Kingshot,3219,0,82382
90,戰雙帕彌什,3212,5,37463
91,BanG Dream！少女樂團派對,3164,3,31877
92,守望傳說 Guardian Tales,3157,2,38113
93,歧路旅人：大陸的霸者,3126,1,36225
94,三國：謀定天下,2996,2,83812
95,MLB 勁旅對決,2901,4,77583
96,跑跑卡丁車 RUSH+,2808,3,36872
97,英雄聯盟：激鬥峽谷,2795,2,37459
98,同盟塔防戰,2713,2,81508
99,劍與遠征：啟程,2689,2,75975
100,醫起救世界：鼠裡逃生,2682,4,85397
101,寶可夢大師,2673,1,36673
102,二重螺旋,2646,4,78855
103,Crash Fever,2595,3,28611
104,Evil Hunter Tycoon 獵魔村物語,2588,1,38066
105,RO 仙境傳說：守護永恆的愛 Classic,2584,10,82344
106,RAID : Shadow Legends,2523,3,36208
107,藍色星原：旅謠,2521,6,79865
108,薑餅人王國,2406,0,70199
109,部落衝突：皇室戰爭,2354,2,29712
110,魔御：STAR DIVE,2353,3,81457
111,鎖鏈戰記 CHAIN CHRONICLE,2253,0,24520
112,JUMP 全明星亂鬥,2221,0,84902
113,遊戲王 決鬥聯盟,2150,1,29618
114,復活邪神 Re ; universe,2106,1,35284
115,弓箭傳說 系列,2087,0,36683
116,RO仙境傳說：守護永恆的愛,2085,0,28924
117,崩壞 3rd,2061,1,31066
118,Dungeon Slasher,2044,4,79453
119,塵白禁域,2043,0,72111
120,點點英雄：骰子傳說,1937,1,85135
