rank,title,popularity,article,bsn
1,瑪奇 Mobile,328017,110,32564
2,鳴潮,159353,82,74934
3,神魔之塔,131269,146,23805
4,原神,108797,105,36730
5,SD 鋼彈 G 世代 永恆,107278,35,74906
6,棕色塵埃 2,93343,30,76207
7,異環,87681,65,80679
8,絕區零,73522,39,74860
9,蔚藍檔案,70962,27,38898
10,搞鬼 M,65948,80,80259
11,勝利女神：妮姬,63475,52,36390
12,hololive Dreams,58171,27,84454
13,Fate/Grand Order,55206,33,26742
14,明日方舟：終末地,54270,24,74604
15,明日方舟,53639,74,33651
16,貓咪大戰爭（にゃんこ大戦争）,53026,4,23772
17,崩壞：星穹鐵道,40179,36,72822
18,天堂 Mobile,36784,6,25908
19,怪物彈珠,32642,13,25052
20,卡厄思夢境,32435,12,80099
21,Pokemon GO,30630,14,29659
22,星塔旅人,30185,35,81566
23,MAJO - 末日策略 RPG,28318,33,85761
24,辟邪除妖 Variants Daphne,27185,9,70180
25,勇者鬥惡龍 破限亂鬥,25527,22,83661
26,天堂 W,24846,2,71905
27,三國群英傳：策定九州,22690,51,84636
28,煙雨江湖,21677,7,71402
29,薑餅人放置大戰爭,21619,41,85818
30,隨機骰子 系列,21512,7,37396
31,我的英雄學院：UNITED SURVIVAL,21400,8,85186
32,三國觀滄海,20044,42,85287
33,碧藍幻想 系列,19818,13,25204
34,RO 仙境傳說：世界之旅,17488,3,83054
35,劍與遠征：啟程,16695,7,75975
36,傳說對決 Arena of Valor,16172,77,30518
37,寶可夢集換式卡牌遊戲口袋版,15497,22,79688
38,超異域公主連結☆Re:Dive,14546,37,30861
39,楓之谷：放置冒險記,13882,1,82899
40,楓之谷 M,13743,3,29461
41,碧藍航線,12963,3,32550
42,緋染天空 Heaven Burns Red,11351,12,37697
43,賽爾號：巔峰之戰,11061,8,84709
44,三國志•戰略版,9844,3,36815
45,DRAGON BALL Z -七龍珠爆裂激戰-,9592,3,27096
46,重返未來：1999,9269,3,75028
47,魂墜深境,9195,3,85384
48,賽馬娘Pretty Derby,9176,7,34421
49,少女前線 2：追放,8923,25,70502
50,夢幻模擬戰 手機版,8371,2,33596
51,天地劫 手機版,7688,4,38462
52,Pikmin Bloom,7467,2,72889
53,鈴蘭之劍：爲這和平的世界,7406,5,71838
54,Pokémon Sleep,7191,17,36685
55,杖劍傳說：坎斯汀之約,7088,0,80389
56,第七史詩,6926,10,34880
57,信長之野望 真戰,6661,8,82869
58,星之救援者 StarSavior,6376,1,81995
59,三國志 霸道,6198,1,71713
60,七騎士 RE:BIRTH,5832,7,79741
61,Another Eden：穿越時空的貓,5782,1,29220
62,龍族拼圖 Puzzle & Dragons,5731,2,22153
63,幻想水滸傳 STAR LEAP,5505,12,82379
64,獵人 HUNTER×HUNTER NEN×SURVIVOR,5471,12,83777
65,寒霜啟示錄,5437,3,76999
66,忘卻前夜 Morimens,5311,4,78829
67,召喚圖板 Summons Board,5265,9,25691
68,龍村 3,5155,3,85385
69,Rogue with the Dead - 亡途轉生,4922,2,81808
70,MLB：9 局職棒 系列,4862,5,31114
71,忍者喵喵：保衛村莊,4841,3,80326
72,女神異聞錄：夜幕魅影,4801,3,71034
73,地牢深處 Dungeon Within,4746,1,85358
74,心動小鎮,4733,4,75403
75,嘟嘟臉惡作劇,4609,3,78781
76,Monster Hunter Now,4587,11,77414
77,BLEACH 死神 Brave Souls,4434,4,27808
78,雙面神姬,4288,3,85535
79,世界計畫 繽紛舞台！ feat. 初音未來,4191,0,37505
80,瑞利昂 (RELLION)：NPC 的生存記,4177,3,85516
81,逆水寒,4029,1,77001
82,RAID : Shadow Legends,4028,6,36208
83,英雄聯盟：激鬥峽谷,3796,11,37459
84,運氣拼輸贏,3746,0,80385
85,英雄傳說 卡卡布三部曲,3546,2,80736
86,寶可夢大師,3528,2,36673
87,龍魂旅人,3503,0,81375
88,XXL 猛漢町,3424,1,80107
89,RO 新世代：攜手同行,3386,1,37030
90,MARVEL 未來之戰,3361,7,28318
91,魔靈召喚,3264,1,26380
92,Kingshot,3222,0,82382
93,荒野亂鬥,3195,0,32407
94,Limbus Company,3195,0,73052
95,三國：謀定天下,3148,1,83812
96,最後的克勞迪亞,3109,2,35735
97,守望傳說 Guardian Tales,3097,2,38113
98,鎖鏈戰記 CHAIN CHRONICLE,3055,1,24520
99,LINE Rangers 銀河特攻隊,2970,2,25967
100,白貓 Project,2955,0,26686
101,黑色沙漠 MOBILE,2917,2,32841
102,弓箭傳說 系列,2815,3,36683
103,地平線行者 Horizon Walker,2815,3,81419
104,薑餅人王國,2787,1,70199
105,遺忘之劍,2769,3,80652
106,同盟塔防戰,2699,1,81508
107,二重螺旋,2675,1,78855
108,遊戲王 決鬥聯盟,2559,3,29618
109,MLB 勁旅對決,2509,3,77583
110,闇影詩章 Shadowverse,2381,2,29330
111,第五人格,2367,1,34038
112,我想成為影之強者！Master of Garden,2354,2,75993
113,MARVEL SNAP,2350,1,74881
114,RO仙境傳說：守護永恆的愛,2336,0,28924
115,問答 RPG 魔法使與黑貓維茲,2285,1,25730
116,戰雙帕彌什,2276,1,37463
117,星絆之旅,2228,0,83743
118,崩壞 3rd,2214,0,31066
119,托蘭異世錄 Toram Online RPG,2161,1,28271
120,咒術迴戰 幻影夜行,2145,1,71515
