rank,title,popularity,article,bsn
1,MapleStory Worlds,277563,113,79354
2,暗黑破壞神 4,184281,102,75105
3,新楓之谷,162525,37,7650
4,Final Fantasy XIV,97837,87,17608
5,天堂：經典版,91534,52,84452
6,燕雲十六聲,71694,150,75703
7,英雄聯盟 League of Legends,53442,151,17532
8,暗黑破壞神,49430,97,742
9,RO 仙境傳說 Online,48742,9,4212
10,AION2,45436,46,82913
11,黑色沙漠 BLACK DESERT,32068,12,19017
12,Freestyle: Reboot,27996,50,85300
13,赤血沙漠,23274,12,37615
14,WOW 魔獸世界,21761,12,5219
15,流亡黯道 Path of Exile,21660,6,18966
16,Minecraft 我的世界（當個創世神）,21231,27,18673
17,流亡黯道 PoE 2,15715,7,82273
18,APEX 英雄,12075,2,36072
19,Slay the Spire,11150,7,33661
20,RO 仙境傳說 Online：樂園,9644,5,83142
21,Garena 三角洲行動,9542,11,78342
22,天堂Lineage,9157,2,842
23,爐石戰記,9099,9,24044
24,新瑪奇 Mabinogi,8896,2,7422
25,火炬之光：無限,8784,3,74756
26,戰艦世界 World of Warships,8120,6,21052
27,龍胤立志傳,7866,1,84973
28,電馭叛客 2077,7451,0,23379
29,戰鎚：40K 系列（Warhammer:40000）,6855,2,7506
30,CS Online﹝絕對武力﹞,6584,4,11902
31,鬥陣特攻,6390,2,27362
32,柏德之門 系列,6288,2,2954
33,雀魂麻將majsoul,6276,5,36476
34,希望戀曲 Online,6178,1,18041
35,世紀帝國 系列,5700,0,1122
36,遙遙西土,5497,2,82985
37,Warframe,5497,13,22797
38,魔獸爭霸,5233,2,3044
39,新瑪奇英雄傳,4715,1,16583
40,靈魂面甲,4639,5,79921
41,大俠立志傳,4591,0,76900
42,活俠傳,4531,1,73317
43,天國降臨：救贖 系列,4446,1,30945
44,吸血鬼倖存者,4298,0,74171
45,幻獸帕魯,4271,2,71458
46,魔力寶貝,4258,0,2577
47,飄流幻境 Online,4242,0,8897
48,Once Human,4082,3,78260
49,戰地風雲,4048,6,4220
50,Dead by Daylight（黎明死線）,3906,4,29919
51,戰車世界 World of Tanks,3883,3,18214
52,夢幻魔法公主,3819,3,82629
53,巨商,3790,4,5079
54,暗黑破壞神 3,3668,0,21400
55,永恆輪迴,3632,1,38217
56,風啟之旅,3585,3,84857
57,潛水員戴夫,3580,0,35628
58,Free Style,3417,0,8610
59,異塵餘生 系列,3338,1,2023
60,上古卷軸 系列(The Elder Scrolls),3325,2,2526
61,三國志 系列,3227,0,6331
62,天外Online,3219,1,6784
63,戰意,3143,2,30786
64,決勝時刻,3130,4,5371
65,霧鎖王國,3102,0,77537
66,R.E.P.O.,3006,0,82396
67,逃離塔科夫,2991,1,29943
68,戰慄時空之絕對武力( CS ),2989,2,1473
69,武林同萌傳Online,2972,0,6960
70,艾爾之光,2913,0,12259
71,逸劍風雲決,2750,1,76881
72,特戰英豪,2744,1,38093
73,絕地求生 PUBG,2722,3,30630
74,劍靈 Blade & Soul,2703,1,12980
75,黑神話 系列,2683,0,39114
76,Gamble With Your Friends,2671,2,85405
77,艦隊 Collection,2658,0,24698
78,黑帝斯,2656,0,35739
79,千年戰爭 Aigis～一般版～,2653,0,27417
80,第一繼承者,2611,1,71782
81,戰爭雷霆（War Thunder）,2609,2,20947
82,巫師 The Witcher 系列,2448,2,7364
83,RPG製作大師,2351,0,4918
84,科南的流亡,2261,1,31364
85,金庸群俠傳,2253,0,10859
86,空洞騎士  系列,2247,0,27487
87,阿爾比恩 Online,2174,6,27044
88,邊緣世界,2174,0,27313
89,明星志願 系列,2137,0,866
90,新墨魂 Online,2078,7,38561
91,九日,2065,0,74687
92,Stoneshard,1964,2,38794
93,永恆冒險 Grand Chase Classic,1954,0,8948
94,天使之戀Online 國際版,1941,0,9734
95,Cities: Skylines,1933,0,27991
96,Core Keeper,1905,0,74451
97,鬼谷八荒,1892,0,70540
98,仙劍奇俠傳 系列,1891,0,2417
99,新熱血江湖 Online,1889,1,8294
100,童話 Online,1873,0,4211
101,逃離鴨科夫,1858,0,83580
102,法術小隊,1810,0,80815
103,星露谷物語 Stardew Valley,1801,0,20774
104,方舟 系列,1787,0,28423
105,失落的方舟（Lost Ark）,1784,0,27410
106,歐洲美洲卡車模擬 系列,1740,0,16179
107,漫威爭鋒,1657,2,79940
108,幕府將軍、全軍破敵系列,1648,1,4236
109,Crusader Kings,1641,1,19480
110,激戰 2（Guild Wars 2 ）,1599,0,16901
111,A.V.A 戰地之王,1596,1,16618
112,虹彩六號 系列,1585,1,1054
113,東方Project 系列,1565,1,10039
114,新龍之谷 Dragon Nest,1527,0,13211
115,石器時代 系列,1480,0,1571
116,魔力寶貝：永恆初心,1464,0,70151
117,殭屍毀滅工程 Project Zomboid,1453,0,20202
118,魔獸世界：經典版,1437,0,36703
119,NEKOPARA 系列,1417,3,27445
120,武林群俠傳 Online,1406,0,12118
