rank,title,popularity,article,bsn
1,新楓之谷,283044,137,7650
2,流亡黯道 Path of Exile,173784,40,18966
3,Final Fantasy XIV,118210,71,17608
4,SpiritVale,117244,97,85861
5,MapleStory Worlds,101984,34,79354
6,天堂：經典版,80540,107,84452
7,燕雲十六聲,70259,62,75703
8,黑色沙漠 BLACK DESERT,58016,6,19017
9,幻獸帕魯,57066,48,71458
10,英雄聯盟 League of Legends,48458,67,17532
11,RO 仙境傳說 Online,40770,7,4212
12,活俠傳,32773,8,73317
13,暗黑破壞神 4,30673,13,75105
14,AION2,28800,22,82913
15,天使之戀Online 國際版,26065,12,9734
16,暗黑破壞神,25569,54,742
17,Minecraft 我的世界（當個創世神）,24967,44,18673
18,新瑪奇 Mabinogi,22600,4,7422
19,WOW 魔獸世界,18639,16,5219
20,流亡黯道 PoE 2,14763,2,82273
21,潛水員戴夫,14321,2,35628
22,龍之劍：覺醒,11841,7,76636
23,電馭叛客 2077,9774,0,23379
24,火炬之光：無限,9348,1,74756
25,戰意,9062,13,30786
26,Grim Dawn,8068,6,19441
27,戰鎚：40K 系列（Warhammer:40000）,8035,4,7506
28,TBH: 塔斯克巴·英雄,8027,3,85631
29,爐石戰記,7962,7,24044
30,Garena 三角洲行動,7841,4,78342
31,新瑪奇英雄傳,7385,3,16583
32,CS Online﹝絕對武力﹞,7168,2,11902
33,RO 仙境傳說 Online：樂園,7091,2,83142
34,希望戀曲 Online,6996,2,18041
35,天堂Lineage,6745,1,842
36,戰艦世界 World of Warships,6535,2,21052
37,柏德之門 系列,6235,2,2954
38,艦隊 Collection,5906,3,24698
39,Warframe,5699,2,22797
40,世紀帝國 系列,5605,3,1122
41,Dead by Daylight（黎明死線）,5507,1,29919
42,飄流幻境 Online,5500,1,8897
43,APEX 英雄,5083,1,36072
44,Once Human,4891,2,78260
45,天國降臨：救贖 系列,4867,0,30945
46,龍胤立志傳,4436,3,84973
47,大俠立志傳,4417,0,76900
48,赤血沙漠,4223,0,37615
49,鬥陣特攻,4079,5,27362
50,戰地風雲,4042,3,4220
51,蘇丹的遊戲,3962,0,80841
52,魔力寶貝,3935,1,2577
53,雀魂麻將majsoul,3829,1,36476
54,天外Online,3601,0,6784
55,三國志 系列,3499,3,6331
56,新衝天跑,3446,0,9426
57,艾爾之光,3436,0,12259
58,戰車世界 World of Tanks,3410,2,18214
59,上古卷軸 系列(The Elder Scrolls),3354,0,2526
60,魔獸爭霸,3226,0,3044
61,巫師 The Witcher 系列,3139,0,7364
62,特戰英豪,3125,2,38093
63,武林同萌傳Online,3089,0,6960
64,暗黑破壞神 3,3069,1,21400
65,激戰 2（Guild Wars 2 ）,3033,10,16901
66,異塵餘生 系列,2850,2,2023
67,戰慄時空之絕對武力( CS ),2849,1,1473
68,搞鬼 Online（Ghost）,2647,1,9753
69,絕地求生 PUBG,2629,3,30630
70,空洞騎士  系列,2488,0,27487
71,黑神話 系列,2484,0,39114
72,漫威爭鋒,2333,3,79940
73,RPG製作大師,2311,0,4918
74,永恆冒險 Grand Chase Classic,2261,1,8948
75,逸劍風雲決,2257,0,76881
76,劍靈 Blade & Soul,2188,1,12980
77,逃離鴨科夫,2182,0,83580
78,阿爾比恩 Online,2118,3,27044
79,金庸群俠傳,2091,1,10859
80,邊緣世界,2085,0,27313
81,七日殺,2053,1,24608
82,A.V.A 戰地之王,1998,2,16618
83,逃離塔科夫,1976,1,29943
84,仙劍奇俠傳 系列,1968,0,2417
85,戰爭雷霆（War Thunder）,1965,2,20947
86,鬼谷八荒,1961,0,70540
87,方舟 系列,1933,2,28423
88,騎馬與砍殺,1879,0,16393
89,第一繼承者,1870,0,71782
90,星露谷物語 Stardew Valley,1866,0,20774
91,巨商,1858,0,5079
92,決勝時刻,1844,0,5371
93,石器時代 系列,1805,0,1571
94,造化仙緣,1787,1,85750
95,吸血鬼倖存者,1766,0,74171
96,失落的方舟（Lost Ark）,1749,1,27410
97,精靈樂章 Online,1707,0,16213
98,Don't Starve,1702,0,23632
99,幕府將軍、全軍破敵系列,1689,2,4236
100,魔力寶貝：永恆初心,1685,3,70151
101,Core Keeper,1601,1,74451
102,俠客風雲傳 系列,1590,1,3148
103,虹彩六號 系列,1580,1,1054
104,新龍之谷 Dragon Nest,1577,0,13211
105,魔獸世界：經典版,1562,1,36703
106,殭屍毀滅工程 Project Zomboid,1489,2,20202
107,歐洲美洲卡車模擬 系列,1489,0,16179
108,千年戰爭 Aigis～一般版～,1472,1,27417
109,皇者天下,1469,1,38055
110,幻世錄 系列,1462,5,3490
111,東方Project 系列,1450,0,10039
112,背包夥伴,1396,5,85261
113,對魔忍 RPG,1386,1,35303
114,童話 Online,1383,0,4211
115,新天堂II,1321,0,5264
116,Freestyle: Reboot,1315,2,85300
117,星海爭霸,1293,2,3037
118,武林群俠傳 Online,1254,0,12118
119,黑帝斯,1252,0,35739
120,彩虹島物語,1230,7,30470
