rank,title,popularity,article,bsn
1,異環,234369,338,80679
2,鳴潮,218948,192,74934
3,SD 鋼彈 G 世代 永恆,122423,51,74906
4,卡厄思夢境,115678,61,80099
5,勇者鬥惡龍 破限亂鬥,114266,44,83661
6,勝利女神：妮姬,100092,53,36390
7,棕色塵埃 2,96661,28,76207
8,Fate/Grand Order,93851,44,26742
9,神魔之塔,91956,87,23805
10,崩壞：星穹鐵道,82858,51,72822
11,絕區零,80999,73,74860
12,原神,71255,48,36730
13,明日方舟：終末地,61571,38,74604
14,貓咪大戰爭（にゃんこ大戦争）,53811,8,23772
15,天堂 Mobile,43704,20,25908
16,辟邪除妖 Variants Daphne,36563,16,70180
17,RO 仙境傳說：世界之旅,33022,8,83054
18,闇影詩章 Shadowverse,31854,19,29330
19,明日方舟,31698,29,33651
20,點點英雄：骰子傳說,31362,15,85135
21,傳說對決 Arena of Valor,30000,249,30518
22,蔚藍檔案,29421,15,38898
23,Pikmin Bloom,27159,8,72889
24,怪物彈珠,23326,9,25052
25,寶可夢集換式卡牌遊戲口袋版,22071,62,79688
26,XXL 猛漢町,21486,13,80107
27,心動小鎮,19889,6,75403
28,Pokemon GO,18713,5,29659
29,鬼雄三國：主公有夠鬼,17760,46,85099
30,超異域公主連結☆Re:Dive,17446,54,30861
31,Monster Hunter Now,16856,8,77414
32,劍與遠征：啟程,16520,7,75975
33,天堂 W,14478,5,71905
34,MLB：9 局職棒 系列,14310,17,31114
35,Another Eden：穿越時空的貓,12813,5,29220
36,煙雨江湖,12808,10,71402
37,楓之谷 M,11786,7,29461
38,碧藍航線,11769,4,32550
39,楓之谷：放置冒險記,11657,2,82899
40,星之救援者 StarSavior,11557,7,81995
41,無盡輪迴：鬼域摸金,11289,20,85166
42,三國志•戰略版,10796,6,36815
43,少女前線 2：追放,10764,21,70502
44,魔御：STAR DIVE,10617,9,81457
45,星塔旅人,10072,4,81566
46,第七史詩,9871,3,34880
47,最後的克勞迪亞,9438,2,35735
48,七大罪：Origin,9339,5,74141
49,全境封鎖：曙光,9323,4,75244
50,夢幻模擬戰 手機版,9079,5,33596
51,七騎士 RE:BIRTH,8953,14,79741
52,賽馬娘Pretty Derby,8282,6,34421
53,女神異聞錄：夜幕魅影,8173,10,71034
54,信長之野望 真戰,8029,9,82869
55,緋染天空 Heaven Burns Red,7729,4,37697
56,我想成為影之強者！Master of Garden,7522,7,75993
57,塵白禁域,7266,3,72111
58,嘟嘟臉惡作劇,7167,5,78781
59,洶湧海豚,6720,7,75325
60,荒野亂鬥,6591,6,32407
61,杖劍傳說：坎斯汀之約,6017,1,80389
62,重返未來：1999,6004,3,75028
63,地牢深處 Dungeon Within,5863,5,85358
64,RO 仙境傳說：愛如初見 Classic,5849,10,84500
65,天地劫 手機版,5824,1,38462
66,Limbus Company,5643,3,73052
67,DRAGON BALL Z -七龍珠爆裂激戰-,5608,1,27096
68,寒霜啟示錄,5560,1,76999
69,運氣拼輸贏,5523,3,80385
70,Kingshot,5377,0,82382
71,英雄傳說 卡卡布三部曲,5226,5,80736
72,Rogue with the Dead - 亡途轉生,5217,5,81808
73,魔靈召喚,5120,3,26380
74,鈴蘭之劍：爲這和平的世界,5056,4,71838
75,英雄聯盟：聯盟戰棋,4914,6,38053
76,薑餅人王國,4861,1,70199
77,三國：謀定天下,4764,0,83812
78,逆水寒,4621,4,77001
79,Pokémon Sleep,4508,18,36685
80,寶可夢大師,4427,1,36673
81,世界計畫 繽紛舞台！ feat. 初音未來,4288,3,37505
82,問答 RPG 魔法使與黑貓維茲,4214,3,25730
83,異域戰記,4115,3,73066
84,龍族拼圖 Puzzle & Dragons,4041,0,22153
85,遺忘之劍,3985,7,80652
86,航海王：秘寶尋航,3962,0,26291
87,RO 新世代：攜手同行,3897,4,37030
88,同盟塔防戰,3780,3,81508
89,守望傳說 Guardian Tales,3650,0,38113
90,召喚圖板 Summons Board,3582,0,25691
91,RAID : Shadow Legends,3567,9,36208
92,白貓 Project,3440,0,26686
93,蔚藍星球：國王很忙,3439,4,83538
94,歧路旅人：大陸的霸者,3351,1,36225
95,碧藍幻想 系列,3314,7,25204
96,MLB 勁旅對決,3223,2,77583
97,RO 仙境傳說：守護永恆的愛 Classic,2967,5,82344
98,新熱血江湖：世界,2856,3,84232
99,忍者喵喵：保衛村莊,2856,3,80326
100,忘卻前夜 Morimens,2839,3,78829
101,交錯戰線,2835,0,79104
102,跑跑薑餅人：烤箱大逃亡,2833,4,31023
103,遊戲王 決鬥聯盟,2737,1,29618
104,我獨自升級：ARISE,2702,2,77218
105,魔力寶貝：重返法蘭,2695,1,84025
106,咒術迴戰 幻影夜行,2653,0,71515
107,部落衝突：皇室戰爭,2642,0,29712
108,Evil Hunter Tycoon 獵魔村物語,2573,1,38066
109,卡皮巴拉 Go,2543,3,81254
110,全民打棒球 Pro,2523,3,39283
111,RO仙境傳說：守護永恆的愛,2523,0,28924
112,BanG Dream！少女樂團派對,2517,1,31877
113,英雄聯盟：激鬥峽谷,2494,0,37459
114,貓咪造咖,2469,5,81462
115,符文大地傳說,2457,1,37462
116,弓箭傳說 系列,2447,2,36683
117,鎖鏈戰記 CHAIN CHRONICLE,2440,1,24520
118,Bleach：刀鳴,2429,5,78017
119,救世者之樹M,2418,2,74968
120,二重螺旋,2274,2,78855
