rank,title,popularity,article,bsn
1,電腦應用綜合討論,140068,66,60030
2,Steam 綜合討論板,60969,21,60599
3,綜合公仔玩具討論區,34295,12,60036
4,影音視聽討論區,14921,6,60535
5,智慧型手機,14320,7,60559
6,職場甘苦談,13583,6,60561
7,動漫相關綜合,13046,72,60037
8,ACG二手交易板,11510,86,60508
9,電影娛樂新視界,8263,14,60200
10,歡樂惡搞 KUSO,7399,7,60084
11,布袋戲文化綜合討論區,5820,2,867
12,汽機車討論,4722,1,60545
13,電視遊樂器綜合討論區,4577,1,60001
14,野戰 (生存) 遊戲,3695,0,60534
15,軍事策略,3109,4,60208
16,講談說論,2495,7,60440
17,酸甜苦辣留言板,2400,0,60091
18,虛擬 Youtuber（Vtuber）,2346,20,60608
19,NBA 系列,1849,2,4373
20,繪畫與影像技術交流,1837,2,60143
21,模型技術與資訊,1696,3,60053
22,VR 虛擬實境綜合討論,1657,0,60606
23,恐怖驚悚,1645,0,60201
24,世界之不可思議,1480,0,60433
25,空想奇談創作交流區,1310,6,60154
26,桌上角色扮演遊戲(TRPG)討論,1291,1,60429
27,輕小說綜合,1204,3,60415
28,熱門美國影集,1099,3,60481
29,美少女遊戲,1027,0,60446
30,女性向遊戲,887,0,60480
31,聲優天地,869,3,60388
32,偽娘向上委員會,841,0,60552
33,百合天國,774,0,60405
34,綜合實況討論板,735,10,60592
35,VOCALOID 虛擬人聲,725,1,60499
36,手機與行動遊戲討論區,649,0,60059
37,桌上遊戲 (BoardGame) 綜合討論,626,0,60537
38,軍旅生活,586,1,60564
39,Cosplay 電漫角色扮演,517,2,60253
40,樂器交流板,476,0,60598
41,NVIDIA 玩家交流區,461,0,60247
42,歐美動畫綜合討論,413,0,60605
43,幸福寵物交流區,378,1,60546
44,香港漫畫板,376,0,60414
45,程式設計板,369,0,60292
46,PC Game 電腦遊戲綜合討論區,349,1,60507
47,偵探推理,346,0,60219
48,小品遊戲分享討論,328,0,60183
49,日本綜藝影劇,325,1,60531
50,集換式卡牌遊戲（TCG）討論區,322,0,81445
51,往日遊戲,322,0,60230
52,攝影交流板,316,0,60549
53,綜合武術交流,298,0,60444
54,Unity 遊戲引擎,281,0,60602
55,棒球運動推廣,273,0,60530
56,自行車,272,0,60562
57,Dolls 人形,258,0,60471
58,PC 線上遊戲綜合討論區,250,0,60520
59,笑話板,236,0,60555
60,八卦板,234,0,60553
61,電玩人求職中心,220,1,60490
62,電漫蘿莉,217,3,60199
63,陰屍路,205,0,20346
64,綜合音樂板,190,0,60229
65,韓國綜藝影劇,179,0,60536
66,遊戲修改寶典,162,0,60041
67,烹飪技巧,162,0,60565
68,MMD 製作與技術交流,159,0,60610
69,超級大玩家～吃喝玩樂電玩族,157,1,60080
70,樂高積木相關綜合,153,0,60584
71,巴哈姆特勇者造型哈啦板,153,0,60094
72,獸迷主題樂園,151,0,60604
73,網咖向上委員會,143,0,60355
74,BL 綜合討論,139,0,60198
75,網路購物交流,136,0,60554
76,海外生活及旅遊相關,134,0,60497
77,魔獸恩仇錄,130,0,60503
78,國產遊戲綜合區,127,1,60402
79,校園生活,123,0,60556
80,外語討論板,121,0,60541
81,心理測驗綜合討論,118,0,60217
82,AMD Fans 俱樂部,116,0,60152
83,奇幻文學與遊戲,107,0,60215
84,圖書交流哈啦板,105,0,60286
85,SCP 基金會綜合討論,104,0,22580
86,獨立遊戲 Indie Game,102,0,60603
87,台南市,94,0,60570
88,影像處理製作技巧,92,0,60427
89,巴哈勇者造型創作技巧討論板,90,0,60153
90,日本歷史相關ACG(遊戲動漫),82,0,60238
91,嘉義板,81,0,60578
92,迪士尼電影動畫系列綜合板,79,0,60600
93,新竹板,74,0,60573
94,網路暨遊戲安全防護,72,0,60289
95,武俠世界,70,0,60368
96,台中市,68,0,60569
97,桃園板,67,0,60572
98,中華歷史相關遊戲,67,0,60318
99,屏東板,64,0,60579
100,魔術方塊,62,0,60532
101,SQUARE ENIX,62,0,60071
102,CSI 犯罪現場 系列,62,0,8092
103,光榮板,61,0,60022
104,日本歌曲與歌手,59,0,60601
105,特文館寫作交流區,56,0,60156
106,海外遊戲先鋒板,56,0,60543
107,流行娛樂特區,54,0,60434
108,港澳地區板,51,0,60519
109,飛鏢運動推廣交流,46,0,60589
110,APP 軟體交流,44,0,60593
111,高雄市,41,0,60571
112,台北市,41,0,60567
113,光線槍射擊遊戲,40,0,60218
114,星座交流,37,0,60566
115,同人誌萬花筒,36,0,60377
116,勇者小屋佈景創作交流區,34,0,60460
117,兩岸動漫遊戲交流板,33,0,60445
118,養成網頁遊戲～寵物愛好者,31,4,60306
119,同人音樂,31,0,60523
120,大眾交通討論板,30,0,60586
