rank,title,popularity,article,bsn
1,天堂：經典版,250801,201,84452
2,新楓之谷,239533,45,7650
3,MapleStory Worlds,190841,75,79354
4,燕雲十六聲,165188,153,75703
5,Final Fantasy XIV,149309,118,17608
6,暗黑破壞神,119337,299,742
7,赤血沙漠,100816,112,37615
8,英雄聯盟 League of Legends,93871,98,17532
9,流亡黯道 Path of Exile,76831,18,18966
10,AION2,66648,59,82913
11,RO 仙境傳說 Online,50325,15,4212
12,黑色沙漠 BLACK DESERT,31557,16,19017
13,APEX 英雄,31299,9,36072
14,WOW 魔獸世界,28860,22,5219
15,暗黑破壞神 4,24674,11,75105
16,龍胤立志傳,21264,17,84973
17,Slay the Spire,17158,2,33661
18,Minecraft 我的世界（當個創世神）,16816,38,18673
19,爐石戰記,14719,2,24044
20,天堂Lineage,13121,0,842
21,RO 仙境傳說 Online：樂園,12680,6,83142
22,鬥陣特攻,11227,6,27362
23,Garena 三角洲行動,8776,11,78342
24,CS Online﹝絕對武力﹞,8658,8,11902
25,新瑪奇 Mabinogi,7715,1,7422
26,戰艦世界 World of Warships,7629,7,21052
27,雀魂麻將majsoul,7053,2,36476
28,最後紀元 Last Epoch,7019,0,35693
29,幻獸帕魯,6660,9,71458
30,戰鎚：40K 系列（Warhammer:40000）,6607,0,7506
31,Warframe,6437,7,22797
32,天國降臨：救贖 系列,5822,2,30945
33,電馭叛客 2077,5483,2,23379
34,Dead by Daylight（黎明死線）,5474,1,29919
35,暗黑破壞神 3,5377,1,21400
36,新瑪奇英雄傳,5153,1,16583
37,活俠傳,4989,0,73317
38,柏德之門 系列,4960,0,2954
39,第一繼承者,4682,8,71782
40,飄流幻境 Online,4586,0,8897
41,希望戀曲 Online,4562,1,18041
42,特戰英豪,4203,1,38093
43,Once Human,4022,2,78260
44,魔力寶貝,3972,2,2577
45,御城收藏,3660,3,26608
46,世紀帝國 系列,3642,1,1122
47,戰爭雷霆（War Thunder）,3338,1,20947
48,戰意,3203,0,30786
49,千年戰爭 Aigis～一般版～,3179,3,27417
50,流亡黯道 PoE 2,3144,1,82273
51,天外Online,3099,0,6784
52,潛水員戴夫,3041,0,35628
53,大俠立志傳,2974,0,76900
54,魔獸爭霸,2955,2,3044
55,戰車世界 World of Tanks,2916,0,18214
56,戰地風雲,2896,3,4220
57,戰慄時空之絕對武力( CS ),2873,3,1473
58,空洞騎士  系列,2806,2,27487
59,上古卷軸 系列(The Elder Scrolls),2723,2,2526
60,Core Keeper,2721,1,74451
61,武林同萌傳Online,2679,0,6960
62,對魔忍特遣隊,2541,7,84391
63,異塵餘生 系列,2482,0,2023
64,石器時代 系列,2369,0,1571
65,三國志 系列,2359,2,6331
66,逃離鴨科夫,2306,0,83580
67,對魔忍 RPG,2257,1,35303
68,阿爾比恩 Online,2225,3,27044
69,艾爾之光,2205,0,12259
70,黑神話 系列,2179,0,39114
71,絕地求生 PUBG,2090,1,30630
72,Stoneshard,1988,0,38794
73,永恆輪迴,1978,0,38217
74,巨商,1942,0,5079
75,逸劍風雲決,1941,0,76881
76,永無寧日,1921,3,79196
77,霧鎖王國,1900,0,77537
78,劍靈 Blade & Soul,1896,1,12980
79,永恆冒險 Grand Chase Classic,1864,1,8948
80,新熱血江湖 Online,1804,1,8294
81,金庸群俠傳,1762,2,10859
82,天使之戀Online 國際版,1674,1,9734
83,歐洲美洲卡車模擬 系列,1671,0,16179
84,漫威爭鋒,1646,2,79940
85,艦隊 Collection,1628,1,24698
86,邊緣世界,1600,1,27313
87,巫師 The Witcher 系列,1600,2,7364
88,星露谷物語 Stardew Valley,1587,0,20774
89,鬼谷八荒,1573,0,70540
90,虹彩六號 系列,1536,3,1054
91,RPG製作大師,1517,0,4918
92,方舟 系列,1462,0,28423
93,火炬之光：無限,1450,0,74756
94,殭屍毀滅工程 Project Zomboid,1446,0,20202
95,失落的方舟（Lost Ark）,1433,0,27410
96,武林群俠傳 Online,1425,0,12118
97,夢之形,1421,0,82031
98,明星志願 系列,1396,0,866
99,遺跡：來自灰燼,1372,0,34991
100,七日殺,1372,1,24608
101,吸血鬼倖存者,1331,1,74171
102,R.E.P.O.,1323,0,82396
103,魔物娘 TD,1286,1,74552
104,黑帝斯,1243,0,35739
105,仙劍奇俠傳 系列,1217,0,2417
106,邪神戰記拉萊耶少女隊,1192,2,85116
107,Grim Dawn,1192,1,19441
108,皇者天下,1177,0,38055
109,俠客風雲傳 系列,1159,0,3148
110,騎馬與砍殺,1155,0,16393
111,Unlight,1154,2,20111
112,封印者：CLOSERS,1151,1,23655
113,童話 Online,1142,1,4211
114,魔力寶貝：永恆初心,1075,0,70151
115,幕府將軍、全軍破敵系列,1046,0,4236
116,Cities: Skylines,1045,0,27991
117,逃離塔科夫,1029,0,29943
118,激戰 2（Guild Wars 2 ）,1028,1,16901
119,女神 Online（NS Online）,973,6,13013
120,魔獸世界：經典版,963,0,36703
