rank,title,popularity,article,bsn
1,電腦應用綜合討論,155450,83,60030
2,Steam 綜合討論板,72043,23,60599
3,綜合公仔玩具討論區,38240,9,60036
4,動漫相關綜合,15964,82,60037
5,影音視聽討論區,14512,1,60535
6,智慧型手機,13542,11,60559
7,ACG二手交易板,12590,98,60508
8,電影娛樂新視界,12472,8,60200
9,職場甘苦談,11322,5,60561
10,歡樂惡搞 KUSO,8863,10,60084
11,汽機車討論,5278,5,60545
12,模型技術與資訊,5171,3,60053
13,NBA 系列,4931,2,4373
14,布袋戲文化綜合討論區,4439,1,867
15,野戰 (生存) 遊戲,4108,1,60534
16,電視遊樂器綜合討論區,3361,0,60001
17,講談說論,3334,12,60440
18,酸甜苦辣留言板,3249,1,60091
19,軍事策略,2965,2,60208
20,虛擬 Youtuber（Vtuber）,2390,15,60608
21,VR 虛擬實境綜合討論,2263,0,60606
22,桌上角色扮演遊戲(TRPG)討論,2138,1,60429
23,繪畫與影像技術交流,1850,1,60143
24,恐怖驚悚,1822,0,60201
25,世界之不可思議,1590,0,60433
26,美少女遊戲,1429,1,60446
27,輕小說綜合,1191,0,60415
28,女性向遊戲,1102,1,60480
29,熱門美國影集,990,1,60481
30,綜合實況討論板,959,8,60592
31,偽娘向上委員會,809,2,60552
32,桌上遊戲 (BoardGame) 綜合討論,790,0,60537
33,空想奇談創作交流區,788,12,60154
34,百合天國,728,0,60405
35,手機與行動遊戲討論區,707,0,60059
36,樂器交流板,694,0,60598
37,軍旅生活,646,1,60564
38,香港漫畫板,635,0,60414
39,Cosplay 電漫角色扮演,620,0,60253
40,VOCALOID 虛擬人聲,525,0,60499
41,歐美動畫綜合討論,518,1,60605
42,小品遊戲分享討論,515,3,60183
43,棒球運動推廣,461,0,60530
44,集換式卡牌遊戲（TCG）討論區,456,0,81445
45,程式設計板,419,0,60292
46,偵探推理,408,0,60219
47,幸福寵物交流區,405,0,60546
48,綜合武術交流,379,0,60444
49,往日遊戲,365,0,60230
50,NVIDIA 玩家交流區,351,0,60247
51,自行車,327,0,60562
52,日本綜藝影劇,322,0,60531
53,攝影交流板,313,0,60549
54,Unity 遊戲引擎,308,0,60602
55,電漫蘿莉,296,6,60199
56,聲優天地,296,0,60388
57,PC 線上遊戲綜合討論區,291,0,60520
58,超級大玩家～吃喝玩樂電玩族,267,0,60080
59,八卦板,257,0,60553
60,PC Game 電腦遊戲綜合討論區,255,0,60507
61,Dolls 人形,253,1,60471
62,電玩人求職中心,234,1,60490
63,樂高積木相關綜合,231,0,60584
64,魔獸恩仇錄,224,0,60503
65,笑話板,219,0,60555
66,綜合音樂板,203,2,60229
67,網路購物交流,200,0,60554
68,遊戲修改寶典,191,0,60041
69,獨立遊戲 Indie Game,187,2,60603
70,海外生活及旅遊相關,187,0,60497
71,烹飪技巧,186,0,60565
72,國產遊戲綜合區,186,0,60402
73,韓國綜藝影劇,181,0,60536
74,外語討論板,181,0,60541
75,陰屍路,169,0,20346
76,巴哈姆特勇者造型哈啦板,167,0,60094
77,奇幻文學與遊戲,164,0,60215
78,獸迷主題樂園,159,0,60604
79,BL 綜合討論,156,0,60198
80,武俠世界,148,0,60368
81,日本歷史相關ACG(遊戲動漫),143,1,60238
82,網咖向上委員會,140,0,60355
83,迪士尼電影動畫系列綜合板,138,0,60600
84,MMD 製作與技術交流,132,0,60610
85,影像處理製作技巧,129,0,60427
86,心理測驗綜合討論,125,0,60217
87,中華歷史相關遊戲,124,0,60318
88,圖書交流哈啦板,122,0,60286
89,光榮板,121,0,60022
90,屏東板,116,0,60579
91,台中市,113,0,60569
92,台南市,111,0,60570
93,光線槍射擊遊戲,103,0,60218
94,AMD Fans 俱樂部,103,0,60152
95,養成網頁遊戲～寵物愛好者,99,1,60306
96,魔術方塊,98,0,60532
97,SQUARE ENIX,88,0,60071
98,CSI 犯罪現場 系列,86,0,8092
99,桃園板,84,0,60572
100,校園生活,82,0,60556
101,飛鏢運動推廣交流,81,0,60589
102,海外遊戲先鋒板,76,0,60543
103,家庭作業,76,0,60558
104,APP 軟體交流,76,0,60593
105,綜合運動板,73,0,60540
106,血肉之戰（Flesh and Blood）,71,0,71362
107,台北市,71,0,60567
108,巴哈勇者造型創作技巧討論板,70,0,60153
109,網路暨遊戲安全防護,69,0,60289
110,港澳地區板,69,0,60519
111,新竹板,69,0,60573
112,特文館寫作交流區,68,0,60156
113,嘉義板,68,0,60578
114,SCP 基金會綜合討論,66,0,22580
115,星座交流,65,0,60566
116,兩岸動漫遊戲交流板,62,0,60445
117,高雄市,61,0,60571
118,新北市,58,0,60568
119,花蓮板,57,0,60581
120,大眾交通討論板,57,0,60586
