rank,title,popularity,article,bsn
1,鳴潮,307500,164,74934
2,棕色塵埃 2,306212,53,76207
3,SD 鋼彈 G 世代 永恆,178461,39,74906
4,異環,134795,136,80679
5,神魔之塔,71965,93,23805
6,勝利女神：妮姬,71170,42,36390
7,原神,61524,67,36730
8,貓咪大戰爭（にゃんこ大戦争）,57154,4,23772
9,崩壞：星穹鐵道,52434,27,72822
10,卡厄思夢境,50135,18,80099
11,蔚藍檔案,46362,16,38898
12,星之救援者 StarSavior,42099,23,81995
13,Fate/Grand Order,39493,46,26742
14,明日方舟：終末地,38230,24,74604
15,天堂 Mobile,32777,10,25908
16,勇者鬥惡龍 破限亂鬥,30210,14,83661
17,怪物彈珠,29871,26,25052
18,辟邪除妖 Variants Daphne,29580,14,70180
19,瑞利昂 (RELLION)：NPC 的生存記,26418,6,85516
20,Pokemon GO,25100,11,29659
21,絕區零,24250,40,74860
22,Pikmin Bloom,23433,2,72889
23,天堂 W,22934,14,71905
24,寶可夢集換式卡牌遊戲口袋版,20985,49,79688
25,RO 仙境傳說：世界之旅,20833,7,83054
26,明日方舟,20575,16,33651
27,七騎士 RE:BIRTH,20527,16,79741
28,超時空街球對決,18794,31,85216
29,闇影詩章 Shadowverse,16006,5,29330
30,鈴蘭之劍：爲這和平的世界,15160,8,71838
31,忘卻前夜 Morimens,15120,9,78829
32,Monster Hunter Now,14883,7,77414
33,傳說對決 Arena of Valor,14647,18,30518
34,碧藍航線,13887,9,32550
35,楓之谷 M,13246,1,29461
36,超異域公主連結☆Re:Dive,12450,20,30861
37,權力遊戲：國王大道,11895,11,81266
38,運氣拼輸贏,11560,4,80385
39,第七史詩,11255,12,34880
40,煙雨江湖,11164,5,71402
41,緋染天空 Heaven Burns Red,9436,11,37697
42,少女前線 2：追放,9422,17,70502
43,心動小鎮,9350,6,75403
44,賽馬娘Pretty Derby,9157,80,34421
45,劍與遠征：啟程,9142,3,75975
46,三國志•戰略版,9062,4,36815
47,星塔旅人,8621,3,81566
48,楓之谷：放置冒險記,8232,4,82899
49,杖劍傳說：坎斯汀之約,8090,4,80389
50,世界計畫 繽紛舞台！ feat. 初音未來,7830,3,37505
51,Another Eden：穿越時空的貓,7170,0,29220
52,碧藍幻想 系列,7053,7,25204
53,點點英雄：骰子傳說,6979,3,85135
54,荒野亂鬥,6900,5,32407
55,女神異聞錄：夜幕魅影,6439,3,71034
56,夢幻模擬戰 手機版,6072,0,33596
57,Limbus Company,5903,4,73052
58,寶可夢大師,5840,2,36673
59,寒霜啟示錄,5819,1,76999
60,重返未來：1999,5702,2,75028
61,召喚圖板 Summons Board,5656,7,25691
62,無盡輪迴：鬼域摸金,5607,5,85166
63,MLB：9 局職棒 系列,5594,2,31114
64,魔靈召喚,5555,4,26380
65,天地劫 手機版,5371,6,38462
66,Pokémon Sleep,5356,24,36685
67,魔御：STAR DIVE,5350,2,81457
68,逆水寒,5310,0,77001
69,白貓 Project,5268,4,26686
70,地牢深處 Dungeon Within,5086,1,85358
71,二重螺旋,4979,10,78855
72,Kingshot,4673,1,82382
73,Rogue with the Dead - 亡途轉生,4606,2,81808
74,英雄聯盟：聯盟戰棋,4532,3,38053
75,青丘世界：緣起,4516,1,85071
76,全境封鎖：曙光,4428,4,75244
77,Raven2：渡鴉,4393,5,74144
78,塵白禁域,4311,2,72111
79,DRAGON BALL Z -七龍珠爆裂激戰-,4280,6,27096
80,最後的克勞迪亞,4175,0,35735
81,信長之野望 真戰,4164,5,82869
82,鋼嵐,4125,6,78998
83,MLB 勁旅對決,4086,6,77583
84,鬼雄三國：主公有夠鬼,4022,4,85099
85,緋紅的神約 Echocalypse,3971,3,75058
86,戰雙帕彌什,3877,4,37463
87,瑪奇 Mobile,3793,10,32564
88,XXL 猛漢町,3764,0,80107
89,復活邪神 Re ; universe,3658,8,35284
90,薑餅人王國,3575,2,70199
91,我想成為影之強者！Master of Garden,3525,5,75993
92,嘟嘟臉惡作劇,3514,4,78781
93,遊戲王 決鬥聯盟,3497,4,29618
94,NBA 王朝崛起,3496,1,85221
95,部落衝突：皇室戰爭,3472,3,29712
96,龍族拼圖 Puzzle & Dragons,3455,0,22153
97,忍者喵喵：保衛村莊,3378,1,80326
98,守望傳說 Guardian Tales,3370,1,38113
99,LINE Rangers 銀河特攻隊,3282,0,25967
100,同盟塔防戰,3230,2,81508
101,七大罪：Origin,3201,0,74141
102,弓箭傳說 系列,3169,3,36683
103,三國：謀定天下,3128,0,83812
104,Bleach：刀鳴,3013,5,78017
105,天堂 2 M,2921,2,33316
106,七大罪：光與暗之交戰,2890,1,34342
107,關於我轉生變成史萊姆這檔事 魔王與龍的建國譚,2869,0,70913
108,RO 新世代：攜手同行,2858,0,37030
109,異域戰記,2840,0,73066
110,RAID : Shadow Legends,2837,3,36208
111,車車屍搭普,2816,0,85398
112,咒術迴戰 幻影夜行,2812,3,71515
113,飄流幻境 Re：星之方舟,2777,5,82442
114,Evil Hunter Tycoon 獵魔村物語,2729,1,38066
115,卡皮巴拉 Go,2691,0,81254
116,Dungeon Slasher,2670,3,79453
117,BanG Dream！少女樂團派對,2640,2,31877
118,問答 RPG 魔法使與黑貓維茲,2587,2,25730
119,托蘭異世錄 Toram Online RPG,2586,2,28271
120,全明星街球派對,2531,0,79697
