rank,title,popularity,article,bsn
1,電腦應用綜合討論,153178,61,60030
2,Steam 綜合討論板,86336,36,60599
3,綜合公仔玩具討論區,39613,24,60036
4,影音視聽討論區,13838,2,60535
5,動漫相關綜合,13803,47,60037
6,職場甘苦談,13353,8,60561
7,智慧型手機,12766,11,60559
8,ACG二手交易板,11414,98,60508
9,電影娛樂新視界,8329,8,60200
10,歡樂惡搞 KUSO,5943,5,60084
11,汽機車討論,4822,2,60545
12,模型技術與資訊,4546,3,60053
13,布袋戲文化綜合討論區,3862,0,867
14,野戰 (生存) 遊戲,3824,3,60534
15,酸甜苦辣留言板,3183,8,60091
16,講談說論,3159,4,60440
17,電視遊樂器綜合討論區,3097,4,60001
18,軍事策略,2512,3,60208
19,虛擬 Youtuber（Vtuber）,2452,15,60608
20,NBA 系列,2023,2,4373
21,VR 虛擬實境綜合討論,1794,1,60606
22,繪畫與影像技術交流,1664,1,60143
23,恐怖驚悚,1586,0,60201
24,桌上角色扮演遊戲(TRPG)討論,1513,4,60429
25,世界之不可思議,1090,0,60433
26,女性向遊戲,1009,0,60480
27,輕小說綜合,994,2,60415
28,美少女遊戲,943,1,60446
29,綜合實況討論板,940,7,60592
30,熱門美國影集,916,1,60481
31,偽娘向上委員會,846,4,60552
32,軍旅生活,810,0,60564
33,百合天國,762,0,60405
34,桌上遊戲 (BoardGame) 綜合討論,581,0,60537
35,手機與行動遊戲討論區,513,0,60059
36,香港漫畫板,499,0,60414
37,空想奇談創作交流區,482,4,60154
38,幸福寵物交流區,444,1,60546
39,VOCALOID 虛擬人聲,427,1,60499
40,程式設計板,426,0,60292
41,集換式卡牌遊戲（TCG）討論區,424,0,81445
42,歐美動畫綜合討論,415,0,60605
43,樂器交流板,412,0,60598
44,小品遊戲分享討論,349,0,60183
45,Cosplay 電漫角色扮演,331,0,60253
46,偵探推理,328,0,60219
47,聲優天地,299,0,60388
48,日本綜藝影劇,299,0,60531
49,電漫蘿莉,295,3,60199
50,Unity 遊戲引擎,293,1,60602
51,綜合武術交流,292,0,60444
52,攝影交流板,285,0,60549
53,NVIDIA 玩家交流區,279,0,60247
54,棒球運動推廣,274,4,60530
55,往日遊戲,261,0,60230
56,笑話板,252,0,60555
57,PC Game 電腦遊戲綜合討論區,219,0,60507
58,自行車,218,0,60562
59,超級大玩家～吃喝玩樂電玩族,215,0,60080
60,Dolls 人形,213,1,60471
61,BL 綜合討論,208,0,60198
62,PC 線上遊戲綜合討論區,206,0,60520
63,綜合音樂板,187,0,60229
64,電玩人求職中心,186,0,60490
65,八卦板,183,0,60553
66,網路購物交流,176,1,60554
67,網咖向上委員會,173,0,60355
68,韓國綜藝影劇,171,0,60536
69,國產遊戲綜合區,165,0,60402
70,獨立遊戲 Indie Game,161,0,60603
71,遊戲修改寶典,153,0,60041
72,外語討論板,152,0,60541
73,MMD 製作與技術交流,151,0,60610
74,飛鏢運動推廣交流,145,0,60589
75,烹飪技巧,145,0,60565
76,海外生活及旅遊相關,145,0,60497
77,魔獸恩仇錄,140,0,60503
78,陰屍路,134,0,20346
79,樂高積木相關綜合,134,0,60584
80,獸迷主題樂園,128,0,60604
81,日本歷史相關ACG(遊戲動漫),115,0,60238
82,奇幻文學與遊戲,113,0,60215
83,圖書交流哈啦板,111,0,60286
84,光榮板,102,0,60022
85,CSI 犯罪現場 系列,98,0,8092
86,心理測驗綜合討論,97,0,60217
87,影像處理製作技巧,93,0,60427
88,武俠世界,89,0,60368
89,屏東板,89,0,60579
90,SCP 基金會綜合討論,89,0,22580
91,巴哈姆特勇者造型哈啦板,88,0,60094
92,迪士尼電影動畫系列綜合板,87,0,60600
93,中華歷史相關遊戲,87,0,60318
94,台南市,86,0,60570
95,SQUARE ENIX,85,0,60071
96,AMD Fans 俱樂部,82,0,60152
97,校園生活,74,0,60556
98,養成網頁遊戲～寵物愛好者,73,0,60306
99,家庭作業,73,0,60558
100,光線槍射擊遊戲,71,0,60218
101,APP 軟體交流,69,0,60593
102,海外遊戲先鋒板,67,0,60543
103,新竹板,67,0,60573
104,魔術方塊,66,0,60532
105,台中市,66,0,60569
106,綜合運動板,61,0,60540
107,港澳地區板,58,0,60519
108,嘉義板,58,0,60578
109,運動類遊戲,57,0,60237
110,新北市,56,0,60568
111,兩岸動漫遊戲交流板,56,0,60445
112,花蓮板,54,0,60581
113,桃園板,54,0,60572
114,星座交流,54,0,60566
115,Lycee Trading Card Game,54,0,60505
116,高雄市,52,0,60571
117,網路暨遊戲安全防護,52,0,60289
118,彰化板,51,0,60575
119,台北市,49,0,60567
120,巴哈勇者造型創作技巧討論板,47,0,60153
