rank,title,popularity,article,bsn
1,MapleStory Worlds,381771,121,79354
2,天堂：經典版,169171,135,84452
3,新楓之谷,165040,35,7650
4,Final Fantasy XIV,146313,115,17608
5,燕雲十六聲,90070,104,75703
6,AION2,67351,57,82913
7,英雄聯盟 League of Legends,63630,242,17532
8,暗黑破壞神,53101,148,742
9,赤血沙漠,48853,40,37615
10,暗黑破壞神 4,46762,19,75105
11,RO 仙境傳說 Online,46611,7,4212
12,黑色沙漠 BLACK DESERT,34945,24,19017
13,流亡黯道 Path of Exile,34260,6,18966
14,WOW 魔獸世界,25820,16,5219
15,火炬之光：無限,20901,6,74756
16,Minecraft 我的世界（當個創世神）,18995,35,18673
17,雀魂麻將majsoul,17017,17,36476
18,Slay the Spire,14617,5,33661
19,吸血鬼倖存者,14284,3,74171
20,風啟之旅,13618,15,84857
21,Garena 三角洲行動,13211,20,78342
22,天堂Lineage,10163,0,842
23,新瑪奇 Mabinogi,8860,3,7422
24,RO 仙境傳說 Online：樂園,8409,3,83142
25,靈魂面甲,8267,4,79921
26,鬥陣特攻,7817,7,27362
27,電馭叛客 2077,7734,0,23379
28,爐石戰記,7553,4,24044
29,龍胤立志傳,7421,1,84973
30,希望戀曲 Online,6610,1,18041
31,APEX 英雄,6529,3,36072
32,戰鎚：40K 系列（Warhammer:40000）,6503,3,7506
33,Warframe,6303,4,22797
34,柏德之門 系列,6222,5,2954
35,天國降臨：救贖 系列,6130,0,30945
36,幻獸帕魯,5177,0,71458
37,新瑪奇英雄傳,5160,2,16583
38,Once Human,4991,6,78260
39,CS Online﹝絕對武力﹞,4775,1,11902
40,戰艦世界 World of Warships,4765,4,21052
41,世紀帝國 系列,4590,1,1122
42,大俠立志傳,4441,1,76900
43,Dead by Daylight（黎明死線）,4366,1,29919
44,流亡黯道 PoE 2,4288,0,82273
45,活俠傳,4237,1,73317
46,飄流幻境 Online,4171,0,8897
47,戰車世界 World of Tanks,4153,2,18214
48,潛水員戴夫,3909,0,35628
49,三國志 系列,3608,2,6331
50,暗黑破壞神 3,3544,0,21400
51,魔力寶貝,3506,1,2577
52,武林同萌傳Online,3462,0,6960
53,黑帝斯,3364,0,35739
54,上古卷軸 系列(The Elder Scrolls),3307,0,2526
55,戰慄時空之絕對武力( CS ),3187,4,1473
56,戰地風雲,3184,1,4220
57,霧鎖王國,3130,0,77537
58,艦隊 Collection,3071,2,24698
59,絕地求生 PUBG,2995,0,30630
60,魔獸爭霸,2951,1,3044
61,異塵餘生 系列,2939,1,2023
62,天外Online,2863,0,6784
63,金庸群俠傳,2792,1,10859
64,Core Keeper,2767,0,74451
65,Stoneshard,2686,1,38794
66,戰意,2672,0,30786
67,黑神話 系列,2603,0,39114
68,艾爾之光,2547,0,12259
69,阿爾比恩 Online,2505,4,27044
70,空洞騎士  系列,2495,0,27487
71,特戰英豪,2477,1,38093
72,邊緣世界,2475,1,27313
73,第一繼承者,2400,1,71782
74,夢之形,2276,1,82031
75,逸劍風雲決,2264,0,76881
76,騎馬與砍殺,2239,3,16393
77,劍靈 Blade & Soul,2202,0,12980
78,Crusader Kings,2182,2,19480
79,鬼谷八荒,2105,0,70540
80,歐洲美洲卡車模擬 系列,2055,2,16179
81,巫師 The Witcher 系列,2009,0,7364
82,幕府將軍、全軍破敵系列,1995,1,4236
83,新熱血江湖 Online,1985,3,8294
84,方舟 系列,1979,1,28423
85,Lords of the Fallen,1866,0,24353
86,漫威爭鋒,1862,0,79940
87,仙劍奇俠傳 系列,1854,2,2417
88,巨商,1844,0,5079
89,逃離鴨科夫,1824,1,83580
90,石器時代 系列,1820,0,1571
91,RPG製作大師,1773,2,4918
92,永無寧日,1746,0,79196
93,最後紀元 Last Epoch,1719,0,35693
94,星露谷物語 Stardew Valley,1686,0,20774
95,Don't Starve,1675,0,23632
96,戰爭雷霆（War Thunder）,1643,1,20947
97,明星志願 系列,1618,0,866
98,A.V.A 戰地之王,1589,0,16618
99,永恆輪迴,1524,0,38217
100,守墓者,1511,0,35066
101,閃耀之星騎士,1490,6,78031
102,激戰 2（Guild Wars 2 ）,1452,2,16901
103,新龍之谷 Dragon Nest,1406,0,13211
104,失落的方舟（Lost Ark）,1406,0,27410
105,NEKOPARA 系列,1403,0,27445
106,武林群俠傳 Online,1385,0,12118
107,魔獸世界：經典版,1375,2,36703
108,R.E.P.O.,1357,0,82396
109,東方Project 系列,1343,5,10039
110,Grim Dawn,1330,0,19441
111,殭屍毀滅工程 Project Zomboid,1323,1,20202
112,魔力寶貝：永恆初心,1319,1,70151
113,皇者天下,1307,1,38055
114,千年戰爭 Aigis～一般版～,1300,1,27417
115,N-age 古惑人生,1293,0,6358
116,Cities: Skylines,1229,0,27991
117,童話 Online,1220,3,4211
118,新墨魂 Online,1215,3,38561
119,精靈樂章 Online,1170,1,16213
120,Unlight,1139,6,20111
