rank,title,popularity,article,bsn
1,鳴潮,183344,146,74934
2,神魔之塔,176893,155,23805
3,棕色塵埃 2,148498,32,76207
4,異環,88116,70,80679
5,絕區零,84450,60,74860
6,SD 鋼彈 G 世代 永恆,79510,14,74906
7,勝利女神：妮姬,77636,76,36390
8,貓咪大戰爭（にゃんこ大戦争）,71606,10,23772
9,原神,59654,28,36730
10,天堂 Mobile,49078,9,25908
11,崩壞：星穹鐵道,48732,78,72822
12,明日方舟：終末地,45835,48,74604
13,蔚藍檔案,45282,15,38898
14,闇影詩章 Shadowverse,40951,18,29330
15,Fate/Grand Order,38692,40,26742
16,卡厄思夢境,34359,16,80099
17,明日方舟,28921,17,33651
18,三國志•戰略版,27799,2,36815
19,Pokemon GO,25167,11,29659
20,怪物彈珠,22888,12,25052
21,勇者鬥惡龍 破限亂鬥,22697,5,83661
22,辟邪除妖 Variants Daphne,22248,7,70180
23,龍村 3,21908,19,85385
24,瑞利昂 (RELLION)：NPC 的生存記,20307,3,85516
25,Monster Hunter Now,19026,4,77414
26,Pikmin Bloom,17331,7,72889
27,超異域公主連結☆Re:Dive,17018,26,30861
28,碧藍幻想 系列,16992,21,25204
29,RO 仙境傳說：世界之旅,15140,0,83054
30,雙面神姬,14849,45,85535
31,傳說對決 Arena of Valor,14504,16,30518
32,天堂 W,14149,2,71905
33,像素深淵,13437,7,85250
34,煙雨江湖,13205,5,71402
35,楓之谷 M,13097,2,29461
36,碧藍航線,13091,4,32550
37,嘟嘟臉惡作劇,12822,14,78781
38,寶可夢集換式卡牌遊戲口袋版,12637,15,79688
39,少女前線 2：追放,12621,26,70502
40,賽馬娘Pretty Derby,12615,118,34421
41,星之救援者 StarSavior,10361,3,81995
42,第七史詩,10169,9,34880
43,魔靈召喚,9957,15,26380
44,心動小鎮,9382,4,75403
45,XXL 猛漢町,8872,8,80107
46,楓之谷：放置冒險記,8612,1,82899
47,Another Eden：穿越時空的貓,8413,0,29220
48,鈴蘭之劍：爲這和平的世界,8092,5,71838
49,信長之野望 真戰,7974,4,82869
50,Pokémon Sleep,7949,16,36685
51,杖劍傳說：坎斯汀之約,7621,2,80389
52,天地劫 手機版,7546,3,38462
53,夢幻模擬戰 手機版,7507,3,33596
54,緋染天空 Heaven Burns Red,7384,16,37697
55,七騎士 RE:BIRTH,7073,1,79741
56,最後的克勞迪亞,6996,2,35735
57,寒霜啟示錄,6884,3,76999
58,RO 新世代：攜手同行,6644,4,37030
59,召喚圖板 Summons Board,6252,9,25691
60,Limbus Company,6179,7,73052
61,生存 33 天,6174,6,85588
62,運氣拼輸贏,6059,1,80385
63,女神異聞錄：夜幕魅影,5988,6,71034
64,遊戲王 決鬥聯盟,5965,3,29618
65,Rogue with the Dead - 亡途轉生,5741,0,81808
66,MLB：9 局職棒 系列,5718,2,31114
67,忘卻前夜 Morimens,5596,6,78829
68,世界計畫 繽紛舞台！ feat. 初音未來,5513,1,37505
69,荒野亂鬥,5437,1,32407
70,龍族拼圖 Puzzle & Dragons,5419,1,22153
71,逆水寒,5383,1,77001
72,Kingshot,5071,11,82382
73,星塔旅人,5042,2,81566
74,白貓 Project,4941,3,26686
75,問答 RPG 魔法使與黑貓維茲,4762,2,25730
76,歧路旅人：大陸的霸者,4612,3,36225
77,初心者傳說：夢境大冒險,4571,17,85537
78,三國：謀定天下,4494,1,83812
79,點點英雄：骰子傳說,4466,0,85135
80,二重螺旋,4455,4,78855
81,DRAGON BALL Z -七龍珠爆裂激戰-,4221,2,27096
82,暗黑破壞神：永生不朽,4190,3,35531
83,MLB 勁旅對決,4167,5,77583
84,全境封鎖：曙光,3715,3,75244
85,藍色星原：旅謠,3684,4,79865
86,重返未來：1999,3645,0,75028
87,克魯賽德戰記 Crusaders Quest,3574,2,27586
88,塵白禁域,3573,1,72111
89,權力遊戲：國王大道,3499,1,81266
90,超時空街球對決,3485,5,85216
91,瑪奇 Mobile,3384,9,32564
92,英雄傳說 卡卡布三部曲,3326,3,80736
93,鎖鏈戰記 CHAIN CHRONICLE,3242,1,24520
94,劍與遠征：啟程,3222,2,75975
95,RAID : Shadow Legends,3172,7,36208
96,守望傳說 Guardian Tales,3011,1,38113
97,創世紀戰 Mobile：阿修羅計畫,2993,3,78762
98,薑餅人王國,2785,3,70199
99,寶可夢大師,2772,1,36673
100,Evil Hunter Tycoon 獵魔村物語,2761,1,38066
101,同盟塔防戰,2727,4,81508
102,弓箭傳說 系列,2709,3,36683
103,Bleach：刀鳴,2657,10,78017
104,忍者喵喵：保衛村莊,2566,0,80326
105,地牢深處 Dungeon Within,2529,0,85358
106,英雄聯盟：聯盟戰棋,2449,2,38053
107,魔御：STAR DIVE,2427,1,81457
108,全明星街球派對,2377,2,79697
109,緋紅的神約 Echocalypse,2371,0,75058
110,托蘭異世錄 Toram Online RPG,2371,5,28271
111,部落衝突：皇室戰爭,2367,2,29712
112,戰雙帕彌什,2366,5,37463
113,遺忘之劍,2343,3,80652
114,閃電十一人 交鋒,2328,6,84536
115,mo.co,2173,1,78936
116,魔法少女小圓 Magia Exedra（原：魔法紀錄）,2164,3,31057
117,BanG Dream！少女樂團派對,2150,0,31877
118,七大罪：Origin,2139,1,74141
119,英雄聯盟：激鬥峽谷,2115,1,37459
120,第五人格,2109,0,34038
