rank,title,popularity,article,bsn
1,棕色塵埃 2,187380,68,76207
2,鳴潮,145064,60,74934
3,異環,137729,97,80679
4,勝利女神：妮姬,134536,253,36390
5,原神,94259,73,36730
6,貓咪大戰爭（にゃんこ大戦争）,87614,10,23772
7,SD 鋼彈 G 世代 永恆,74182,24,74906
8,神魔之塔,73603,35,23805
9,崩壞：星穹鐵道,57701,22,72822
10,Fate/Grand Order,53680,32,26742
11,絕區零,52108,36,74860
12,Pokemon GO,45577,20,29659
13,天堂 Mobile,42782,13,25908
14,賽馬娘Pretty Derby,36678,25,34421
15,怪物彈珠,35372,54,25052
16,明日方舟：終末地,34484,38,74604
17,RO 仙境傳說：世界之旅,31740,11,83054
18,瑞利昂 (RELLION)：NPC 的生存記,29406,2,85516
19,闇影詩章 Shadowverse,28346,28,29330
20,蔚藍檔案,26300,16,38898
21,超異域公主連結☆Re:Dive,26034,46,30861
22,辟邪除妖 Variants Daphne,25317,6,70180
23,卡厄思夢境,24874,7,80099
24,明日方舟,24568,13,33651
25,星絆之旅,23541,9,83743
26,龍村 3,22206,23,85385
27,三國志•戰略版,21906,25,36815
28,碧藍幻想 系列,21465,20,25204
29,Monster Hunter Now,18321,15,77414
30,傳說對決 Arena of Valor,16212,23,30518
31,Pikmin Bloom,16111,3,72889
32,煙雨江湖,16097,5,71402
33,瑪奇 Mobile,14990,12,32564
34,天堂 W,14851,7,71905
35,少女前線 2：追放,13582,63,70502
36,勇者鬥惡龍 破限亂鬥,13533,4,83661
37,碧藍航線,12905,4,32550
38,寶可夢集換式卡牌遊戲口袋版,12757,37,79688
39,第七史詩,12307,10,34880
40,楓之谷 M,12010,3,29461
41,Another Eden：穿越時空的貓,11361,3,29220
42,信長之野望 真戰,9795,9,82869
43,JUMP 全明星亂鬥,9196,10,84902
44,楓之谷：放置冒險記,8700,1,82899
45,Rogue with the Dead - 亡途轉生,8318,2,81808
46,星之救援者 StarSavior,7669,0,81995
47,雙面神姬,7153,32,85535
48,Pokémon Sleep,7049,14,36685
49,重返未來：1999,7021,5,75028
50,星塔旅人,6853,6,81566
51,魔靈召喚,6844,6,26380
52,寒霜啟示錄,6675,3,76999
53,世界計畫 繽紛舞台！ feat. 初音未來,6598,0,37505
54,像素深淵,6396,6,85250
55,緋染天空 Heaven Burns Red,6122,9,37697
56,杖劍傳說：坎斯汀之約,5990,0,80389
57,七騎士 RE:BIRTH,5967,6,79741
58,運氣拼輸贏,5941,0,80385
59,夢幻模擬戰 手機版,5879,0,33596
60,DRAGON BALL Z -七龍珠爆裂激戰-,5745,0,27096
61,心動小鎮,5597,6,75403
62,XXL 猛漢町,5513,0,80107
63,嘟嘟臉惡作劇,5356,4,78781
64,Limbus Company,5253,3,73052
65,部落衝突：皇室戰爭,5217,2,29712
66,荒野亂鬥,5204,1,32407
67,最後的克勞迪亞,5109,3,35735
68,天地劫 手機版,5102,4,38462
69,RO 仙境傳說 3,4930,5,81475
70,鈴蘭之劍：爲這和平的世界,4890,0,71838
71,Bleach：刀鳴,4697,9,78017
72,逆水寒,4649,2,77001
73,女神異聞錄：夜幕魅影,4524,4,71034
74,忘卻前夜 Morimens,4382,8,78829
75,MLB：9 局職棒 系列,4327,2,31114
76,Kingshot,4314,2,82382
77,RO 新世代：攜手同行,4230,0,37030
78,生存 33 天,3905,0,85588
79,MLB 勁旅對決,3885,7,77583
80,召喚圖板 Summons Board,3647,3,25691
81,Crash Fever,3599,0,28611
82,我想成為影之強者！Master of Garden,3579,3,75993
83,白貓 Project,3555,2,26686
84,遺忘之劍,3456,4,80652
85,RAID : Shadow Legends,3377,3,36208
86,龍族幻想：勇者集結,3352,0,82339
87,Evil Hunter Tycoon 獵魔村物語,3301,0,38066
88,交錯戰線,3285,1,79104
89,LINE Rangers 銀河特攻隊,3277,2,25967
90,BLEACH 死神 Brave Souls,3277,0,27808
91,點點英雄：骰子傳說,3243,0,85135
92,龍族拼圖 Puzzle & Dragons,3202,1,22153
93,薑餅人王國,3159,3,70199
94,跑跑薑餅人：經典版,3116,1,25787
95,寶可夢大師,3051,1,36673
96,藍色星原：旅謠,2935,1,79865
97,托蘭異世錄 Toram Online RPG,2902,5,28271
98,同盟塔防戰,2891,0,81508
99,劍與遠征：啟程,2873,0,75975
100,三國：謀定天下,2742,0,83812
101,二重螺旋,2699,0,78855
102,克魯賽德戰記 Crusaders Quest,2660,0,27586
103,英雄傳說 卡卡布三部曲,2604,0,80736
104,守望傳說 Guardian Tales,2578,2,38113
105,Dungeon Slasher,2547,0,79453
106,忍者喵喵：保衛村莊,2537,1,80326
107,暗黑破壞神：永生不朽,2532,2,35531
108,卡皮巴拉 Go,2445,0,81254
109,全境封鎖：曙光,2440,3,75244
110,英雄聯盟：激鬥峽谷,2404,4,37459
111,塵白禁域,2358,1,72111
112,歧路旅人：大陸的霸者,2343,0,36225
113,崩壞 3rd,2332,2,31066
114,遊戲王 決鬥聯盟,2280,2,29618
115,問答 RPG 魔法使與黑貓維茲,2239,1,25730
116,跑跑薑餅人：烤箱大逃亡,2182,3,31023
117,緋紅的神約 Echocalypse,2168,2,75058
118,英雄聯盟：聯盟戰棋,2134,1,38053
119,戰雙帕彌什,2130,2,37463
120,我獨自升級：ARISE,2077,0,77218
