rank,title,popularity,article,bsn
1,明日方舟：終末地,187218,71,74604
2,SD 鋼彈 G 世代 永恆,169018,108,74906
3,鳴潮,154829,341,74934
4,崩壞：星穹鐵道,118498,672,72822
5,棕色塵埃 2,109934,31,76207
6,勝利女神：妮姬,99035,261,36390
7,天堂 Mobile,79717,42,25908
8,原神,76158,47,36730
9,神魔之塔,67811,50,23805
10,貓咪大戰爭（にゃんこ大戦争）,57399,6,23772
11,辟邪除妖 Variants Daphne,47423,31,70180
12,RO 仙境傳說：世界之旅,46027,19,83054
13,卡厄思夢境,37966,17,80099
14,星塔旅人,36719,12,81566
15,Pikmin Bloom,34742,27,72889
16,絕區零,34452,35,74860
17,怪物彈珠,33192,33,25052
18,星之救援者 StarSavior,32623,14,81995
19,Pokemon GO,31275,10,29659
20,七大罪：Origin,29086,14,74141
21,明日方舟,28241,23,33651
22,三國志•戰略版,26878,2,36815
23,Fate/Grand Order,24458,9,26742
24,女神異聞錄：夜幕魅影,24010,23,71034
25,超異域公主連結☆Re:Dive,22226,50,30861
26,全境封鎖：曙光,20663,18,75244
27,最後的克勞迪亞,20248,13,35735
28,RO 仙境傳說：愛如初見 Classic,19727,14,84500
29,Monster Hunter Now,19657,9,77414
30,蔚藍檔案,19123,9,38898
31,Another Eden：穿越時空的貓,17869,6,29220
32,煙雨江湖,16760,8,71402
33,寶可夢集換式卡牌遊戲口袋版,16601,29,79688
34,傳說對決 Arena of Valor,15506,15,30518
35,心動小鎮,15165,5,75403
36,信長之野望 真戰,13519,6,82869
37,楓之谷 M,13393,3,29461
38,七騎士 RE:BIRTH,13277,7,79741
39,天堂 W,13056,1,71905
40,第七史詩,12567,8,34880
41,鐳明閃擊,10775,57,80864
42,嘟嘟臉惡作劇,10733,9,78781
43,塵白禁域,10618,2,72111
44,重返未來：1999,9966,33,75028
45,緋染天空 Heaven Burns Red,9823,24,37697
46,MLB：9 局職棒 系列,9574,1,31114
47,薑餅人王國,9447,3,70199
48,楓之谷：放置冒險記,9165,1,82899
49,碧藍航線,9121,1,32550
50,運氣拼輸贏,8781,2,80385
51,闇影詩章 Shadowverse,8573,3,29330
52,杖劍傳說：坎斯汀之約,8298,0,80389
53,賽馬娘Pretty Derby,7623,4,34421
54,BanG Dream！少女樂團派對,7584,5,31877
55,XXL 猛漢町,7400,2,80107
56,少女前線 2：追放,7213,13,70502
57,魔法少女小圓 Magia Exedra（原：魔法紀錄）,7069,12,31057
58,同盟塔防戰,6875,3,81508
59,Pokémon Sleep,6834,19,36685
60,荒野亂鬥,6598,0,32407
61,世界計畫 繽紛舞台！ feat. 初音未來,6568,0,37505
62,異環,6564,16,80679
63,RO仙境傳說：愛如初見（Ragnarok ORIGIN）,6098,0,37657
64,Kingshot,6004,2,82382
65,魔靈召喚,5813,1,26380
66,寒霜啟示錄,5740,2,76999
67,碧藍幻想 系列,5609,6,25204
68,夢幻模擬戰 手機版,5529,1,33596
69,Limbus Company,5419,2,73052
70,MLB 勁旅對決,5227,7,77583
71,勇者來開團,4812,0,84046
72,逆水寒,4805,1,77001
73,VAMPIR：血之繼承者,4765,4,83065
74,英雄聯盟：聯盟戰棋,4569,2,38053
75,寶可夢大師,4556,0,36673
76,英雄傳說 卡卡布三部曲,4511,3,80736
77,蔚藍星球：國王很忙,4508,2,83538
78,克魯賽德戰記 Crusaders Quest,4450,4,27586
79,我想成為影之強者！Master of Garden,4426,6,75993
80,RO 新世代：攜手同行,4261,3,37030
81,鈴蘭之劍：爲這和平的世界,4254,0,71838
82,龍息：神寂,4235,15,77662
83,召喚圖板 Summons Board,4196,6,25691
84,三國：謀定天下,4133,0,83812
85,忍者喵喵：保衛村莊,4070,2,80326
86,英雄聯盟：激鬥峽谷,3965,3,37459
87,Hero Siege,3958,3,25288
88,Rogue with the Dead - 亡途轉生,3957,0,81808
89,咒術迴戰 幻影夜行,3861,5,71515
90,天地劫 手機版,3843,2,38462
91,全民打棒球 Pro,3767,2,39283
92,跑跑薑餅人：烤箱大逃亡,3733,3,31023
93,卡皮巴拉 Go,3703,1,81254
94,DRAGON BALL Z -七龍珠爆裂激戰-,3685,1,27096
95,我獨自升級：ARISE,3607,6,77218
96,遺忘之劍,3293,3,80652
97,藍色星原：旅謠,3269,2,79865
98,遊戲王 決鬥聯盟,3262,2,29618
99,獵人 HUNTER×HUNTER NEN×SURVIVOR,3247,6,83777
100,Legend of Ymir,3165,26,73362
101,龍族拼圖 Puzzle & Dragons,3155,3,22153
102,問答 RPG 魔法使與黑貓維茲,3035,2,25730
103,救世者之樹M,2989,0,74968
104,新三國志曹操傳,2969,0,83073
105,歧路旅人：大陸的霸者,2960,3,36225
106,弓箭傳說 系列,2954,2,36683
107,全明星街球派對,2935,0,79697
108,魔力寶貝：重返法蘭,2915,2,84025
109,Evil Hunter Tycoon 獵魔村物語,2912,0,38066
110,Bleach：刀鳴,2906,2,78017
111,RAID : Shadow Legends,2885,3,36208
112,二重螺旋,2781,1,78855
113,問劍長生,2766,1,83086
114,劍與遠征：啟程,2728,0,75975
115,天堂 2 M,2675,4,33316
116,部落衝突：皇室戰爭,2592,1,29712
117,守望傳說 Guardian Tales,2561,0,38113
118,DISSIDIA DUELLUM FINAL FANTASY,2397,1,83889
119,黑色沙漠 MOBILE,2383,0,32841
120,暗黑破壞神：永生不朽,2379,0,35531
