rank,title,popularity,article,bsn
1,新楓之谷,370635,134,7650
2,MapleStory Worlds,185962,104,79354
3,流亡黯道 PoE 2,140853,61,82273
4,天堂：經典版,98953,90,84452
5,Final Fantasy XIV,86109,64,17608
6,TBH: 塔斯克巴·英雄,79038,19,85631
7,燕雲十六聲,74475,64,75703
8,暗黑破壞神,64993,186,742
9,英雄聯盟 League of Legends,59562,273,17532
10,暗黑破壞神 4,45840,20,75105
11,RO 仙境傳說 Online,45095,8,4212
12,AION2,37163,24,82913
13,黑色沙漠 BLACK DESERT,28188,11,19017
14,Minecraft 我的世界（當個創世神）,23533,31,18673
15,流亡黯道 Path of Exile,23492,1,18966
16,新衝天跑,20469,10,9426
17,WOW 魔獸世界,18470,14,5219
18,羅馬拓荒錄,15601,2,85018
19,Freestyle: Reboot,15463,8,85300
20,戰鎚：40K 系列（Warhammer:40000）,11607,5,7506
21,赤血沙漠,10929,2,37615
22,幻獸帕魯,9698,4,71458
23,新瑪奇 Mabinogi,9694,2,7422
24,RO 仙境傳說 Online：樂園,8958,3,83142
25,天使之戀Online 國際版,8935,1,9734
26,鬥陣特攻,8867,3,27362
27,APEX 英雄,8152,3,36072
28,天堂Lineage,7875,2,842
29,活俠傳,7788,3,73317
30,電馭叛客 2077,7474,2,23379
31,Garena 三角洲行動,7125,6,78342
32,飄流幻境 Online,6562,2,8897
33,希望戀曲 Online,6372,2,18041
34,天國降臨：救贖 系列,6258,0,30945
35,柏德之門 系列,5913,0,2954
36,Warframe,5376,5,22797
37,戰艦世界 World of Warships,5333,2,21052
38,世紀帝國 系列,5189,1,1122
39,新瑪奇英雄傳,5126,2,16583
40,Core Keeper,5049,0,74451
41,CS Online﹝絕對武力﹞,5014,2,11902
42,Once Human,4866,3,78260
43,Dead by Daylight（黎明死線）,4841,2,29919
44,摩爾莊園,4839,0,16735
45,龍胤立志傳,4724,3,84973
46,天外Online,4510,1,6784
47,大俠立志傳,4443,0,76900
48,激戰 2（Guild Wars 2 ）,4227,5,16901
49,雀魂麻將majsoul,4188,5,36476
50,巫師 The Witcher 系列,4016,1,7364
51,魔獸爭霸,3882,1,3044
52,上古卷軸 系列(The Elder Scrolls),3862,1,2526
53,戰車世界 World of Tanks,3744,4,18214
54,潛水員戴夫,3633,0,35628
55,魔力寶貝,3526,2,2577
56,異塵餘生 系列,3403,2,2023
57,戰慄時空之絕對武力( CS ),3388,6,1473
58,戰意,3384,1,30786
59,黑神話 系列,3166,2,39114
60,背包夥伴,3114,18,85261
61,戰地風雲,3108,3,4220
62,賽爾號,3028,2,18072
63,巨商,2996,1,5079
64,武林同萌傳Online,2915,0,6960
65,艾爾之光,2861,0,12259
66,三國志 系列,2785,0,6331
67,阿爾比恩 Online,2723,3,27044
68,戰爭雷霆（War Thunder）,2710,0,20947
69,Slay the Spire,2668,0,33661
70,暗黑破壞神 3,2638,0,21400
71,特戰英豪,2631,2,38093
72,RPG製作大師,2614,5,4918
73,絕地求生 PUBG,2598,0,30630
74,艦隊 Collection,2572,0,24698
75,九日,2500,0,74687
76,吸血鬼倖存者,2468,0,74171
77,爐石戰記,2333,1,24044
78,逸劍風雲決,2258,0,76881
79,Stoneshard,2242,0,38794
80,亂 2 Online,2188,0,5270
81,空洞騎士  系列,2161,0,27487
82,金庸群俠傳,2126,0,10859
83,火炬之光：無限,2125,0,74756
84,劍靈 Blade & Soul,2086,1,12980
85,霧鎖王國,2061,0,77537
86,星露谷物語 Stardew Valley,2056,1,20774
87,千年戰爭 Aigis～一般版～,2045,0,27417
88,邊緣世界,2042,1,27313
89,決勝時刻,1976,6,5371
90,永無寧日,1899,0,79196
91,鬼谷八荒,1842,0,70540
92,逃離塔科夫,1832,1,29943
93,對魔忍 RPG,1820,2,35303
94,失落的方舟（Lost Ark）,1818,2,27410
95,俠客風雲傳 系列,1817,0,3148
96,魔力寶貝：永恆初心,1814,0,70151
97,方舟 系列,1811,1,28423
98,幕府將軍、全軍破敵系列,1810,0,4236
99,第一繼承者,1787,0,71782
100,武林群俠傳 Online,1774,0,12118
101,仙劍奇俠傳 系列,1755,0,2417
102,永恆冒險 Grand Chase Classic,1753,1,8948
103,殭屍毀滅工程 Project Zomboid,1745,0,20202
104,R.E.P.O.,1634,0,82396
105,魔獸世界：經典版,1619,1,36703
106,Grim Dawn,1550,1,19441
107,歐洲美洲卡車模擬 系列,1529,1,16179
108,石器時代 系列,1518,0,1571
109,逃離鴨科夫,1514,0,83580
110,陰森,1511,0,24356
111,A.V.A 戰地之王,1461,0,16618
112,東方Project 系列,1443,1,10039
113,虹彩六號 系列,1431,0,1054
114,明星志願 系列,1423,0,866
115,童話 Online,1415,0,4211
116,黑帝斯,1409,0,35739
117,AION 永恆紀元,1388,1,9856
118,百變恰吉,1279,0,7839
119,逃離迷宮後室,1233,0,75596
120,靈魂面甲,1214,0,79921
