rank,title,popularity,article,bsn
1,鳴潮,170026,70,74934
2,異環,141652,75,80679
3,棕色塵埃 2,128084,41,76207
4,勝利女神：妮姬,103719,57,36390
5,天堂 Mobile,84263,27,25908
6,原神,78016,69,36730
7,神魔之塔,78007,125,23805
8,SD 鋼彈 G 世代 永恆,77004,27,74906
9,Fate/Grand Order,76930,71,26742
10,崩壞：星穹鐵道,76503,60,72822
11,貓咪大戰爭（にゃんこ大戦争）,73979,10,23772
12,Pokemon GO,50081,12,29659
13,絕區零,47609,29,74860
14,蔚藍檔案,44147,17,38898
15,卡厄思夢境,41233,10,80099
16,勇者鬥惡龍 破限亂鬥,38626,14,83661
17,天堂 W,36961,9,71905
18,瑞利昂 (RELLION)：NPC 的生存記,36285,9,85516
19,怪物彈珠,35018,19,25052
20,賽馬娘Pretty Derby,34588,22,34421
21,碧藍幻想 系列,34367,20,25204
22,瑪奇 Mobile,33031,21,32564
23,明日方舟：終末地,30376,32,74604
24,RO 仙境傳說：世界之旅,28344,5,83054
25,闇影詩章 Shadowverse,23463,20,29330
26,明日方舟,23354,11,33651
27,辟邪除妖 Variants Daphne,22402,7,70180
28,雙面神姬,22194,42,85535
29,三國志•戰略版,17041,3,36815
30,星絆之旅,15643,9,83743
31,龍村 3,15292,17,85385
32,超異域公主連結☆Re:Dive,14939,19,30861
33,傳說對決 Arena of Valor,14891,21,30518
34,Pikmin Bloom,14889,3,72889
35,煙雨江湖,14768,11,71402
36,第七史詩,14762,13,34880
37,Monster Hunter Now,14220,7,77414
38,少女前線 2：追放,12487,24,70502
39,七騎士 RE:BIRTH,12093,6,79741
40,楓之谷 M,11993,5,29461
41,寶可夢集換式卡牌遊戲口袋版,11485,23,79688
42,碧藍航線,11044,3,32550
43,世界計畫 繽紛舞台！ feat. 初音未來,9720,1,37505
44,JUMP 全明星亂鬥,9632,14,84902
45,DRAGON BALL Z -七龍珠爆裂激戰-,8364,4,27096
46,Another Eden：穿越時空的貓,8325,2,29220
47,星之救援者 StarSavior,7530,2,81995
48,信長之野望 真戰,7193,9,82869
49,楓之谷：放置冒險記,7138,3,82899
50,最後的克勞迪亞,6927,4,35735
51,杖劍傳說：坎斯汀之約,6872,3,80389
52,鈴蘭之劍：爲這和平的世界,6822,3,71838
53,夢幻模擬戰 手機版,6766,2,33596
54,Rogue with the Dead - 亡途轉生,6131,0,81808
55,運氣拼輸贏,6115,0,80385
56,嘟嘟臉惡作劇,6083,3,78781
57,遺忘之劍,5780,3,80652
58,魔靈召喚,5622,3,26380
59,寒霜啟示錄,5453,2,76999
60,Limbus Company,5365,3,73052
61,天地劫 手機版,5230,1,38462
62,心動小鎮,5163,3,75403
63,像素深淵,5150,2,85250
64,荒野亂鬥,5119,1,32407
65,星塔旅人,5067,0,81566
66,重返未來：1999,5041,3,75028
67,部落衝突：皇室戰爭,4853,4,29712
68,XXL 猛漢町,4746,0,80107
69,Kingshot,4745,0,82382
70,MLB：9 局職棒 系列,4714,1,31114
71,RO 新世代：攜手同行,4517,1,37030
72,Pokémon Sleep,4447,8,36685
73,緋染天空 Heaven Burns Red,4233,3,37697
74,女神異聞錄：夜幕魅影,4175,3,71034
75,召喚圖板 Summons Board,4116,6,25691
76,忘卻前夜 Morimens,4012,3,78829
77,龍族拼圖 Puzzle & Dragons,3780,4,22153
78,Crash Fever,3720,1,28611
79,RO 仙境傳說 3,3609,1,81475
80,白貓 Project,3542,3,26686
81,Bleach：刀鳴,3530,3,78017
82,逆水寒,3488,0,77001
83,忍者喵喵：保衛村莊,3447,0,80326
84,黑色沙漠 MOBILE,3384,1,32841
85,英雄傳說 卡卡布三部曲,3346,4,80736
86,寶可夢大師,3327,2,36673
87,生存 33 天,3310,1,85588
88,MLB 勁旅對決,3147,3,77583
89,鎖鏈戰記 CHAIN CHRONICLE,3028,2,24520
90,RAID : Shadow Legends,2991,3,36208
91,點點英雄：骰子傳說,2985,0,85135
92,薑餅人王國,2890,2,70199
93,魔御：STAR DIVE,2887,1,81457
94,同盟塔防戰,2883,1,81508
95,英雄聯盟：激鬥峽谷,2867,3,37459
96,復活邪神 Re ; universe,2811,2,35284
97,塵白禁域,2807,1,72111
98,克魯賽德戰記 Crusaders Quest,2791,2,27586
99,守望傳說 Guardian Tales,2782,2,38113
100,三國：謀定天下,2735,1,83812
101,劍與遠征：啟程,2687,0,75975
102,跑跑薑餅人：經典版,2604,0,25787
103,托蘭異世錄 Toram Online RPG,2598,2,28271
104,交錯戰線,2521,2,79104
105,二重螺旋,2518,1,78855
106,RO 仙境傳說：愛如初見 Classic,2505,11,84500
107,我想成為影之強者！Master of Garden,2479,2,75993
108,問答 RPG 魔法使與黑貓維茲,2456,2,25730
109,弓箭傳說 系列,2452,0,36683
110,英雄聯盟：聯盟戰棋,2437,1,38053
111,MARVEL 未來之戰,2429,1,28318
112,地牢深處 Dungeon Within,2377,3,85358
113,BLEACH 死神 Brave Souls,2335,0,27808
114,Dungeon Slasher,2332,1,79453
115,魔法少女小圓 Magia Exedra（原：魔法紀錄）,2294,4,31057
116,歧路旅人：大陸的霸者,2288,0,36225
117,LINE Rangers 銀河特攻隊,2243,0,25967
118,RO仙境傳說：守護永恆的愛,2212,1,28924
119,Evil Hunter Tycoon 獵魔村物語,2192,0,38066
120,遊戲王 決鬥聯盟,2155,2,29618
