rank,title,popularity,article,bsn
1,新楓之谷：經典版,227030,125,85994
2,新楓之谷,213027,75,7650
3,MapleStory Worlds,134444,59,79354
4,SpiritVale,132345,33,85861
5,流亡黯道 Path of Exile,87913,38,18966
6,Final Fantasy XIV,60473,44,17608
7,燕雲十六聲,59301,73,75703
8,英雄聯盟 League of Legends,58516,49,17532
9,RO 仙境傳說 Online,55808,17,4212
10,黑色沙漠 BLACK DESERT,51639,29,19017
11,幻獸帕魯,48969,16,71458
12,天堂：經典版,39955,23,84452
13,活俠傳,24780,10,73317
14,AION2,23988,21,82913
15,暗黑破壞神,22912,20,742
16,Minecraft 我的世界（當個創世神）,21767,53,18673
17,賽爾號,20482,10,18072
18,新瑪奇 Mabinogi,14212,1,7422
19,暗黑破壞神 4,13109,2,75105
20,天使之戀Online 國際版,10438,3,9734
21,戰鎚：40K 系列（Warhammer:40000）,9049,5,7506
22,RO 仙境傳說 Online：樂園,8877,4,83142
23,Garena 三角洲行動,8097,6,78342
24,流亡黯道 PoE 2,8051,1,82273
25,龍之劍：覺醒,8017,2,76636
26,鬥陣特攻,7879,8,27362
27,潛水員戴夫,7566,1,35628
28,電馭叛客 2077,7360,1,23379
29,天堂Lineage,7160,0,842
30,新瑪奇英雄傳,6837,0,16583
31,WOW 魔獸世界,6836,10,5219
32,戰意,6806,3,30786
33,Warframe,6449,5,22797
34,希望戀曲 Online,6412,1,18041
35,柏德之門 系列,6341,0,2954
36,搞鬼 Online（Ghost）,6263,1,9753
37,三國鼎立 Online,6155,3,12613
38,APEX 英雄,5655,0,36072
39,戰艦世界 World of Warships,5611,0,21052
40,魔力寶貝,5499,4,2577
41,爐石戰記,5445,2,24044
42,雀魂麻將majsoul,5032,1,36476
43,大俠立志傳,4902,0,76900
44,CS Online﹝絕對武力﹞,4857,2,11902
45,艾爾之光,4686,0,12259
46,殭屍毀滅工程 Project Zomboid,4582,2,20202
47,黑神話 系列,4235,0,39114
48,艦隊 Collection,4048,1,24698
49,Once Human,4024,0,78260
50,戰地風雲,3922,4,4220
51,Dead by Daylight（黎明死線）,3920,2,29919
52,世紀帝國 系列,3835,0,1122
53,火炬之光：無限,3828,2,74756
54,飄流幻境 Online,3765,0,8897
55,合力攻頂,3713,0,83079
56,赤血沙漠,3693,2,37615
57,戰車世界 World of Tanks,3685,8,18214
58,武林同萌傳Online,3531,0,6960
59,特戰英豪,3459,1,38093
60,上古卷軸 系列(The Elder Scrolls),3258,0,2526
61,龍胤立志傳,3214,0,84973
62,天外Online,3155,0,6784
63,幕府將軍、全軍破敵系列,3139,5,4236
64,天國降臨：救贖 系列,3102,1,30945
65,異塵餘生 系列,3095,0,2023
66,三國志 系列,3030,0,6331
67,Grim Dawn,3026,2,19441
68,亂 2 Online,2968,1,5270
69,魔獸爭霸,2894,0,3044
70,巨商,2842,2,5079
71,逃離塔科夫,2769,5,29943
72,TBH: 塔斯克巴·英雄,2717,0,85631
73,永恆冒險 Grand Chase Classic,2691,0,8948
74,第一繼承者,2668,1,71782
75,逸劍風雲決,2628,0,76881
76,激戰 2（Guild Wars 2 ）,2623,4,16901
77,戰慄時空之絕對武力( CS ),2617,1,1473
78,絕地求生 PUBG,2603,4,30630
79,阿爾比恩 Online,2425,4,27044
80,暗黑破壞神 3,2332,0,21400
81,邊緣世界,2295,1,27313
82,巫師 The Witcher 系列,2198,0,7364
83,RPG製作大師,2172,6,4918
84,決勝時刻,2166,0,5371
85,失落的方舟（Lost Ark）,2157,1,27410
86,特務女警 2 測試,2074,1,76139
87,永恆輪迴,2034,4,38217
88,漫威爭鋒,1978,2,79940
89,戰爭雷霆（War Thunder）,1972,1,20947
90,皇者天下,1953,3,38055
91,鬼谷八荒,1885,1,70540
92,空洞騎士  系列,1844,0,27487
93,對魔忍 RPG,1837,2,35303
94,東方Project 系列,1692,4,10039
95,金庸群俠傳,1677,0,10859
96,騎馬與砍殺,1659,0,16393
97,劍靈 Blade & Soul,1645,0,12980
98,七日殺,1629,0,24608
99,方舟 系列,1591,0,28423
100,童話 Online,1522,0,4211
101,虹彩六號 系列,1508,0,1054
102,P 的謊言,1507,0,71348
103,三國群英傳Online,1488,0,6777
104,垂死之光（Dying Light）系列,1477,0,24340
105,星露谷物語 Stardew Valley,1459,1,20774
106,新衝天跑,1428,2,9426
107,魔獸世界：經典版,1424,0,36703
108,A.V.A 戰地之王,1395,1,16618
109,仙劍奇俠傳 系列,1379,0,2417
110,Don't Starve,1365,2,23632
111,Slay the Spire,1326,1,33661
112,魔力寶貝：永恆初心,1319,1,70151
113,遺跡：來自灰燼,1303,0,34991
114,封印者：CLOSERS,1296,0,23655
115,背包夥伴,1281,2,85261
116,勇 Online,1276,0,11712
117,俠客風雲傳 系列,1265,1,3148
118,石器時代 系列,1198,0,1571
119,新墨魂 Online,1183,0,38561
120,Hearts of Iron,1155,1,7965
