rank,title,popularity,article,bsn
1,電腦應用綜合討論,156802,95,60030
2,Steam 綜合討論板,65417,27,60599
3,綜合公仔玩具討論區,32642,9,60036
4,影音視聽討論區,15606,6,60535
5,職場甘苦談,14796,6,60561
6,智慧型手機,13188,8,60559
7,ACG二手交易板,12168,93,60508
8,動漫相關綜合,12080,82,60037
9,電影娛樂新視界,9794,8,60200
10,歡樂惡搞 KUSO,6899,11,60084
11,汽機車討論,4679,2,60545
12,布袋戲文化綜合討論區,4141,4,867
13,電視遊樂器綜合討論區,3902,2,60001
14,野戰 (生存) 遊戲,3689,1,60534
15,軍事策略,3231,5,60208
16,NBA 系列,3034,7,4373
17,講談說論,3011,11,60440
18,酸甜苦辣留言板,2615,0,60091
19,虛擬 Youtuber（Vtuber）,2604,15,60608
20,繪畫與影像技術交流,2009,1,60143
21,熱門美國影集,1894,6,60481
22,恐怖驚悚,1873,0,60201
23,VR 虛擬實境綜合討論,1730,1,60606
24,模型技術與資訊,1635,1,60053
25,世界之不可思議,1571,0,60433
26,輕小說綜合,1352,4,60415
27,桌上角色扮演遊戲(TRPG)討論,1219,2,60429
28,偽娘向上委員會,1002,0,60552
29,女性向遊戲,983,2,60480
30,百合天國,889,2,60405
31,程式設計板,879,1,60292
32,美少女遊戲,818,1,60446
33,綜合實況討論板,766,8,60592
34,Cosplay 電漫角色扮演,604,0,60253
35,桌上遊戲 (BoardGame) 綜合討論,601,0,60537
36,香港漫畫板,596,0,60414
37,樂器交流板,575,0,60598
38,歐美動畫綜合討論,573,4,60605
39,NVIDIA 玩家交流區,551,0,60247
40,軍旅生活,549,0,60564
41,手機與行動遊戲討論區,536,1,60059
42,幸福寵物交流區,486,1,60546
43,空想奇談創作交流區,475,4,60154
44,偵探推理,466,0,60219
45,VOCALOID 虛擬人聲,464,0,60499
46,集換式卡牌遊戲（TCG）討論區,451,0,81445
47,小品遊戲分享討論,402,0,60183
48,日本綜藝影劇,330,0,60531
49,自行車,327,0,60562
50,Unity 遊戲引擎,320,1,60602
51,綜合武術交流,309,1,60444
52,攝影交流板,308,0,60549
53,八卦板,303,0,60553
54,棒球運動推廣,272,1,60530
55,韓國綜藝影劇,253,0,60536
56,電漫蘿莉,218,6,60199
57,Dolls 人形,216,0,60471
58,往日遊戲,207,0,60230
59,超級大玩家～吃喝玩樂電玩族,199,0,60080
60,聲優天地,197,0,60388
61,笑話板,196,0,60555
62,電玩人求職中心,185,0,60490
63,樂高積木相關綜合,177,0,60584
64,烹飪技巧,176,0,60565
65,魔獸恩仇錄,174,0,60503
66,獨立遊戲 Indie Game,174,1,60603
67,PC Game 電腦遊戲綜合討論區,173,0,60507
68,PC 線上遊戲綜合討論區,171,1,60520
69,綜合音樂板,157,0,60229
70,巴哈姆特勇者造型哈啦板,147,0,60094
71,奇幻文學與遊戲,144,0,60215
72,MMD 製作與技術交流,136,0,60610
73,海外生活及旅遊相關,133,0,60497
74,網路購物交流,124,0,60554
75,外語討論板,118,0,60541
76,校園生活,116,0,60556
77,陰屍路,115,0,20346
78,遊戲修改寶典,115,0,60041
79,圖書交流哈啦板,110,1,60286
80,獸迷主題樂園,109,0,60604
81,BL 綜合討論,105,0,60198
82,國產遊戲綜合區,104,0,60402
83,影像處理製作技巧,101,0,60427
84,台南市,93,0,60570
85,AMD Fans 俱樂部,93,0,60152
86,新竹板,88,0,60573
87,武俠世界,85,0,60368
88,心理測驗綜合討論,82,0,60217
89,SQUARE ENIX,77,0,60071
90,巴哈勇者造型創作技巧討論板,75,0,60153
91,台中市,69,0,60569
92,中華歷史相關遊戲,67,0,60318
93,網咖向上委員會,65,0,60355
94,巴哈姆特四年級學員部,65,0,60458
95,迪士尼電影動畫系列綜合板,64,0,60600
96,光榮板,64,0,60022
97,SCP 基金會綜合討論,63,0,22580
98,飛鏢運動推廣交流,61,0,60589
99,CSI 犯罪現場 系列,58,0,8092
100,嘉義板,56,0,60578
101,日本歷史相關ACG(遊戲動漫),52,0,60238
102,APP 軟體交流,51,0,60593
103,海外遊戲先鋒板,48,0,60543
104,流行娛樂特區,47,0,60434
105,高雄市,46,0,60571
106,港澳地區板,46,0,60519
107,同人誌萬花筒,45,0,60377
108,網路暨遊戲安全防護,44,0,60289
109,特文館寫作交流區,44,0,60156
110,桃園板,43,0,60572
111,屏東板,43,0,60579
112,養成網頁遊戲～寵物愛好者,41,0,60306
113,魔術方塊,39,0,60532
114,電子競技運動交流,33,0,60525
115,綜合運動板,32,0,60540
116,運動類遊戲,31,0,60237
117,同人音樂,31,0,60523
118,台北市,29,0,60567
119,花蓮板,28,0,60581
120,光線槍射擊遊戲,27,0,60218
