rank,title,popularity,article,bsn
1,新楓之谷：經典版,331235,176,85994
2,新楓之谷,248335,88,7650
3,MapleStory Worlds,143658,60,79354
4,SpiritVale,112755,38,85861
5,流亡黯道 Path of Exile,108961,29,18966
6,幻獸帕魯,74203,30,71458
7,英雄聯盟 League of Legends,65433,164,17532
8,賽爾號,62826,35,18072
9,Final Fantasy XIV,62196,51,17608
10,天堂：經典版,57256,36,84452
11,黑色沙漠 BLACK DESERT,48107,14,19017
12,燕雲十六聲,47964,129,75703
13,RO 仙境傳說 Online,47136,17,4212
14,WOW 魔獸世界,35547,17,5219
15,AION2,35275,22,82913
16,Minecraft 我的世界（當個創世神）,20810,47,18673
17,救世者之樹 Tree of Savior,19726,0,19840
18,活俠傳,19706,1,73317
19,鬥陣特攻,19201,14,27362
20,新瑪奇 Mabinogi,16648,6,7422
21,暗黑破壞神 4,16336,7,75105
22,三國鼎立 Online,14218,3,12613
23,戰鎚：40K 系列（Warhammer:40000）,11405,8,7506
24,天使之戀Online 國際版,10598,7,9734
25,RO 仙境傳說 Online：樂園,9614,6,83142
26,龍之劍：覺醒,9388,3,76636
27,Garena 三角洲行動,9327,9,78342
28,天堂Lineage,9205,2,842
29,電馭叛客 2077,7947,1,23379
30,流亡黯道 PoE 2,7856,4,82273
31,戰艦世界 World of Warships,7842,5,21052
32,暗黑破壞神,7258,31,742
33,柏德之門 系列,7037,0,2954
34,潛水員戴夫,6943,2,35628
35,APEX 英雄,6664,1,36072
36,戰車世界 World of Tanks,6315,6,18214
37,希望戀曲 Online,5999,2,18041
38,CS Online﹝絕對武力﹞,5877,2,11902
39,Warframe,5807,9,22797
40,新瑪奇英雄傳,5774,3,16583
41,雀魂麻將majsoul,4802,3,36476
42,艦隊 Collection,4648,3,24698
43,Dead by Daylight（黎明死線）,4622,2,29919
44,赤血沙漠,4354,1,37615
45,合力攻頂,4333,7,83079
46,世紀帝國 系列,4322,0,1122
47,Once Human,4296,2,78260
48,火炬之光：無限,4187,1,74756
49,飄流幻境 Online,4081,15,8897
50,艾爾之光,4019,1,12259
51,魔力寶貝,3987,2,2577
52,搞鬼 Online（Ghost）,3907,0,9753
53,戰意,3861,6,30786
54,上古卷軸 系列(The Elder Scrolls),3858,3,2526
55,戰地風雲,3719,5,4220
56,永恆冒險 Grand Chase Classic,3665,0,8948
57,殭屍毀滅工程 Project Zomboid,3560,1,20202
58,大俠立志傳,3517,1,76900
59,絕地求生 PUBG,3273,1,30630
60,天外Online,3179,1,6784
61,Grim Dawn,3094,1,19441
62,激戰 2（Guild Wars 2 ）,3093,8,16901
63,特戰英豪,3002,1,38093
64,漫威爭鋒,2966,1,79940
65,阿爾比恩 Online,2964,7,27044
66,異塵餘生 系列,2942,2,2023
67,黑神話 系列,2898,0,39114
68,龍胤立志傳,2857,2,84973
69,戰慄時空之絕對武力( CS ),2843,1,1473
70,天國降臨：救贖 系列,2748,3,30945
71,三國志 系列,2723,1,6331
72,逃離塔科夫,2720,6,29943
73,TBH: 塔斯克巴·英雄,2685,0,85631
74,爐石戰記,2667,4,24044
75,魔獸爭霸,2555,0,3044
76,RPG製作大師,2537,2,4918
77,逸劍風雲決,2529,1,76881
78,巫師 The Witcher 系列,2434,0,7364
79,決勝時刻,2408,5,5371
80,劍靈 Blade & Soul,2305,0,12980
81,武林同萌傳Online,2285,0,6960
82,對魔忍 RPG,2098,0,35303
83,空洞騎士  系列,2060,0,27487
84,暗黑破壞神 3,2034,0,21400
85,邊緣世界,2020,1,27313
86,巨商,2005,0,5079
87,爆爆王,1987,0,9835
88,戰爭雷霆（War Thunder）,1982,0,20947
89,鬼谷八荒,1905,0,70540
90,第一繼承者,1855,1,71782
91,失落的方舟（Lost Ark）,1813,1,27410
92,金庸群俠傳,1732,0,10859
93,魔獸世界：經典版,1634,0,36703
94,方舟 系列,1604,0,28423
95,東方Project 系列,1574,1,10039
96,星露谷物語 Stardew Valley,1550,0,20774
97,A.V.A 戰地之王,1548,2,16618
98,火線獵殺系列,1530,3,4732
99,仙劍奇俠傳 系列,1527,0,2417
100,七日殺,1458,1,24608
101,魔力寶貝：永恆初心,1450,0,70151
102,幕府將軍、全軍破敵系列,1445,0,4236
103,騎馬與砍殺,1430,0,16393
104,石器時代 系列,1425,0,1571
105,虹彩六號 系列,1422,1,1054
106,三國群英傳Online,1401,1,6777
107,皇者天下,1352,0,38055
108,垂死之光（Dying Light）系列,1348,0,24340
109,P 的謊言,1334,0,71348
110,新天堂II,1322,0,5264
111,蘇丹的遊戲,1321,0,80841
112,永恆輪迴,1314,1,38217
113,Don't Starve,1305,0,23632
114,遺跡：來自灰燼,1303,1,34991
115,背包夥伴,1298,2,85261
116,新衝天跑,1286,0,9426
117,Terraria,1268,0,20172
118,新墨魂 Online,1234,0,38561
119,御城收藏,1222,1,26608
120,武林群俠傳 Online,1219,0,12118
