rank,title,popularity,article,bsn
1,MapleStory Worlds,455123,143,79354
2,天堂：經典版,166898,103,84452
3,Final Fantasy XIV,151795,95,17608
4,新楓之谷,142677,37,7650
5,AION2,82264,65,82913
6,燕雲十六聲,72738,78,75703
7,赤血沙漠,55257,64,37615
8,暗黑破壞神,52916,136,742
9,RO 仙境傳說 Online,44623,7,4212
10,暗黑破壞神 4,43968,24,75105
11,英雄聯盟 League of Legends,43412,94,17532
12,流亡黯道 Path of Exile,32552,3,18966
13,黑色沙漠 BLACK DESERT,28988,11,19017
14,WOW 魔獸世界,26238,17,5219
15,火炬之光：無限,23738,10,74756
16,雀魂麻將majsoul,19713,30,36476
17,Minecraft 我的世界（當個創世神）,16304,28,18673
18,Garena 三角洲行動,14423,23,78342
19,Slay the Spire,12101,3,33661
20,鬥陣特攻,10102,11,27362
21,風啟之旅,10060,8,84857
22,天堂Lineage,9694,0,842
23,吸血鬼倖存者,9383,2,74171
24,RO 仙境傳說 Online：樂園,9026,5,83142
25,龍胤立志傳,7736,2,84973
26,新瑪奇 Mabinogi,7557,1,7422
27,靈魂面甲,7439,9,79921
28,爐石戰記,7299,6,24044
29,戰鎚：40K 系列（Warhammer:40000）,6758,1,7506
30,希望戀曲 Online,6700,1,18041
31,電馭叛客 2077,5713,0,23379
32,APEX 英雄,5693,1,36072
33,戰艦世界 World of Warships,5640,3,21052
34,新瑪奇英雄傳,5293,4,16583
35,CS Online﹝絕對武力﹞,5076,0,11902
36,戰車世界 World of Tanks,5045,2,18214
37,Warframe,4978,5,22797
38,流亡黯道 PoE 2,4962,2,82273
39,Dead by Daylight（黎明死線）,4851,3,29919
40,Once Human,4730,14,78260
41,艦隊 Collection,4675,9,24698
42,幻獸帕魯,4616,19,71458
43,天國降臨：救贖 系列,4492,2,30945
44,飄流幻境 Online,4305,1,8897
45,世紀帝國 系列,4203,0,1122
46,柏德之門 系列,4040,1,2954
47,魔力寶貝,3921,1,2577
48,大俠立志傳,3772,0,76900
49,活俠傳,3472,0,73317
50,三國志 系列,3399,2,6331
51,戰慄時空之絕對武力( CS ),3273,4,1473
52,武林同萌傳Online,3260,1,6960
53,天外Online,3255,1,6784
54,戰地風雲,3244,2,4220
55,黑帝斯,3217,0,35739
56,絕地求生 PUBG,3120,1,30630
57,暗黑破壞神 3,3107,0,21400
58,戰意,3072,3,30786
59,潛水員戴夫,2867,0,35628
60,異塵餘生 系列,2706,4,2023
61,特戰英豪,2607,1,38093
62,霧鎖王國,2569,3,77537
63,上古卷軸 系列(The Elder Scrolls),2502,0,2526
64,金庸群俠傳,2501,0,10859
65,漫威爭鋒,2487,2,79940
66,魔獸爭霸,2367,1,3044
67,劍靈 Blade & Soul,2335,3,12980
68,Core Keeper,2246,0,74451
69,艾爾之光,2233,0,12259
70,第一繼承者,2227,1,71782
71,黑神話 系列,2188,3,39114
72,阿爾比恩 Online,2127,10,27044
73,Stoneshard,2126,0,38794
74,NEKOPARA 系列,2113,3,27445
75,空洞騎士  系列,2054,0,27487
76,戰爭雷霆（War Thunder）,2009,0,20947
77,石器時代 系列,1952,4,1571
78,新熱血江湖 Online,1916,2,8294
79,邊緣世界,1907,0,27313
80,最後紀元 Last Epoch,1904,0,35693
81,方舟 系列,1850,0,28423
82,巫師 The Witcher 系列,1838,0,7364
83,鬼谷八荒,1769,2,70540
84,巨商,1729,0,5079
85,幕府將軍、全軍破敵系列,1681,1,4236
86,仙劍奇俠傳 系列,1676,1,2417
87,RPG製作大師,1645,1,4918
88,星露谷物語 Stardew Valley,1637,0,20774
89,永恆輪迴,1633,0,38217
90,騎馬與砍殺,1613,0,16393
91,逸劍風雲決,1601,0,76881
92,Crusader Kings,1507,1,19480
93,守墓者,1503,0,35066
94,武林群俠傳 Online,1497,0,12118
95,童話 Online,1494,0,4211
96,Lords of the Fallen,1485,0,24353
97,皇者天下,1454,2,38055
98,歐洲美洲卡車模擬 系列,1392,0,16179
99,失落的方舟（Lost Ark）,1377,0,27410
100,逃離鴨科夫,1372,0,83580
101,永無寧日,1303,3,79196
102,夢之形,1277,0,82031
103,Cities: Skylines,1274,0,27991
104,千年戰爭 Aigis～一般版～,1266,0,27417
105,御城收藏,1206,4,26608
106,Grim Dawn,1147,1,19441
107,神話世紀,1136,0,4636
108,Don't Starve,1130,0,23632
109,永恆冒險 Grand Chase Classic,1129,0,8948
110,殭屍毀滅工程 Project Zomboid,1115,0,20202
111,新墨魂 Online,1113,4,38561
112,R.E.P.O.,1094,0,82396
113,天使之戀Online 國際版,1087,0,9734
114,Unlight,1084,3,20111
115,激戰 2（Guild Wars 2 ）,1060,1,16901
116,魔力寶貝：永恆初心,1055,0,70151
117,逃離塔科夫,1040,0,29943
118,對魔忍 RPG,1039,0,35303
119,三國群英傳 單機系列,1021,0,3204
120,七日殺,1014,2,24608
