rank,title,popularity,article,bsn
1,鳴潮,295382,69,74934
2,棕色塵埃 2,291829,128,76207
3,明日方舟：終末地,276804,177,74604
4,SD 鋼彈 G 世代 永恆,184658,80,74906
5,崩壞：星穹鐵道,153129,42,72822
6,神魔之塔,104826,63,23805
7,VAMPIR：血之繼承者,96440,87,83065
8,貓咪大戰爭（にゃんこ大戦争）,94562,9,23772
9,勝利女神：妮姬,70910,317,36390
10,RO 仙境傳說：世界之旅,56540,27,83054
11,天堂 Mobile,43108,21,25908
12,辟邪除妖 Variants Daphne,42277,21,70180
13,原神,41986,20,36730
14,怪物彈珠,39042,25,25052
15,絕區零,32539,70,74860
16,少女前線 2：追放,32051,47,70502
17,卡厄思夢境,30664,1,80099
18,心動小鎮,29537,12,75403
19,Fate/Grand Order,26075,10,26742
20,蔚藍檔案,25505,13,38898
21,Pokemon GO,24890,5,29659
22,Monster Hunter Now,23594,10,77414
23,明日方舟,23206,13,33651
24,闇影詩章 Shadowverse,20000,62,29330
25,寶可夢集換式卡牌遊戲口袋版,19629,44,79688
26,勇者來開團,19266,8,84046
27,Pikmin Bloom,18602,14,72889
28,傳說對決 Arena of Valor,18517,40,30518
29,星塔旅人,17277,14,81566
30,楓之谷 M,15675,7,29461
31,七騎士 RE:BIRTH,15094,8,79741
32,天堂 W,14536,0,71905
33,緋染天空 Heaven Burns Red,14051,30,37697
34,碧藍幻想 系列,13541,20,25204
35,杖劍傳說：坎斯汀之約,12320,6,80389
36,碧藍航線,10616,9,32550
37,煙雨江湖,10430,0,71402
38,遺忘之劍,10055,2,80652
39,最後的克勞迪亞,9990,6,35735
40,塵白禁域,9778,3,72111
41,鈴蘭之劍：爲這和平的世界,9103,2,71838
42,賽馬娘Pretty Derby,8899,7,34421
43,Limbus Company,8536,5,73052
44,超異域公主連結☆Re:Dive,8497,29,30861
45,三國：謀定天下,8487,1,83812
46,楓之谷：放置冒險記,8090,0,82899
47,DRAGON BALL Z -七龍珠爆裂激戰-,8071,4,27096
48,第七史詩,7826,6,34880
49,寶可夢大師,7619,7,36673
50,XXL 猛漢町,7481,7,80107
51,夢幻模擬戰 手機版,7440,2,33596
52,Another Eden：穿越時空的貓,7206,2,29220
53,Pokémon Sleep,6932,14,36685
54,卡皮巴拉 Go,6916,14,81254
55,MLB：9 局職棒 系列,6808,2,31114
56,信長之野望 真戰,6664,4,82869
57,獵人 HUNTER×HUNTER NEN×SURVIVOR,6614,3,83777
58,三國志•戰略版,6434,2,36815
59,BanG Dream！少女樂團派對,6405,8,31877
60,魔法少女小圓 Magia Exedra（原：魔法紀錄）,6177,4,31057
61,重返未來：1999,6125,0,75028
62,女神異聞錄：夜幕魅影,6083,2,71034
63,荒野亂鬥,5917,4,32407
64,eBaseball : MLB PRO SPIRIT,5864,3,81329
65,寒霜啟示錄,5852,2,76999
66,薑餅人王國,5694,3,70199
67,咻咻史萊姆,5687,1,84749
68,蔚藍星球：國王很忙,5651,3,83538
69,龍族拼圖 Puzzle & Dragons,5508,3,22153
70,Bleach：刀鳴,5431,0,78017
71,嘟嘟臉惡作劇,5346,3,78781
72,石器時代：放置冒險,5341,29,83082
73,逆水寒,5252,2,77001
74,世界計畫 繽紛舞台！ feat. 初音未來,5109,5,37505
75,運氣拼輸贏,5108,1,80385
76,英雄傳說 卡卡布三部曲,4933,4,80736
77,Kingshot,4933,3,82382
78,弓箭傳說 系列,4659,11,36683
79,問答 RPG 魔法使與黑貓維茲,4634,1,25730
80,RO 新世代：攜手同行,4319,0,37030
81,忍者喵喵：保衛村莊,4305,3,80326
82,Rogue with the Dead - 亡途轉生,4300,2,81808
83,召喚圖板 Summons Board,4184,5,25691
84,我獨自升級：ARISE,4096,4,77218
85,崩壞 3rd,4091,27,31066
86,我想成為影之強者！Master of Garden,4078,3,75993
87,魔靈召喚,4074,1,26380
88,同盟塔防戰,3894,3,81508
89,霹靂蘑菇,3858,1,84270
90,RO 仙境傳說：守護永恆的愛 Classic,3791,3,82344
91,咒術迴戰 幻影夜行,3753,3,71515
92,全民打棒球 Pro,3609,2,39283
93,天地劫 手機版,3604,2,38462
94,英雄聯盟：聯盟戰棋,3591,0,38053
95,遊戲王 決鬥聯盟,3569,2,29618
96,麻雀一番街,3454,0,75557
97,RO 仙境傳說：愛如初見 Classic,3411,3,84500
98,物華彌新,3346,1,77182
99,救世者之樹M,3251,0,74968
100,Evil Hunter Tycoon 獵魔村物語,3251,1,38066
101,忘卻前夜 Morimens,3236,2,78829
102,復活邪神 Re ; universe,3184,5,35284
103,MLB 勁旅對決,3073,1,77583
104,三國群英傳 M,3026,0,37680
105,守望傳說 Guardian Tales,2902,6,38113
106,問劍長生,2874,0,83086
107,RAID : Shadow Legends,2865,3,36208
108,魔力寶貝：重返法蘭,2806,0,84025
109,部落衝突：皇室戰爭,2786,1,29712
110,巔峰極速 Racing Master,2777,4,70804
111,勇者逗逗龍,2774,0,84496
112,天堂 2 M,2658,1,33316
113,暗黑破壞神：永生不朽,2537,1,35531
114,戰雙帕彌什,2467,4,37463
115,二重螺旋,2436,5,78855
116,異環,2433,4,80679
117,全明星街球派對,2409,0,79697
118,LINE Rangers 銀河特攻隊,2323,0,25967
119,MARVEL SNAP,2293,2,74881
120,歧路旅人：大陸的霸者,2289,4,36225
