rank,title,popularity,article,bsn
1,電腦應用綜合討論,154567,55,60030
2,Steam 綜合討論板,51635,19,60599
3,綜合公仔玩具討論區,38813,10,60036
4,智慧型手機,17608,16,60559
5,職場甘苦談,16857,24,60561
6,影音視聽討論區,16065,7,60535
7,動漫相關綜合,14948,98,60037
8,ACG二手交易板,13090,75,60508
9,電影娛樂新視界,11135,17,60200
10,歡樂惡搞 KUSO,6197,8,60084
11,布袋戲文化綜合討論區,5742,1,867
12,桌上角色扮演遊戲(TRPG)討論,5630,15,60429
13,模型技術與資訊,5393,2,60053
14,汽機車討論,5073,4,60545
15,野戰 (生存) 遊戲,4317,2,60534
16,電視遊樂器綜合討論區,4215,6,60001
17,講談說論,3397,12,60440
18,軍事策略,2909,1,60208
19,虛擬 Youtuber（Vtuber）,2558,13,60608
20,酸甜苦辣留言板,2362,5,60091
21,恐怖驚悚,2060,0,60201
22,VR 虛擬實境綜合討論,1664,2,60606
23,繪畫與影像技術交流,1547,1,60143
24,世界之不可思議,1499,1,60433
25,NBA 系列,1311,0,4373
26,輕小說綜合,1174,2,60415
27,熱門美國影集,990,1,60481
28,綜合實況討論板,964,9,60592
29,美少女遊戲,831,1,60446
30,女性向遊戲,797,0,60480
31,軍旅生活,770,0,60564
32,桌上遊戲 (BoardGame) 綜合討論,694,0,60537
33,聲優天地,654,1,60388
34,百合天國,643,0,60405
35,偽娘向上委員會,604,0,60552
36,手機與行動遊戲討論區,595,1,60059
37,空想奇談創作交流區,588,3,60154
38,VOCALOID 虛擬人聲,539,0,60499
39,樂器交流板,535,0,60598
40,香港漫畫板,523,0,60414
41,集換式卡牌遊戲（TCG）討論區,516,0,81445
42,偵探推理,508,0,60219
43,小品遊戲分享討論,474,1,60183
44,歐美動畫綜合討論,408,2,60605
45,Cosplay 電漫角色扮演,397,0,60253
46,笑話板,392,0,60555
47,日本綜藝影劇,363,0,60531
48,幸福寵物交流區,361,1,60546
49,程式設計板,348,0,60292
50,Unity 遊戲引擎,301,0,60602
51,攝影交流板,290,1,60549
52,PC Game 電腦遊戲綜合討論區,282,3,60507
53,綜合武術交流,280,1,60444
54,棒球運動推廣,261,0,60530
55,往日遊戲,255,0,60230
56,NVIDIA 玩家交流區,254,0,60247
57,Dolls 人形,251,0,60471
58,自行車,243,0,60562
59,電漫蘿莉,219,5,60199
60,八卦板,213,0,60553
61,網路購物交流,212,1,60554
62,電玩人求職中心,207,0,60490
63,國產遊戲綜合區,205,2,60402
64,超級大玩家～吃喝玩樂電玩族,189,0,60080
65,韓國綜藝影劇,179,0,60536
66,樂高積木相關綜合,174,0,60584
67,PC 線上遊戲綜合討論區,170,0,60520
68,獨立遊戲 Indie Game,168,0,60603
69,陰屍路,162,0,20346
70,綜合音樂板,160,0,60229
71,MMD 製作與技術交流,154,0,60610
72,BL 綜合討論,147,0,60198
73,獸迷主題樂園,144,0,60604
74,奇幻文學與遊戲,140,1,60215
75,圖書交流哈啦板,138,1,60286
76,海外生活及旅遊相關,137,0,60497
77,外語討論板,135,0,60541
78,飛鏢運動推廣交流,121,0,60589
79,烹飪技巧,121,0,60565
80,迪士尼電影動畫系列綜合板,119,0,60600
81,日本歷史相關ACG(遊戲動漫),119,0,60238
82,武俠世界,114,0,60368
83,AMD Fans 俱樂部,114,0,60152
84,中華歷史相關遊戲,110,0,60318
85,遊戲修改寶典,109,0,60041
86,巴哈姆特勇者造型哈啦板,96,0,60094
87,SCP 基金會綜合討論,95,0,22580
88,魔獸恩仇錄,93,0,60503
89,影像處理製作技巧,84,0,60427
90,光榮板,80,0,60022
91,網咖向上委員會,79,0,60355
92,SQUARE ENIX,78,0,60071
93,台中市,77,0,60569
94,校園生活,75,0,60556
95,心理測驗綜合討論,73,0,60217
96,養成網頁遊戲～寵物愛好者,68,0,60306
97,屏東板,66,0,60579
98,台南市,66,0,60570
99,CSI 犯罪現場 系列,64,0,8092
100,特文館寫作交流區,62,0,60156
101,魔術方塊,61,0,60532
102,星座交流,61,0,60566
103,綜合運動板,60,0,60540
104,嘉義板,57,0,60578
105,台北市,57,0,60567
106,兩岸動漫遊戲交流板,56,0,60445
107,同人音樂,55,0,60523
108,APP 軟體交流,54,0,60593
109,運動類遊戲,53,0,60237
110,花蓮板,52,0,60581
111,港澳地區板,51,0,60519
112,家庭作業,51,0,60558
113,高雄市,49,0,60571
114,桃園板,49,0,60572
115,流行娛樂特區,48,0,60434
116,巴哈勇者造型創作技巧討論板,48,0,60153
117,新竹板,46,0,60573
118,同人誌萬花筒,46,0,60377
119,創夢－同人資訊情報誌,44,0,60357
120,西洋綜藝影劇,42,0,60538
