rank,title,popularity,article,bsn
1,新楓之谷,215774,54,7650
2,MapleStory Worlds,181539,62,79354
3,天堂：經典版,131714,125,84452
4,流亡黯道 PoE 2,117044,62,82273
5,英雄聯盟 League of Legends,80209,74,17532
6,Final Fantasy XIV,77164,55,17608
7,燕雲十六聲,67425,116,75703
8,暗黑破壞神,46424,124,742
9,RO 仙境傳說 Online,44400,8,4212
10,AION2,38527,32,82913
11,黑色沙漠 BLACK DESERT,37897,40,19017
12,暗黑破壞神 4,32868,15,75105
13,Minecraft 我的世界（當個創世神）,20360,31,18673
14,流亡黯道 Path of Exile,19472,6,18966
15,TBH: 塔斯克巴·英雄,17503,19,85631
16,WOW 魔獸世界,17021,7,5219
17,鬥陣特攻,16381,17,27362
18,新衝天跑,16156,4,9426
19,戰鎚：40K 系列（Warhammer:40000）,12415,3,7506
20,羅馬拓荒錄,10473,2,85018
21,新瑪奇 Mabinogi,9527,3,7422
22,電馭叛客 2077,8626,0,23379
23,CS Online﹝絕對武力﹞,8422,5,11902
24,幻獸帕魯,8224,0,71458
25,RO 仙境傳說 Online：樂園,7798,2,83142
26,天堂Lineage,7715,1,842
27,爐石戰記,7594,8,24044
28,Garena 三角洲行動,7487,11,78342
29,戰艦世界 World of Warships,7202,2,21052
30,赤血沙漠,6864,2,37615
31,活俠傳,6472,2,73317
32,希望戀曲 Online,6188,1,18041
33,APEX 英雄,6101,3,36072
34,Dead by Daylight（黎明死線）,6054,3,29919
35,雀魂麻將majsoul,6010,3,36476
36,天使之戀Online 國際版,5921,1,9734
37,Once Human,5863,6,78260
38,Warframe,5259,4,22797
39,柏德之門 系列,5230,0,2954
40,Freestyle: Reboot,4883,11,85300
41,飄流幻境 Online,4641,1,8897
42,天國降臨：救贖 系列,4506,0,30945
43,激戰 2（Guild Wars 2 ）,4505,5,16901
44,漫威爭鋒,4501,4,79940
45,世紀帝國 系列,4333,2,1122
46,魔力寶貝,4249,2,2577
47,新瑪奇英雄傳,4240,0,16583
48,大俠立志傳,4055,0,76900
49,龍胤立志傳,3829,1,84973
50,戰意,3794,3,30786
51,戰地風雲,3716,3,4220
52,劍靈 Blade & Soul,3585,3,12980
53,戰慄時空之絕對武力( CS ),3345,6,1473
54,戰爭雷霆（War Thunder）,3319,5,20947
55,戰車世界 World of Tanks,3303,2,18214
56,魔獸爭霸,3219,1,3044
57,摩爾莊園,3193,1,16735
58,東方Project 系列,3184,7,10039
59,巨商,3121,1,5079
60,上古卷軸 系列(The Elder Scrolls),3049,0,2526
61,艾爾之光,2996,0,12259
62,Core Keeper,2979,0,74451
63,天外Online,2913,0,6784
64,潛水員戴夫,2907,1,35628
65,三國志 系列,2891,2,6331
66,特戰英豪,2868,2,38093
67,絕地求生 PUBG,2863,1,30630
68,武林同萌傳Online,2820,1,6960
69,異塵餘生 系列,2803,3,2023
70,石器時代 系列,2710,2,1571
71,對魔忍 RPG,2698,2,35303
72,背包夥伴,2695,26,85261
73,永恆冒險 Grand Chase Classic,2695,1,8948
74,巫師 The Witcher 系列,2691,0,7364
75,第一繼承者,2583,4,71782
76,賽爾號,2519,4,18072
77,魔獸世界：經典版,2476,4,36703
78,亂 2 Online,2434,0,5270
79,Slay the Spire,2410,0,33661
80,阿爾比恩 Online,2379,1,27044
81,黑神話 系列,2350,1,39114
82,RPG製作大師,2209,1,4918
83,暗黑破壞神 3,2178,0,21400
84,艦隊 Collection,2174,0,24698
85,吸血鬼倖存者,2097,0,74171
86,火炬之光：無限,2012,0,74756
87,邊緣世界,1984,1,27313
88,逃離塔科夫,1966,2,29943
89,逸劍風雲決,1931,0,76881
90,金庸群俠傳,1923,1,10859
91,締造者：放逐之境,1815,0,81468
92,空洞騎士  系列,1807,0,27487
93,失落的方舟（Lost Ark）,1786,0,27410
94,Stoneshard,1745,2,38794
95,九日,1736,0,74687
96,方舟 系列,1706,2,28423
97,鬼谷八荒,1662,0,70540
98,幕府將軍、全軍破敵系列,1569,1,4236
99,霧鎖王國,1543,2,77537
100,武林群俠傳 Online,1510,0,12118
101,千年戰爭 Aigis～一般版～,1473,0,27417
102,決勝時刻,1463,0,5371
103,夢之形,1453,1,82031
104,俠客風雲傳 系列,1446,0,3148
105,陰森,1408,0,24356
106,星露谷物語 Stardew Valley,1385,0,20774
107,虹彩六號 系列,1364,0,1054
108,永無寧日,1353,1,79196
109,仙劍奇俠傳 系列,1306,0,2417
110,星海爭霸,1303,2,3037
111,童話 Online,1302,1,4211
112,騎馬與砍殺,1268,0,16393
113,殭屍毀滅工程 Project Zomboid,1242,0,20202
114,魔力寶貝：永恆初心,1205,0,70151
115,R.E.P.O.,1205,1,82396
116,Oxygen Not Included,1169,4,31746
117,閃耀之星騎士,1145,0,78031
118,A.V.A 戰地之王,1138,2,16618
119,黑帝斯,1136,0,35739
120,靈魂面甲,1132,0,79921
