rank,title,popularity,article,bsn
1,SD 鋼彈 G 世代 永恆,185311,94,74906
2,鳴潮,148368,134,74934
3,勇者鬥惡龍 破限亂鬥,133281,34,83661
4,崩壞：星穹鐵道,124843,70,72822
5,神魔之塔,123318,165,23805
6,勝利女神：妮姬,106319,59,36390
7,明日方舟：終末地,88627,94,74604
8,貓咪大戰爭（にゃんこ大戦争）,85141,8,23772
9,棕色塵埃 2,84258,18,76207
10,蔚藍檔案,62850,41,38898
11,天堂 Mobile,61961,15,25908
12,原神,56476,38,36730
13,卡厄思夢境,46011,15,80099
14,絕區零,43865,21,74860
15,辟邪除妖 Variants Daphne,41685,16,70180
16,異環,41657,76,80679
17,RO 仙境傳說：世界之旅,39200,14,83054
18,Pikmin Bloom,32877,11,72889
19,怪物彈珠,30791,15,25052
20,Monster Hunter Now,29925,14,77414
21,魔御：STAR DIVE,28372,24,81457
22,七大罪：Origin,25308,12,74141
23,明日方舟,25060,16,33651
24,Fate/Grand Order,24937,10,26742
25,Pokemon GO,24025,9,29659
26,星塔旅人,23970,21,81566
27,天堂 W,23390,6,71905
28,無盡輪迴：鬼域摸金,18974,30,85166
29,三國志•戰略版,18281,1,36815
30,夢幻模擬戰 手機版,16825,3,33596
31,傳說對決 Arena of Valor,16716,14,30518
32,寶可夢集換式卡牌遊戲口袋版,16339,25,79688
33,星之救援者 StarSavior,15864,8,81995
34,心動小鎮,15723,13,75403
35,信長之野望 真戰,15723,13,82869
36,闇影詩章 Shadowverse,15281,10,29330
37,煙雨江湖,14828,8,71402
38,女神異聞錄：夜幕魅影,14332,16,71034
39,第七史詩,13781,8,34880
40,少女前線 2：追放,13619,20,70502
41,超異域公主連結☆Re:Dive,13259,24,30861
42,楓之谷 M,12576,7,29461
43,七騎士 RE:BIRTH,12148,13,79741
44,全境封鎖：曙光,11922,9,75244
45,重返未來：1999,11564,14,75028
46,Another Eden：穿越時空的貓,11214,3,29220
47,RO 仙境傳說：愛如初見 Classic,9751,7,84500
48,最後的克勞迪亞,9312,6,35735
49,MLB：9 局職棒 系列,9185,5,31114
50,碧藍航線,9129,2,32550
51,魔靈召喚,9011,5,26380
52,新熱血江湖：世界,8779,5,84232
53,遺忘之劍,8116,6,80652
54,緋染天空 Heaven Burns Red,7947,3,37697
55,楓之谷：放置冒險記,7785,3,82899
56,寒霜啟示錄,7673,0,76999
57,Limbus Company,7444,3,73052
58,龍族拼圖 Puzzle & Dragons,7378,3,22153
59,杖劍傳說：坎斯汀之約,7376,2,80389
60,英雄聯盟：聯盟戰棋,7342,3,38053
61,忘卻前夜 Morimens,7335,7,78829
62,嘟嘟臉惡作劇,7133,8,78781
63,運氣拼輸贏,6750,3,80385
64,Kingshot,6715,1,82382
65,Pokémon Sleep,6686,14,36685
66,世界計畫 繽紛舞台！ feat. 初音未來,6544,2,37505
67,賽馬娘Pretty Derby,6432,2,34421
68,荒野亂鬥,6384,1,32407
69,英雄傳說 卡卡布三部曲,6284,8,80736
70,塵白禁域,6266,0,72111
71,MLB 勁旅對決,5994,7,77583
72,RO 新世代：攜手同行,5916,2,37030
73,鐳明閃擊,5831,21,80864
74,鈴蘭之劍：爲這和平的世界,5551,2,71838
75,逆水寒,5484,2,77001
76,DRAGON BALL Z -七龍珠爆裂激戰-,5475,1,27096
77,碧藍幻想 系列,5309,10,25204
78,同盟塔防戰,5206,8,81508
79,寶可夢大師,5091,4,36673
80,XXL 猛漢町,4986,1,80107
81,召喚圖板 Summons Board,4653,6,25691
82,救世者之樹M,4502,0,74968
83,薑餅人王國,4426,5,70199
84,天地劫 手機版,4404,1,38462
85,戰雙帕彌什,4401,3,37463
86,遊戲王 決鬥聯盟,4337,3,29618
87,三國：謀定天下,4324,1,83812
88,Rogue with the Dead - 亡途轉生,4162,1,81808
89,問答 RPG 魔法使與黑貓維茲,3865,2,25730
90,蔚藍星球：國王很忙,3862,3,83538
91,MARVEL 未來之戰,3752,0,28318
92,RO 仙境傳說：守護永恆的愛 Classic,3743,4,82344
93,RAID : Shadow Legends,3659,5,36208
94,交錯戰線,3546,7,79104
95,弓箭傳說 系列,3509,2,36683
96,RO仙境傳說：守護永恆的愛,3183,1,28924
97,全民打棒球 Pro,3166,2,39283
98,英雄聯盟：激鬥峽谷,3086,2,37459
99,獵人 HUNTER×HUNTER NEN×SURVIVOR,3082,2,83777
100,克魯賽德戰記 Crusaders Quest,3033,0,27586
101,守望傳說 Guardian Tales,3031,1,38113
102,權力遊戲：國王大道,2998,25,81266
103,勇者來開團,2967,0,84046
104,托蘭異世錄 Toram Online RPG,2926,1,28271
105,BanG Dream！少女樂團派對,2852,1,31877
106,黑色沙漠 MOBILE,2851,1,32841
107,Evil Hunter Tycoon 獵魔村物語,2756,0,38066
108,魔法少女小圓 Magia Exedra（原：魔法紀錄）,2736,6,31057
109,天堂 2 M,2688,1,33316
110,RO仙境傳說：愛如初見（Ragnarok ORIGIN）,2672,0,37657
111,VAMPIR：血之繼承者,2635,0,83065
112,跑跑卡丁車 RUSH+,2589,5,36872
113,關於我轉生變成史萊姆這檔事 魔王與龍的建國譚,2559,1,70913
114,白貓 Project,2526,0,26686
115,我想成為影之強者！Master of Garden,2502,0,75993
116,魔力寶貝：重返法蘭,2409,2,84025
117,忍者喵喵：保衛村莊,2392,4,80326
118,二重螺旋,2380,2,78855
119,咒術迴戰 幻影夜行,2369,0,71515
120,卡皮巴拉 Go,2353,0,81254
