rank,title,popularity,article,bsn
1,瑪奇 Mobile,356788,209,32564
2,神魔之塔,129615,61,23805
3,鳴潮,128611,69,74934
4,異環,98163,73,80679
5,明日方舟：終末地,97490,88,74604
6,Fate/Grand Order,71826,42,26742
7,絕區零,69361,73,74860
8,貓咪大戰爭（にゃんこ大戦争）,66223,9,23772
9,SD 鋼彈 G 世代 永恆,65514,28,74906
10,棕色塵埃 2,62433,18,76207
11,勝利女神：妮姬,61883,30,36390
12,hololive Dreams,56722,33,84454
13,原神,52527,39,36730
14,怪物彈珠,46655,22,25052
15,辟邪除妖 Variants Daphne,44678,38,70180
16,我的英雄學院：UNITED SURVIVAL,38993,20,85186
17,薑餅人放置大戰爭,37448,127,85818
18,天堂 Mobile,34985,9,25908
19,碧藍幻想 系列,34872,29,25204
20,崩壞：星穹鐵道,34750,11,72822
21,緋染天空 Heaven Burns Red,32855,25,37697
22,蔚藍檔案,29826,17,38898
23,碧藍航線,26281,11,32550
24,Pokemon GO,22769,5,29659
25,傳說對決 Arena of Valor,22729,277,30518
26,楓之谷 M,21943,7,29461
27,煙雨江湖,21167,7,71402
28,超異域公主連結☆Re:Dive,19562,50,30861
29,明日方舟,19277,9,33651
30,寶可夢集換式卡牌遊戲口袋版,16491,32,79688
31,卡厄思夢境,16445,5,80099
32,少女前線 2：追放,15555,17,70502
33,RO 仙境傳說：世界之旅,14015,7,83054
34,魂墜深境,13815,7,85384
35,三國志•戰略版,13346,5,36815
36,勇者鬥惡龍 破限亂鬥,13168,11,83661
37,賽馬娘Pretty Derby,12478,7,34421
38,天堂 W,12066,1,71905
39,Monster Hunter Now,11643,5,77414
40,楓之谷：放置冒險記,11602,1,82899
41,Pokémon Sleep,10468,9,36685
42,Pikmin Bloom,9271,2,72889
43,星塔旅人,8957,2,81566
44,闇影詩章 Shadowverse,8479,9,29330
45,Another Eden：穿越時空的貓,8367,3,29220
46,杖劍傳說：坎斯汀之約,7837,0,80389
47,龍村 3,7759,6,85385
48,猛鬼三國,7693,2,85806
49,幻想水滸傳 STAR LEAP,6841,16,82379
50,搞鬼 M,6773,15,80259
51,星之救援者 StarSavior,6689,0,81995
52,英雄聯盟：激鬥峽谷,6668,119,37459
53,夢幻模擬戰 手機版,6480,1,33596
54,MLB：9 局職棒 系列,6391,3,31114
55,鈴蘭之劍：爲這和平的世界,6241,1,71838
56,信長之野望 真戰,6236,4,82869
57,重返未來：1999,6225,3,75028
58,魔靈召喚,6064,1,26380
59,Rogue with the Dead - 亡途轉生,5913,2,81808
60,第七史詩,5881,2,34880
61,七騎士 RE:BIRTH,5740,1,79741
62,雙面神姬,5639,1,85535
63,寒霜啟示錄,5556,0,76999
64,三國：謀定天下,5441,0,83812
65,忍者喵喵：保衛村莊,5350,6,80326
66,MAJO - 末日策略 RPG,5237,20,85761
67,劍與遠征：啟程,5016,1,75975
68,世界計畫 繽紛舞台！ feat. 初音未來,4888,0,37505
69,心動小鎮,4885,4,75403
70,最後的克勞迪亞,4717,2,35735
71,女神異聞錄：夜幕魅影,4700,2,71034
72,召喚圖板 Summons Board,4563,1,25691
73,運氣拼輸贏,4552,1,80385
74,Kingshot,4359,0,82382
75,逆水寒,4323,0,77001
76,忘卻前夜 Morimens,4222,1,78829
77,天地劫 手機版,4144,0,38462
78,DRAGON BALL Z -七龍珠爆裂激戰-,4123,0,27096
79,荒野亂鬥,4017,1,32407
80,Limbus Company,3983,4,73052
81,同盟塔防戰,3835,3,81508
82,XXL 猛漢町,3793,1,80107
83,瑞利昂 (RELLION)：NPC 的生存記,3688,0,85516
84,薑餅人王國,3681,4,70199
85,我想成為影之強者！Master of Garden,3670,4,75993
86,咒術迴戰 幻影夜行,3605,5,71515
87,開局一座島,3477,0,85772
88,RO 新世代：攜手同行,3455,0,37030
89,寶可夢大師,3400,0,36673
90,地牢深處 Dungeon Within,3396,0,85358
91,星絆之旅,3298,0,83743
92,問答 RPG 魔法使與黑貓維茲,3230,1,25730
93,白貓 Project,3223,1,26686
94,BLEACH 死神 Brave Souls,3122,1,27808
95,遺忘之劍,3094,2,80652
96,Bleach：刀鳴,3066,0,78017
97,RAID : Shadow Legends,3052,4,36208
98,歧路旅人：大陸的霸者,3024,0,36225
99,龍族拼圖 Puzzle & Dragons,2974,0,22153
100,數碼寶貝 UP,2957,1,85075
101,地平線行者 Horizon Walker,2900,1,81419
102,Crash Fever,2816,1,28611
103,LINE Rangers 銀河特攻隊,2806,0,25967
104,Dungeon Slasher,2806,4,79453
105,鎖鏈戰記 CHAIN CHRONICLE,2790,2,24520
106,崩壞 3rd,2546,0,31066
107,MLB 勁旅對決,2545,3,77583
108,英雄傳說 卡卡布三部曲,2527,2,80736
109,托蘭異世錄 Toram Online RPG,2526,3,28271
110,嘟嘟臉惡作劇,2525,3,78781
111,守望傳說 Guardian Tales,2517,0,38113
112,遊戲王 決鬥聯盟,2513,2,29618
113,BanG Dream！少女樂團派對,2491,2,31877
114,MARVEL 未來之戰,2484,1,28318
115,靠裝勇者,2435,16,85630
116,部落衝突：皇室戰爭,2406,0,29712
117,二重螺旋,2350,2,78855
118,怪獸 8 號 THE GAME,2336,1,81768
119,第五人格,2177,0,34038
120,弓箭傳說 系列,2172,0,36683
