rank,title,popularity,article,bsn
1,鳴潮,224187,253,74934
2,勝利女神：妮姬,216489,80,36390
3,異環,198365,97,80679
4,棕色塵埃 2,144600,66,76207
5,神魔之塔,94544,58,23805
6,貓咪大戰爭（にゃんこ大戦争）,88625,6,23772
7,賽馬娘Pretty Derby,82256,214,34421
8,原神,80052,71,36730
9,SD 鋼彈 G 世代 永恆,77338,25,74906
10,絕區零,67351,68,74860
11,闇影詩章 Shadowverse,52600,12,29330
12,天堂 Mobile,51406,23,25908
13,RO 仙境傳說：世界之旅,49328,14,83054
14,明日方舟：終末地,48706,38,74604
15,Fate/Grand Order,37660,37,26742
16,怪物彈珠,37604,130,25052
17,蔚藍檔案,32614,22,38898
18,崩壞：星穹鐵道,30867,8,72822
19,Pokemon GO,29086,11,29659
20,JUMP 全明星亂鬥,27626,68,84902
21,明日方舟,26713,25,33651
22,少女前線 2：追放,23808,159,70502
23,辟邪除妖 Variants Daphne,23555,8,70180
24,瑞利昂 (RELLION)：NPC 的生存記,23006,5,85516
25,三國志•戰略版,22507,3,36815
26,卡厄思夢境,22030,3,80099
27,龍村 3,18797,14,85385
28,超異域公主連結☆Re:Dive,18254,12,30861
29,Pikmin Bloom,16755,6,72889
30,碧藍幻想 系列,16100,9,25204
31,DRAGON BALL Z -七龍珠爆裂激戰-,15971,20,27096
32,傳說對決 Arena of Valor,15558,15,30518
33,RO 仙境傳說 3,15538,9,81475
34,楓之谷 M,13322,2,29461
35,Monster Hunter Now,12982,4,77414
36,第七史詩,12773,11,34880
37,勇者鬥惡龍 破限亂鬥,12531,1,83661
38,煙雨江湖,12194,2,71402
39,信長之野望 真戰,11832,5,82869
40,天堂 W,11488,1,71905
41,星之救援者 StarSavior,11248,8,81995
42,雙面神姬,11221,33,85535
43,碧藍航線,10555,4,32550
44,瑪奇 Mobile,9858,22,32564
45,寶可夢集換式卡牌遊戲口袋版,9497,7,79688
46,托蘭異世錄 Toram Online RPG,9173,8,28271
47,像素深淵,9000,13,85250
48,嘟嘟臉惡作劇,8986,17,78781
49,女神異聞錄：夜幕魅影,8873,8,71034
50,Another Eden：穿越時空的貓,8657,2,29220
51,寶可夢大師,8285,2,36673
52,楓之谷：放置冒險記,7976,1,82899
53,Rogue with the Dead - 亡途轉生,7778,2,81808
54,寒霜啟示錄,7750,1,76999
55,七騎士 RE:BIRTH,7699,2,79741
56,心動小鎮,7688,4,75403
57,鈴蘭之劍：爲這和平的世界,7668,4,71838
58,RO 新世代：攜手同行,7213,6,37030
59,最後的克勞迪亞,7178,1,35735
60,XXL 猛漢町,7114,7,80107
61,忘卻前夜 Morimens,6915,5,78829
62,杖劍傳說：坎斯汀之約,6828,0,80389
63,緋染天空 Heaven Burns Red,6757,13,37697
64,夢幻模擬戰 手機版,6438,1,33596
65,星塔旅人,6413,0,81566
66,生存 33 天,6401,3,85588
67,Bleach：刀鳴,6318,16,78017
68,荒野亂鬥,5956,5,32407
69,運氣拼輸贏,5924,2,80385
70,世界計畫 繽紛舞台！ feat. 初音未來,5632,0,37505
71,Kingshot,5421,1,82382
72,魔靈召喚,5168,2,26380
73,Pokémon Sleep,5026,17,36685
74,龍族拼圖 Puzzle & Dragons,4888,1,22153
75,天地劫 手機版,4819,3,38462
76,Limbus Company,4703,2,73052
77,逆水寒,4696,0,77001
78,MLB：9 局職棒 系列,4666,0,31114
79,歧路旅人：大陸的霸者,4398,4,36225
80,點點英雄：骰子傳說,4363,0,85135
81,暗黑破壞神：永生不朽,4327,1,35531
82,重返未來：1999,4098,2,75028
83,劍與遠征：啟程,3966,4,75975
84,初心者傳說：夢境大冒險,3889,9,85537
85,MLB 勁旅對決,3882,4,77583
86,二重螺旋,3873,4,78855
87,白貓 Project,3828,1,26686
88,Evil Hunter Tycoon 獵魔村物語,3794,2,38066
89,薑餅人王國,3632,2,70199
90,問答 RPG 魔法使與黑貓維茲,3617,5,25730
91,三國：謀定天下,3576,5,83812
92,克魯賽德戰記 Crusaders Quest,3528,1,27586
93,忍者喵喵：保衛村莊,3428,3,80326
94,權力遊戲：國王大道,3427,2,81266
95,召喚圖板 Summons Board,3418,2,25691
96,部落衝突：皇室戰爭,3285,2,29712
97,全明星街球派對,3208,1,79697
98,七大罪：Origin,3031,1,74141
99,我想成為影之強者！Master of Garden,2951,1,75993
100,緋紅的神約 Echocalypse,2936,1,75058
101,鎖鏈戰記 CHAIN CHRONICLE,2916,3,24520
102,同盟塔防戰,2885,0,81508
103,戰雙帕彌什,2879,1,37463
104,遊戲王 決鬥聯盟,2825,5,29618
105,崩壞 3rd,2791,2,31066
106,超時空街球對決,2786,4,85216
107,跑跑薑餅人：烤箱大逃亡,2783,3,31023
108,弓箭傳說 系列,2611,0,36683
109,BanG Dream！少女樂團派對,2581,0,31877
110,塵白禁域,2574,1,72111
111,Dungeon Slasher,2574,4,79453
112,RAID : Shadow Legends,2539,2,36208
113,遺忘之劍,2510,2,80652
114,飄流幻境 Re：星之方舟,2480,0,82442
115,全境封鎖：曙光,2451,0,75244
116,守望傳說 Guardian Tales,2445,0,38113
117,英雄聯盟：聯盟戰棋,2432,1,38053
118,RO仙境傳說：守護永恆的愛,2419,0,28924
119,英雄傳說 卡卡布三部曲,2410,0,80736
120,關於我轉生變成史萊姆這檔事 魔王與龍的建國譚,2390,1,70913
