rank,title,popularity,article,bsn
1,電腦應用綜合討論,131051,45,60030
2,Steam 綜合討論板,53885,20,60599
3,綜合公仔玩具討論區,39900,14,60036
4,智慧型手機,17280,12,60559
5,影音視聽討論區,15452,8,60535
6,動漫相關綜合,13767,49,60037
7,職場甘苦談,11499,9,60561
8,ACG二手交易板,11409,83,60508
9,電影娛樂新視界,6516,12,60200
10,布袋戲文化綜合討論區,5409,6,867
11,歡樂惡搞 KUSO,4462,8,60084
12,模型技術與資訊,4384,3,60053
13,汽機車討論,4208,0,60545
14,野戰 (生存) 遊戲,3598,2,60534
15,虛擬 Youtuber（Vtuber）,3534,12,60608
16,電視遊樂器綜合討論區,3092,3,60001
17,軍事策略,2881,2,60208
18,酸甜苦辣留言板,2869,12,60091
19,VR 虛擬實境綜合討論,1799,3,60606
20,恐怖驚悚,1670,0,60201
21,講談說論,1618,10,60440
22,繪畫與影像技術交流,1362,2,60143
23,桌上角色扮演遊戲(TRPG)討論,1124,6,60429
24,輕小說綜合,1058,3,60415
25,女性向遊戲,1036,0,60480
26,世界之不可思議,928,0,60433
27,NBA 系列,803,3,4373
28,熱門美國影集,772,1,60481
29,綜合實況討論板,743,7,60592
30,美少女遊戲,691,0,60446
31,偽娘向上委員會,645,0,60552
32,百合天國,640,0,60405
33,手機與行動遊戲討論區,525,0,60059
34,香港漫畫板,495,0,60414
35,桌上遊戲 (BoardGame) 綜合討論,491,1,60537
36,聲優天地,452,0,60388
37,軍旅生活,424,0,60564
38,程式設計板,409,1,60292
39,集換式卡牌遊戲（TCG）討論區,399,0,81445
40,樂器交流板,364,0,60598
41,VOCALOID 虛擬人聲,357,1,60499
42,偵探推理,337,1,60219
43,NVIDIA 玩家交流區,335,0,60247
44,小品遊戲分享討論,303,0,60183
45,Cosplay 電漫角色扮演,300,1,60253
46,PC Game 電腦遊戲綜合討論區,283,2,60507
47,棒球運動推廣,275,2,60530
48,空想奇談創作交流區,268,1,60154
49,幸福寵物交流區,239,1,60546
50,往日遊戲,229,1,60230
51,歐美動畫綜合討論,227,1,60605
52,日本綜藝影劇,223,0,60531
53,綜合武術交流,213,1,60444
54,Unity 遊戲引擎,213,0,60602
55,電玩人求職中心,187,0,60490
56,海外生活及旅遊相關,176,0,60497
57,Dolls 人形,176,1,60471
58,自行車,175,0,60562
59,攝影交流板,174,1,60549
60,八卦板,170,0,60553
61,獨立遊戲 Indie Game,168,2,60603
62,笑話板,164,0,60555
63,PC 線上遊戲綜合討論區,161,0,60520
64,圖書交流哈啦板,155,1,60286
65,網路購物交流,149,0,60554
66,MMD 製作與技術交流,145,1,60610
67,電漫蘿莉,142,10,60199
68,陰屍路,125,0,20346
69,韓國綜藝影劇,115,0,60536
70,外語討論板,109,0,60541
71,遊戲修改寶典,105,0,60041
72,光榮板,102,0,60022
73,網咖向上委員會,95,0,60355
74,烹飪技巧,90,0,60565
75,AMD Fans 俱樂部,80,0,60152
76,超級大玩家～吃喝玩樂電玩族,71,0,60080
77,SQUARE ENIX,69,0,60071
78,影像處理製作技巧,66,0,60427
79,屏東板,65,0,60579
80,BL 綜合討論,62,0,60198
81,綜合音樂板,61,0,60229
82,獸迷主題樂園,59,0,60604
83,國產遊戲綜合區,58,0,60402
84,日本歷史相關ACG(遊戲動漫),54,0,60238
85,樂高積木相關綜合,50,0,60584
86,台南市,50,0,60570
87,中華歷史相關遊戲,43,0,60318
88,台中市,42,0,60569
89,光線槍射擊遊戲,39,0,60218
90,迪士尼電影動畫系列綜合板,37,0,60600
91,奇幻文學與遊戲,37,0,60215
92,飛鏢運動推廣交流,35,0,60589
93,魔獸恩仇錄,34,0,60503
94,校園生活,34,0,60556
95,巴哈勇者造型創作技巧討論板,34,0,60153
96,魔術板,29,0,60588
97,星座交流,29,0,60566
98,大眾交通討論板,29,0,60586
99,高雄市,27,0,60571
100,武俠世界,27,0,60368
101,APP 軟體交流,26,0,60593
102,魔術方塊,23,0,60532
103,心理測驗綜合討論,23,0,60217
104,台北市,21,0,60567
105,彰化板,20,0,60575
106,巴哈姆特三年級學員部,19,0,60457
107,SCP 基金會綜合討論,19,0,22580
108,花蓮板,17,0,60581
109,網路暨遊戲安全防護,17,0,60289
110,新竹板,17,0,60573
111,綜合運動板,16,0,60540
112,日本歌曲與歌手,16,0,60601
113,新北市,16,0,60568
114,巴哈姆特二年級學員部,16,0,60456
115,Lycee Trading Card Game,16,0,60505
116,西洋綜藝影劇,15,0,60538
117,流行娛樂特區,15,0,60434
118,省錢板,14,0,60563
119,巴哈姆特一年級學員部,14,0,60455
120,宜蘭板,13,0,60580
