rank,title,popularity,article,bsn
1,幻獸帕魯,231335,65,71458
2,新楓之谷,204322,98,7650
3,MapleStory Worlds,146477,66,79354
4,英雄聯盟 League of Legends,119269,622,17532
5,SpiritVale,99294,46,85861
6,天堂：經典版,81365,68,84452
7,流亡黯道 Path of Exile,78872,47,18966
8,Final Fantasy XIV,65550,48,17608
9,暗黑破壞神 4,58024,42,75105
10,燕雲十六聲,49413,65,75703
11,AION2,43653,73,82913
12,RO 仙境傳說 Online,36638,6,4212
13,活俠傳,33044,17,73317
14,黑色沙漠 BLACK DESERT,28528,10,19017
15,天使之戀Online 國際版,28295,6,9734
16,火炬之光：無限,21263,4,74756
17,暗黑破壞神,20989,32,742
18,Minecraft 我的世界（當個創世神）,19298,51,18673
19,流亡黯道 PoE 2,18270,4,82273
20,WOW 魔獸世界,14285,7,5219
21,潛水員戴夫,13757,0,35628
22,TBH: 塔斯克巴·英雄,11460,4,85631
23,鬥陣特攻,10235,11,27362
24,新瑪奇 Mabinogi,9809,3,7422
25,電馭叛客 2077,9747,1,23379
26,RO 仙境傳說 Online：樂園,8502,2,83142
27,Garena 三角洲行動,8367,9,78342
28,爐石戰記,8046,3,24044
29,戰鎚：40K 系列（Warhammer:40000）,7399,4,7506
30,戰艦世界 World of Warships,7065,4,21052
31,新衝天跑,6884,4,9426
32,希望戀曲 Online,6627,6,18041
33,Warframe,6041,5,22797
34,天堂Lineage,5362,1,842
35,APEX 英雄,5202,0,36072
36,柏德之門 系列,4832,0,2954
37,Once Human,4560,5,78260
38,新瑪奇英雄傳,4326,1,16583
39,大俠立志傳,4324,0,76900
40,雀魂麻將majsoul,4304,3,36476
41,艦隊 Collection,4298,2,24698
42,CS Online﹝絕對武力﹞,4283,2,11902
43,天國降臨：救贖 系列,4227,0,30945
44,魔力寶貝,3991,1,2577
45,飄流幻境 Online,3966,1,8897
46,赤血沙漠,3816,0,37615
47,Dead by Daylight（黎明死線）,3545,1,29919
48,特戰英豪,3536,2,38093
49,激戰 2（Guild Wars 2 ）,3359,2,16901
50,絕地求生 PUBG,3233,13,30630
51,世紀帝國 系列,3106,1,1122
52,戰地風雲,3088,2,4220
53,天外Online,3057,0,6784
54,戰慄時空之絕對武力( CS ),2985,6,1473
55,三國志 系列,2761,0,6331
56,第一繼承者,2714,2,71782
57,戰車世界 World of Tanks,2709,2,18214
58,漫威爭鋒,2685,3,79940
59,巫師 The Witcher 系列,2403,1,7364
60,空洞騎士  系列,2350,0,27487
61,龍胤立志傳,2342,1,84973
62,戰意,2324,2,30786
63,魔獸爭霸,2320,0,3044
64,武林同萌傳Online,2290,0,6960
65,Grim Dawn,2284,0,19441
66,巨商,2171,1,5079
67,異塵餘生 系列,2169,2,2023
68,戰爭雷霆（War Thunder）,2153,2,20947
69,Slay the Spire,2110,1,33661
70,上古卷軸 系列(The Elder Scrolls),2079,1,2526
71,逃離鴨科夫,2076,0,83580
72,逸劍風雲決,1874,0,76881
73,艾爾之光,1811,1,12259
74,鬼谷八荒,1796,1,70540
75,黑神話 系列,1765,1,39114
76,暗黑破壞神 3,1726,0,21400
77,皇者天下,1721,0,38055
78,吸血鬼倖存者,1679,0,74171
79,Freestyle: Reboot,1642,2,85300
80,騎馬與砍殺,1605,2,16393
81,石器時代 系列,1598,0,1571
82,阿爾比恩 Online,1581,6,27044
83,逃離塔科夫,1560,2,29943
84,歐洲美洲卡車模擬 系列,1525,1,16179
85,對魔忍 RPG,1515,2,35303
86,邊緣世界,1507,0,27313
87,方舟 系列,1501,0,28423
88,搞鬼 Online（Ghost）,1500,0,9753
89,千年戰爭 Aigis～一般版～,1500,0,27417
90,星露谷物語 Stardew Valley,1482,0,20774
91,決勝時刻,1455,1,5371
92,七日殺,1440,2,24608
93,金庸群俠傳,1435,1,10859
94,幕府將軍、全軍破敵系列,1408,1,4236
95,Don't Starve,1380,0,23632
96,劍靈 Blade & Soul,1362,1,12980
97,武林群俠傳 Online,1347,0,12118
98,太吾繪卷,1346,2,35304
99,魔獸世界：經典版,1298,1,36703
100,永恆冒險 Grand Chase Classic,1266,0,8948
101,閃耀之星騎士,1180,0,78031
102,黑帝斯,1125,0,35739
103,A.V.A 戰地之王,1123,4,16618
104,Core Keeper,1117,0,74451
105,霧鎖王國,1116,0,77537
106,RPG製作大師,1114,1,4918
107,摩爾莊園,1089,0,16735
108,仙劍奇俠傳 系列,1085,0,2417
109,殭屍毀滅工程 Project Zomboid,1054,1,20202
110,Oxygen Not Included,1046,0,31746
111,天空之城 Online(MOF),1036,0,11434
112,Cities: Skylines,1031,1,27991
113,俠客風雲傳 系列,1023,0,3148
114,失落的方舟（Lost Ark）,1003,0,27410
115,R.E.P.O.,986,0,82396
116,封印者：CLOSERS,930,0,23655
117,魔力寶貝：永恆初心,907,0,70151
118,背包夥伴,880,2,85261
119,賽爾號,859,1,18072
120,卡巴拉島(Trickster),854,0,5637
