rank,title,popularity,article,bsn
1,新楓之谷：經典版,496365,362,85994
2,SpiritVale,210794,72,85861
3,新楓之谷,180617,70,7650
4,MapleStory Worlds,145756,41,79354
5,流亡黯道 Path of Exile,107435,27,18966
6,幻獸帕魯,101929,28,71458
7,天堂：經典版,78434,39,84452
8,RO 仙境傳說 Online,70875,17,4212
9,Final Fantasy XIV,63053,76,17608
10,英雄聯盟 League of Legends,57444,165,17532
11,燕雲十六聲,46833,71,75703
12,黑色沙漠 BLACK DESERT,39053,26,19017
13,AION2,31014,23,82913
14,活俠傳,21481,3,73317
15,Minecraft 我的世界（當個創世神）,21453,51,18673
16,暗黑破壞神,19443,32,742
17,暗黑破壞神 4,18699,2,75105
18,WOW 魔獸世界,18320,18,5219
19,天使之戀Online 國際版,14739,14,9734
20,新瑪奇 Mabinogi,13081,3,7422
21,龍之劍：覺醒,11970,7,76636
22,RO 仙境傳說 Online：樂園,10768,9,83142
23,APEX 英雄,10355,6,36072
24,鬥陣特攻,9040,7,27362
25,戰鎚：40K 系列（Warhammer:40000）,8714,3,7506
26,流亡黯道 PoE 2,8548,2,82273
27,爐石戰記,8145,8,24044
28,CS Online﹝絕對武力﹞,8018,3,11902
29,電馭叛客 2077,7311,0,23379
30,潛水員戴夫,6958,2,35628
31,Garena 三角洲行動,6915,9,78342
32,天堂Lineage,6210,6,842
33,逃離塔科夫,5982,10,29943
34,柏德之門 系列,5860,1,2954
35,Dead by Daylight（黎明死線）,5588,2,29919
36,新瑪奇英雄傳,5577,1,16583
37,火炬之光：無限,5288,3,74756
38,戰艦世界 World of Warships,5054,0,21052
39,希望戀曲 Online,5023,1,18041
40,Warframe,4927,3,22797
41,艾爾之光,4650,2,12259
42,殭屍毀滅工程 Project Zomboid,4483,5,20202
43,戰車世界 World of Tanks,4234,3,18214
44,艦隊 Collection,4081,2,24698
45,Grim Dawn,4077,2,19441
46,魔力寶貝,4047,0,2577
47,TBH: 塔斯克巴·英雄,3607,0,85631
48,世紀帝國 系列,3576,2,1122
49,飄流幻境 Online,3574,1,8897
50,戰意,3542,5,30786
51,漫威爭鋒,3529,0,79940
52,龍胤立志傳,3514,1,84973
53,赤血沙漠,3488,2,37615
54,Once Human,3474,1,78260
55,雀魂麻將majsoul,3462,1,36476
56,大俠立志傳,3287,1,76900
57,特戰英豪,2985,3,38093
58,天外Online,2869,2,6784
59,戰地風雲,2689,1,4220
60,戰慄時空之絕對武力( CS ),2663,4,1473
61,上古卷軸 系列(The Elder Scrolls),2650,1,2526
62,天國降臨：救贖 系列,2598,0,30945
63,三國志 系列,2567,0,6331
64,異塵餘生 系列,2483,2,2023
65,蘇丹的遊戲,2471,0,80841
66,魔獸爭霸,2452,0,3044
67,武林同萌傳Online,2441,0,6960
68,逸劍風雲決,2438,0,76881
69,激戰 2（Guild Wars 2 ）,2340,1,16901
70,巫師 The Witcher 系列,2238,0,7364
71,御城收藏,2209,1,26608
72,絕地求生 PUBG,2098,2,30630
73,巨商,1985,1,5079
74,戰爭雷霆（War Thunder）,1960,0,20947
75,暗黑破壞神 3,1959,0,21400
76,阿爾比恩 Online,1924,6,27044
77,空洞騎士  系列,1878,1,27487
78,永恆冒險 Grand Chase Classic,1875,0,8948
79,RPG製作大師,1811,6,4918
80,劍靈 Blade & Soul,1787,0,12980
81,水滸英雄 Online,1760,0,8811
82,新衝天跑,1751,2,9426
83,新墨魂 Online,1675,0,38561
84,方舟 系列,1661,1,28423
85,搞鬼 Online（Ghost）,1652,0,9753
86,邊緣世界,1625,0,27313
87,黑神話 系列,1598,0,39114
88,決勝時刻,1545,0,5371
89,金庸群俠傳,1516,0,10859
90,對魔忍 RPG,1491,2,35303
91,封印者：CLOSERS,1484,1,23655
92,逃離鴨科夫,1451,0,83580
93,石器時代 系列,1437,1,1571
94,第一繼承者,1391,0,71782
95,星露谷物語 Stardew Valley,1390,1,20774
96,A.V.A 戰地之王,1376,1,16618
97,失落的方舟（Lost Ark）,1297,0,27410
98,魔獸世界：經典版,1252,1,36703
99,騎馬與砍殺,1248,0,16393
100,幕府將軍、全軍破敵系列,1234,0,4236
101,七日殺,1210,0,24608
102,百變恰吉,1207,4,7839
103,鬼谷八荒,1198,0,70540
104,東方Project 系列,1164,0,10039
105,仙劍奇俠傳 系列,1133,0,2417
106,Slay the Spire,1099,0,33661
107,彩虹島物語,1094,1,30470
108,Unlight,1078,4,20111
109,虹彩六號 系列,1069,1,1054
110,Freestyle: Reboot,1061,1,85300
111,歐洲美洲卡車模擬 系列,1060,0,16179
112,千年戰爭 Aigis～一般版～,1050,0,27417
113,Don't Starve,1047,0,23632
114,背包夥伴,1038,7,85261
115,永恆輪迴,1036,0,38217
116,皇者天下,1011,1,38055
117,武林群俠傳 Online,1002,0,12118
118,黑帝斯,983,0,35739
119,霧鎖王國,974,0,77537
120,新天堂II,970,0,5264
