rank,title,popularity,article,bsn
1,新楓之谷,380823,72,7650
2,MapleStory Worlds,140581,38,79354
3,流亡黯道 PoE 2,114145,58,82273
4,天堂：經典版,89878,69,84452
5,英雄聯盟 League of Legends,76796,308,17532
6,燕雲十六聲,63977,55,75703
7,Final Fantasy XIV,62468,48,17608
8,暗黑破壞神,56974,177,742
9,黑色沙漠 BLACK DESERT,51850,30,19017
10,RO 仙境傳說 Online,44031,11,4212
11,暗黑破壞神 4,31389,22,75105
12,AION2,30287,26,82913
13,Minecraft 我的世界（當個創世神）,26590,34,18673
14,流亡黯道 Path of Exile,19572,1,18966
15,WOW 魔獸世界,17979,8,5219
16,TBH: 塔斯克巴·英雄,17237,17,85631
17,新衝天跑,15212,3,9426
18,幻獸帕魯,11185,2,71458
19,戰鎚：40K 系列（Warhammer:40000）,11059,7,7506
20,赤血沙漠,10214,3,37615
21,電馭叛客 2077,9709,0,23379
22,新瑪奇 Mabinogi,9523,0,7422
23,RO 仙境傳說 Online：樂園,8605,2,83142
24,Garena 三角洲行動,8396,5,78342
25,鬥陣特攻,8329,7,27362
26,羅馬拓荒錄,8298,1,85018
27,天堂Lineage,8202,0,842
28,戰艦世界 World of Warships,7411,4,21052
29,希望戀曲 Online,6870,4,18041
30,CS Online﹝絕對武力﹞,6688,9,11902
31,飄流幻境 Online,6365,0,8897
32,潛水員戴夫,6364,1,35628
33,爆爆王,6337,3,9835
34,天使之戀Online 國際版,6296,1,9734
35,APEX 英雄,6121,1,36072
36,爐石戰記,5973,2,24044
37,Warframe,5853,8,22797
38,柏德之門 系列,5783,0,2954
39,活俠傳,5703,1,73317
40,Once Human,5317,2,78260
41,Dead by Daylight（黎明死線）,5285,0,29919
42,雀魂麻將majsoul,5256,8,36476
43,新瑪奇英雄傳,5124,3,16583
44,世紀帝國 系列,4639,0,1122
45,Don't Starve,4472,2,23632
46,天國降臨：救贖 系列,4381,0,30945
47,大俠立志傳,4193,0,76900
48,Freestyle: Reboot,4041,9,85300
49,魔獸爭霸,4007,0,3044
50,魔力寶貝,3902,0,2577
51,天外Online,3883,0,6784
52,巫師 The Witcher 系列,3646,1,7364
53,上古卷軸 系列(The Elder Scrolls),3614,0,2526
54,武林同萌傳Online,3591,0,6960
55,龍胤立志傳,3565,0,84973
56,戰地風雲,3528,1,4220
57,艾爾之光,3517,0,12259
58,戰慄時空之絕對武力( CS ),3432,4,1473
59,戰車世界 World of Tanks,3342,0,18214
60,背包夥伴,3285,17,85261
61,異塵餘生 系列,3276,3,2023
62,激戰 2（Guild Wars 2 ）,3205,0,16901
63,摩爾莊園,3182,0,16735
64,Core Keeper,3165,0,74451
65,暗黑破壞神 3,3158,1,21400
66,戰意,3124,2,30786
67,三國志 系列,3052,0,6331
68,石器時代 系列,3028,0,1571
69,賽爾號,2997,5,18072
70,亂 2 Online,2869,2,5270
71,特戰英豪,2829,2,38093
72,第一繼承者,2780,0,71782
73,吸血鬼倖存者,2748,1,74171
74,巨商,2734,1,5079
75,艦隊 Collection,2689,2,24698
76,RPG製作大師,2520,1,4918
77,戰爭雷霆（War Thunder）,2495,1,20947
78,黑神話 系列,2445,0,39114
79,阿爾比恩 Online,2410,0,27044
80,空洞騎士  系列,2386,0,27487
81,永恆冒險 Grand Chase Classic,2328,1,8948
82,絕地求生 PUBG,2302,0,30630
83,夢之形,2241,0,82031
84,仙劍奇俠傳 系列,2152,0,2417
85,Slay the Spire,2141,1,33661
86,火炬之光：無限,2110,2,74756
87,Oxygen Not Included,2099,1,31746
88,金庸群俠傳,2098,1,10859
89,霧鎖王國,2051,2,77537
90,東方Project 系列,2032,3,10039
91,鬼谷八荒,2004,0,70540
92,劍靈 Blade & Soul,1971,0,12980
93,千年戰爭 Aigis～一般版～,1965,0,27417
94,失落的方舟（Lost Ark）,1943,3,27410
95,逸劍風雲決,1932,0,76881
96,方舟 系列,1927,2,28423
97,邊緣世界,1873,2,27313
98,永無寧日,1848,2,79196
99,星露谷物語 Stardew Valley,1816,0,20774
100,R.E.P.O.,1815,0,82396
101,締造者：放逐之境,1762,0,81468
102,Cities: Skylines,1748,1,27991
103,九日,1712,0,74687
104,幕府將軍、全軍破敵系列,1710,0,4236
105,新熱血江湖 Online,1696,1,8294
106,童話 Online,1675,0,4211
107,七日殺,1650,1,24608
108,Stoneshard,1648,0,38794
109,Wild Terra 2: New Lands,1647,1,70396
110,殭屍毀滅工程 Project Zomboid,1643,0,20202
111,逃離塔科夫,1623,0,29943
112,Hearts of Iron,1617,3,7965
113,黑帝斯,1568,0,35739
114,魔獸世界：經典版,1567,0,36703
115,歐洲美洲卡車模擬 系列,1548,0,16179
116,漫威爭鋒,1517,0,79940
117,騎馬與砍殺,1488,0,16393
118,決勝時刻,1482,0,5371
119,逃離鴨科夫,1463,0,83580
120,魔力寶貝：永恆初心,1417,0,70151
