rank,title,popularity,article,bsn
1,電腦應用綜合討論,151952,84,60030
2,Steam 綜合討論板,62220,30,60599
3,綜合公仔玩具討論區,41528,15,60036
4,影音視聽討論區,18219,6,60535
5,職場甘苦談,16616,11,60561
6,智慧型手機,15906,7,60559
7,動漫相關綜合,14155,57,60037
8,ACG二手交易板,12929,94,60508
9,電影娛樂新視界,7977,9,60200
10,歡樂惡搞 KUSO,7774,17,60084
11,模型技術與資訊,5456,1,60053
12,汽機車討論,5010,2,60545
13,布袋戲文化綜合討論區,4897,2,867
14,野戰 (生存) 遊戲,4774,1,60534
15,講談說論,4047,15,60440
16,電視遊樂器綜合討論區,3617,4,60001
17,虛擬 Youtuber（Vtuber）,3452,19,60608
18,軍事策略,3115,4,60208
19,酸甜苦辣留言板,3090,4,60091
20,繪畫與影像技術交流,2170,0,60143
21,VR 虛擬實境綜合討論,2156,1,60606
22,桌上角色扮演遊戲(TRPG)討論,2028,4,60429
23,恐怖驚悚,1728,0,60201
24,女性向遊戲,1530,0,60480
25,NBA 系列,1513,1,4373
26,世界之不可思議,1471,0,60433
27,輕小說綜合,1383,1,60415
28,空想奇談創作交流區,1314,2,60154
29,香港漫畫板,1102,0,60414
30,百合天國,1101,9,60405
31,綜合實況討論板,1023,11,60592
32,熱門美國影集,991,1,60481
33,VOCALOID 虛擬人聲,895,1,60499
34,美少女遊戲,829,0,60446
35,偽娘向上委員會,806,1,60552
36,幸福寵物交流區,797,1,60546
37,Cosplay 電漫角色扮演,777,0,60253
38,手機與行動遊戲討論區,756,1,60059
39,桌上遊戲 (BoardGame) 綜合討論,707,0,60537
40,八卦板,691,0,60553
41,聲優天地,640,0,60388
42,樂器交流板,634,1,60598
43,軍旅生活,603,0,60564
44,程式設計板,555,0,60292
45,偵探推理,527,0,60219
46,集換式卡牌遊戲（TCG）討論區,522,0,81445
47,日本綜藝影劇,458,1,60531
48,小品遊戲分享討論,417,0,60183
49,電漫蘿莉,362,5,60199
50,Unity 遊戲引擎,349,0,60602
51,笑話板,342,0,60555
52,NVIDIA 玩家交流區,303,0,60247
53,綜合武術交流,291,1,60444
54,歐美動畫綜合討論,291,0,60605
55,攝影交流板,287,0,60549
56,棒球運動推廣,284,1,60530
57,超級大玩家～吃喝玩樂電玩族,265,0,60080
58,Dolls 人形,255,1,60471
59,電玩人求職中心,252,0,60490
60,PC Game 電腦遊戲綜合討論區,226,0,60507
61,烹飪技巧,221,0,60565
62,往日遊戲,211,0,60230
63,自行車,205,0,60562
64,PC 線上遊戲綜合討論區,204,0,60520
65,獨立遊戲 Indie Game,196,1,60603
66,韓國綜藝影劇,180,0,60536
67,外語討論板,178,0,60541
68,網路購物交流,176,0,60554
69,影像處理製作技巧,172,0,60427
70,中華歷史相關遊戲,163,0,60318
71,BL 綜合討論,161,0,60198
72,迪士尼電影動畫系列綜合板,157,0,60600
73,國產遊戲綜合區,150,0,60402
74,獸迷主題樂園,145,0,60604
75,海外生活及旅遊相關,145,0,60497
76,陰屍路,143,0,20346
77,日本歷史相關ACG(遊戲動漫),142,0,60238
78,嘉義板,125,0,60578
79,綜合音樂板,120,0,60229
80,養成網頁遊戲～寵物愛好者,119,0,60306
81,FLASH遊戲創作技巧哈啦板,119,0,60269
82,圖書交流哈啦板,117,0,60286
83,巴哈姆特勇者造型哈啦板,112,0,60094
84,奇幻文學與遊戲,111,0,60215
85,MMD 製作與技術交流,109,0,60610
86,彰化板,105,0,60575
87,台中市,102,0,60569
88,高雄市,101,0,60571
89,台南市,101,0,60570
90,樂高積木相關綜合,98,0,60584
91,屏東板,98,0,60579
92,網路暨遊戲安全防護,95,0,60289
93,校園生活,93,0,60556
94,JAM Project,92,0,60529
95,飛鏢運動推廣交流,75,0,60589
96,流行娛樂特區,74,0,60434
97,光線槍射擊遊戲,73,0,60218
98,SQUARE ENIX,72,0,60071
99,魔獸恩仇錄,71,0,60503
100,海外遊戲先鋒板,71,0,60543
101,光榮板,69,0,60022
102,AMD Fans 俱樂部,69,0,60152
103,遊戲修改寶典,68,0,60041
104,網咖向上委員會,67,0,60355
105,心理測驗綜合討論,67,0,60217
106,綜合運動板,64,0,60540
107,新竹板,64,0,60573
108,Lycee Trading Card Game,57,0,60505
109,武俠世界,56,0,60368
110,台北市,49,0,60567
111,同人音樂,46,0,60523
112,兩岸動漫遊戲交流板,46,0,60445
113,港澳地區板,45,0,60519
114,運動類遊戲,42,0,60237
115,家庭作業,40,0,60558
116,血肉之戰（Flesh and Blood）,39,0,71362
117,巴哈勇者造型創作技巧討論板,39,0,60153
118,特文館寫作交流區,38,0,60156
119,CSI 犯罪現場 系列,38,0,8092
120,桃園板,37,0,60572
