rank,title,popularity,article,bsn
1,天堂：經典版,336786,293,84452
2,新楓之谷,309169,54,7650
3,Final Fantasy XIV,228347,132,17608
4,暗黑破壞神,172950,598,742
5,MapleStory Worlds,157160,54,79354
6,流亡黯道 Path of Exile,130754,39,18966
7,燕雲十六聲,105029,85,75703
8,暗黑破壞神 4,57210,30,75105
9,英雄聯盟 League of Legends,51884,37,17532
10,AION2,48531,43,82913
11,RO 仙境傳說 Online,48008,8,4212
12,Slay the Spire,41828,11,33661
13,WOW 魔獸世界,32497,29,5219
14,黑色沙漠 BLACK DESERT,27666,10,19017
15,Minecraft 我的世界（當個創世神）,19620,46,18673
16,天堂Lineage,18112,0,842
17,RO 仙境傳說 Online：樂園,14562,14,83142
18,APEX 英雄,11713,3,36072
19,鬥陣特攻,10086,10,27362
20,新瑪奇 Mabinogi,9726,1,7422
21,赤血沙漠,8887,8,37615
22,Garena 三角洲行動,8869,10,78342
23,爐石戰記,7983,7,24044
24,戰艦世界 World of Warships,7415,6,21052
25,納克園: 最後的樂園,7255,8,77671
26,戰鎚：40K 系列（Warhammer:40000）,6364,6,7506
27,新瑪奇英雄傳,6252,4,16583
28,天國降臨：救贖 系列,6176,1,30945
29,CS Online﹝絕對武力﹞,5929,1,11902
30,幻獸帕魯,5837,1,71458
31,電馭叛客 2077,5243,1,23379
32,柏德之門 系列,5170,0,2954
33,雀魂麻將majsoul,5133,1,36476
34,天外Online,5082,2,6784
35,飄流幻境 Online,5065,1,8897
36,Warframe,4795,5,22797
37,活俠傳,4705,0,73317
38,大俠立志傳,4702,0,76900
39,絕地求生 PUBG,4573,0,30630
40,希望戀曲 Online,4560,1,18041
41,Core Keeper,3929,1,74451
42,第一繼承者,3903,2,71782
43,流亡黯道 PoE 2,3640,0,82273
44,Once Human,3636,0,78260
45,武林同萌傳Online,3613,0,6960
46,特戰英豪,3550,1,38093
47,戰車世界 World of Tanks,3544,6,18214
48,世紀帝國 系列,3411,1,1122
49,魔力寶貝,3396,1,2577
50,對魔忍特遣隊,3346,6,84391
51,三國志 系列,3128,1,6331
52,黑神話 系列,3115,3,39114
53,戰地風雲,3106,0,4220
54,約翰·卡本特 劇毒突擊隊,3073,5,77826
55,潛水員戴夫,3015,0,35628
56,暗黑破壞神 3,3015,1,21400
57,逃離鴨科夫,2950,0,83580
58,Dead by Daylight（黎明死線）,2928,3,29919
59,異塵餘生 系列,2830,1,2023
60,魔獸爭霸,2777,2,3044
61,戰慄時空之絕對武力( CS ),2769,4,1473
62,上古卷軸 系列(The Elder Scrolls),2668,0,2526
63,艾爾之光,2539,0,12259
64,千年戰爭 Aigis～一般版～,2484,0,27417
65,空洞騎士  系列,2455,0,27487
66,龍胤立志傳,2342,3,84973
67,巨商,2192,1,5079
68,石器時代 系列,2094,0,1571
69,逸劍風雲決,2070,0,76881
70,邊緣世界,2069,2,27313
71,戰爭雷霆（War Thunder）,2041,2,20947
72,吸血鬼倖存者,1936,0,74171
73,巫師 The Witcher 系列,1885,1,7364
74,艦隊 Collection,1884,1,24698
75,對魔忍 RPG,1871,2,35303
76,鬼谷八荒,1784,0,70540
77,霧鎖王國,1769,0,77537
78,永無寧日,1744,1,79196
79,RPG製作大師,1738,3,4918
80,歐洲美洲卡車模擬 系列,1723,0,16179
81,金庸群俠傳,1667,1,10859
82,戰意,1634,0,30786
83,火炬之光：無限,1554,0,74756
84,劍靈 Blade & Soul,1541,1,12980
85,Cities: Skylines,1536,0,27991
86,逃離塔科夫,1500,2,29943
87,星露谷物語 Stardew Valley,1471,0,20774
88,仙劍奇俠傳 系列,1410,0,2417
89,幕府將軍、全軍破敵系列,1409,0,4236
90,阿爾比恩 Online,1392,1,27044
91,殭屍毀滅工程 Project Zomboid,1378,0,20202
92,明星志願 系列,1345,0,866
93,騎馬與砍殺,1338,2,16393
94,R.E.P.O.,1320,0,82396
95,天使之戀Online 國際版,1298,1,9734
96,武林群俠傳 Online,1282,0,12118
97,方舟 系列,1273,0,28423
98,Unlight,1230,11,20111
99,失落的方舟（Lost Ark）,1211,0,27410
100,零始之門,1184,0,84153
101,Terraria,1183,1,20172
102,FREE DUNK,1170,0,82590
103,三國群英傳Online,1169,2,6777
104,魔力寶貝：永恆初心,1166,1,70151
105,永恆冒險 Grand Chase Classic,1158,2,8948
106,Crusader Kings,1158,3,19480
107,童話 Online,1157,1,4211
108,俠客風雲傳 系列,1132,0,3148
109,永恆輪迴,1103,0,38217
110,虹彩六號 系列,1095,1,1054
111,靈魂面甲,1080,5,79921
112,翼星求生（ICARUS）,1072,1,71004
113,戰球坑洞,1068,0,82976
114,激戰 2（Guild Wars 2 ）,1065,0,16901
115,亂 2 Online,1053,0,5270
116,皇者天下,1048,3,38055
117,嚴陣以待,1034,1,70862
118,靈魂行者,1033,1,21911
119,Hearts of Iron,1032,2,7965
120,楓之谷宇宙,1025,1,80930
